Indices,MASI,MASI 20,MASI ESG,MASI Mid and Small Cap,Date_Rapport
Valeur,18815.95,1518.13,1270.7,1836.25,20251218
Performance journalière,0.003,0.0008,0.0013,0.002,20251218
Performance mensuelle,0.011399999999999999,0.0008,0.0096,0.021400000000000002,20251218
Performance annuelle,0.2737,0.2725,0.228,0.19519999999999998,20251218
