Indices,MASI,MASI 20,MASI ESG,MASI Mid and Small Cap,Date_Rapport
Valeur,18010.21,1468.96,1229.52,1774.58,20250514
Performance journalière,-0.0031,-0.0043,-0.0044,0.0018,20250514
Performance mensuelle,0.0356,0.0356,0.0256,0.0394,20250514
Performance annuelle,0.2191,0.23129999999999998,0.1882,0.155,20250514
