Indices,MASI,MASI 20,MASI ESG,MASI Mid and Small Cap,Date_Rapport
Valeur,18296.6,1496.29,1268.23,1769.77,20250630
Performance journalière,-0.0097,-0.0102,-0.0049,-0.011000000000000001,20250630
Performance mensuelle,0.0178,0.021,0.0418,0.0060999999999999995,20250630
Performance annuelle,0.23850000000000002,0.25420000000000004,0.2256,0.1519,20250630
