Indices,MASI,MASI 20,MASI ESG,MASI Mid and Small Cap,Date_Rapport
Valeur,18025.57,1470.51,1223.69,1746.03,20250521
Performance journalière,-0.0018,-0.0034000000000000002,0.0001,-0.0044,20250521
Performance mensuelle,0.0365,0.036699999999999997,0.0207,0.0227,20250521
Performance annuelle,0.2202,0.23260000000000003,0.1826,0.1364,20250521
