Indices,MASI,MASI 20,MASI ESG,MASI Mid and Small Cap,Date_Rapport
Valeur,15768.92,1276.88,1098.27,1642.16,20250121
Performance journalière,-0.0125,-0.0138,-0.0149,-0.02,20250121
Performance mensuelle,0.0674,0.0703,0.061399999999999996,0.0688,20250121
Performance annuelle,0.0674,0.0703,0.061399999999999996,0.0688,20250121
