Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1213.0,1237.0,0.019799999999999998,1237.0,1.0,2024-04-25
AFRIC INDUSTRIES SA,326.0,325.0,-0.0031,14608.4,45.0,2024-04-25
AKDITAL,722.2,730.0,0.0108,6320139.8,8699.0,2024-04-25
ALLIANCES,233.0,235.0,0.0086,15579212.25,66398.0,2024-04-25
ALUMINIUM DU MAROC,1475.0,1500.0,0.0169,20987.0,14.0,2024-04-25
ARADEI CAPITAL,503.0,522.0,0.0378,13022.2,25.0,2024-04-25
ATLANTASANAD,132.0,133.9,0.0144,282011.6,2107.0,2024-04-25
ATTIJARIWAFA BANK,502.0,503.0,0.002,13645893.7,27183.0,2024-04-25
AUTO HALL,73.0,78.0,0.06849999999999999,402964.15,5173.0,2024-04-25
BANK OF AFRICA,197.75,197.45,-0.0015,649527.5,3326.0,2024-04-25
BCP,292.0,295.0,0.0103,763465.9,2605.0,2024-04-25
CARTIER SAADA,25.3,25.3,0.0,16007.4,632.0,2024-04-25
CFG BANK,152.0,152.0,0.0,1755156.25,11561.0,2024-04-25
CIH,375.0,372.0,-0.008,104891.4,282.0,2024-04-25
CIMENTS DU MAROC,1710.0,1748.0,0.0222,620846.0,363.0,2024-04-25
COSUMAR,197.0,196.1,-0.0046,530764.2,2710.0,2024-04-25
DELTA HOLDING,49.0,48.9,-0.002,669680.68,14138.0,2024-04-25
DISTY TECHNOLOGIES,250.0,250.0,0.0,349281.0,1402.0,2024-04-25
DISWAY,720.0,720.0,0.0,127900.0,180.0,2024-04-25
DOUJA PROM ADDOHA,32.05,33.0,0.0296,24854088.85,758180.0,2024-04-25
ENNAKL,35.7,35.4,-0.0084,53236.17,1532.0,2024-04-25
EQDOM,1182.0,1183.0,0.0008,2366.0,2.0,2024-04-25
FENIE BROSSETTE,120.65,120.65,0.0,4464.05,37.0,2024-04-25
HPS,562.0,562.0,0.0,732685.1,1304.0,2024-04-25
IB MAROC.COM,34.49,34.0,-0.014199999999999999,27942.44,805.0,2024-04-25
IMMORENTE INVEST,94.97,94.0,-0.0102,37517.53,397.0,2024-04-25
INVOLYS,90.0,94.9,0.054400000000000004,20499.4,216.0,2024-04-25
ITISSALAT AL-MAGHRIB,95.69,96.49,0.0084,21092042.81,218425.0,2024-04-25
JET CONTRACTORS,550.0,550.0,0.0,3710210.0,6733.0,2024-04-25
LafargeHolcim Maroc,1990.0,1990.0,0.0,1831656.0,925.0,2024-04-25
MANAGEM,2230.0,2240.0,0.0045000000000000005,5975099.0,2694.0,2024-04-25
MED PAPER,20.99,20.0,-0.0472,154416.51,7726.0,2024-04-25
MICRODATA,680.4,660.2,-0.0297,9248.8,14.0,2024-04-25
MINIERE TOUISSIT,1300.0,1300.0,0.0,471139.0,363.0,2024-04-25
MUTANDIS SCA,268.5,269.85,0.005,670728.8,2501.0,2024-04-25
PROMOPHARM S.A.,975.0,975.0,0.0,4875.0,5.0,2024-04-25
REALISATIONS MECANIQUES,95.3,95.3,0.0,38882.4,408.0,2024-04-25
REBAB COMPANY,72.0,71.0,-0.0139,710.0,10.0,2024-04-25
RESIDENCES DAR SAADA,64.0,70.39,0.0998,47924540.44,700905.0,2024-04-25
RISMA,250.0,248.0,-0.008,167005.75,670.0,2024-04-25
SALAFIN,580.0,584.0,0.0069,403668.0,702.0,2024-04-25
SMI,1770.0,1780.0,0.005600000000000001,53160.0,30.0,2024-04-25
SNEP,580.0,597.9,0.030899999999999997,597.9,1.0,2024-04-25
SOCIETE DES BOISSONS DU M,2600.0,2600.0,0.0,824362.0,317.0,2024-04-25
SODEP-Marsa Maroc,287.85,288.0,0.0005,1214588.5,4208.0,2024-04-25
SONASID,873.0,831.1,-0.048,7470315.4,8965.0,2024-04-25
SOTHEMA,1010.0,1010.0,0.0,1010.0,1.0,2024-04-25
STOKVIS NORD AFRIQUE,11.29,11.16,-0.0115,21611.47,1950.0,2024-04-25
STROC INDUSTRIE,36.0,36.5,0.0139,4641.19,126.0,2024-04-25
TGCC S.A,300.3,305.95,0.018799999999999997,25059285.15,82452.0,2024-04-25
TIMAR,660.0,660.0,0.0,3300.0,5.0,2024-04-25
TOTALENERGIES MARKETING,1367.0,1375.0,0.0059,2708.0,2.0,2024-04-25
WAFA ASSURANCE,4200.0,4200.0,0.0,4200000.0,1000.0,2024-04-25
