Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1204.0,1204.0,0.0,1204.0,1.0,2024-03-15
AFRIC INDUSTRIES SA,325.0,325.0,0.0,9099.65,28.0,2024-03-15
AFRIQUIA GAZ,4150.0,4150.0,0.0,850950.0,205.0,2024-03-15
AKDITAL,677.0,680.0,0.0044,5467663.8,8058.0,2024-03-15
ALLIANCES,178.5,184.0,0.0308,15777269.65,86964.0,2024-03-15
ARADEI CAPITAL,505.0,510.0,0.009899999999999999,2021090.0,4010.0,2024-03-15
ATLANTASANAD,122.0,123.0,0.008199999999999999,1418193.9,11633.0,2024-03-15
ATTIJARIWAFA BANK,507.0,514.0,0.0138,20152335.5,39442.0,2024-03-15
AUTO HALL,64.5,65.99,0.0231,39514.99,601.0,2024-03-15
BANK OF AFRICA,196.5,199.0,0.0127,2404398.0,12102.0,2024-03-15
BCP,296.1,299.0,0.0098,8667221.05,28954.0,2024-03-15
BMCI,573.0,575.0,0.0034999999999999996,507115.0,889.0,2024-03-15
CARTIER SAADA,23.3,23.3,0.0,14716.63,631.0,2024-03-15
CDM,869.0,869.0,0.0,122529.0,141.0,2024-03-15
CIH,366.9,367.0,0.0003,2885228.1,7951.0,2024-03-15
CIMENTS DU MAROC,1710.0,1740.0,0.0175,4427426.0,2600.0,2024-03-15
COLORADO,46.15,45.2,-0.0206,4640.2,101.0,2024-03-15
COSUMAR,192.0,192.0,0.0,2189062.15,11396.0,2024-03-15
CTM,600.0,600.0,0.0,25980.0,44.0,2024-03-15
DELTA HOLDING,39.5,39.0,-0.0127,89673.8,2293.0,2024-03-15
DISTY TECHNOLOGIES,226.75,227.0,0.0011,98456.1,436.0,2024-03-15
DISWAY,725.0,725.0,0.0,47125.0,65.0,2024-03-15
DOUJA PROM ADDOHA,19.28,20.0,0.0373,62879080.72,182074.0,2024-03-15
ENNAKL,32.5,32.5,0.0,2530.5,78.0,2024-03-15
FENIE BROSSETTE,85.1,87.89,0.032799999999999996,203429.16,2390.0,2024-03-15
HPS,595.0,590.0,-0.0084,7069990.5,12039.0,2024-03-15
IMMORENTE INVEST,95.0,95.0,0.0,7980.0,84.0,2024-03-15
INVOLYS,87.0,86.95,-0.0006,3304.5,38.0,2024-03-15
ITISSALAT AL-MAGHRIB,101.0,102.5,0.0149,15078481.6,148167.0,2024-03-15
JET CONTRACTORS,375.0,370.0,-0.013300000000000001,864167.7,2335.0,2024-03-15
LABEL VIE,4600.0,4500.0,-0.0217,343680.0,75.0,2024-03-15
LafargeHolcim Maroc,1997.0,2000.0,0.0015,14538329.0,7335.0,2024-03-15
M2M Group,517.1,517.0,-0.0002,12925.0,25.0,2024-03-15
MAGHREB OXYGENE,221.0,207.75,-0.06,4570.5,22.0,2024-03-15
MANAGEM,1760.0,1760.0,0.0,1772320.0,1007.0,2024-03-15
MED PAPER,19.2,19.2,0.0,5927.04,309.0,2024-03-15
MICRODATA,670.0,678.0,0.011899999999999999,55874.0,83.0,2024-03-15
MINIERE TOUISSIT,1315.0,1300.0,-0.011399999999999999,1668810.0,1275.0,2024-03-15
MUTANDIS SCA,265.0,266.6,0.006,841321.2,3160.0,2024-03-15
REALISATIONS MECANIQUES,104.0,100.0,-0.0385,600.0,6.0,2024-03-15
SALAFIN,588.8,553.0,-0.0608,128849.0,233.0,2024-03-15
SODEP-Marsa Maroc SONASID,285.5,285.5,0.0,4688972.15,16429.0,2024-03-15
STOKVIS NORD AFRIQUE,10.78,10.51,-0.025,1270.27,119.0,2024-03-15
TAQA MOROCCO,1219.0,1217.0,-0.0016,1393505.0,1145.0,2024-03-15
