Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1244.0,1214.0,-0.0241,1214.0,1.0,2024-04-29
AFRIC INDUSTRIES SA,325.0,325.0,0.0,22425.0,69.0,2024-04-29
AFRIQUIA GAZ,4100.0,4150.0,0.012199999999999999,8300.0,2.0,2024-04-29
AGMA,6678.0,6678.0,0.0,6678.0,1.0,2024-04-29
AKDITAL,721.0,732.0,0.015300000000000001,1724412.8,2372.0,2024-04-29
ALLIANCES,237.0,235.35,-0.006999999999999999,5810990.05,24538.0,2024-04-29
ALUMINIUM DU MAROC,1500.0,1500.0,0.0,4500.0,3.0,2024-04-29
ARADEI CAPITAL,542.0,542.0,0.0,54160.0,100.0,2024-04-29
ATLANTASANAD,140.05,140.05,0.0,940686.2,6677.0,2024-04-29
ATTIJARIWAFA BANK,505.0,502.0,-0.0059,4428773.8,8822.0,2024-04-29
AUTO HALL,77.0,75.51,-0.0194,3079.55,40.0,2024-04-29
BANK OF AFRICA,197.3,195.0,-0.011699999999999999,1970485.0,10105.0,2024-04-29
BCP,292.0,294.0,0.0068000000000000005,2948671.0,10099.0,2024-04-29
CARTIER SAADA,25.4,25.0,-0.015700000000000002,32202.0,1288.0,2024-04-29
CDM,920.0,920.0,0.0,1698320.0,1846.0,2024-04-29
CFG BANK,151.0,151.85,0.005600000000000001,23427812.5,154376.0,2024-04-29
CIH,375.0,383.0,0.0213,126832.6,336.0,2024-04-29
CIMENTS DU MAROC,1748.0,1747.0,-0.0006,1765454.0,1022.0,2024-04-29
COLORADO,53.99,53.99,0.0,352063.8,6521.0,2024-04-29
COSUMAR,197.8,198.95,0.0058,1868605.65,9445.0,2024-04-29
CTM,642.0,640.0,-0.0031,32640.0,51.0,2024-04-29
DELTA HOLDING,48.7,48.7,0.0,717548.8,14735.0,2024-04-29
DISTY TECHNOLOGIES,248.0,248.0,0.0,1584167.9,6406.0,2024-04-29
DOUJA PROM ADDOHA,33.0,33.49,0.0148,13718749.02,407581.0,2024-04-29
ENNAKL,35.4,35.19,-0.0059,32211.84,943.0,2024-04-29
FENIE BROSSETTE,108.6,113.0,0.0405,32662.2,293.0,2024-04-29
HPS,560.0,557.0,-0.0054,22547.1,40.0,2024-04-29
IMMORENTE INVEST,93.7,93.9,0.0021,177507.03,1907.0,2024-04-29
INVOLYS,93.0,93.0,0.0,2883.0,31.0,2024-04-29
ITISSALAT AL-MAGHRIB,96.16,96.0,-0.0017000000000000001,3039523.66,31651.0,2024-04-29
JET CONTRACTORS,559.0,580.0,0.037599999999999995,3244437.5,5624.0,2024-04-29
LABEL VIE,4430.0,4430.0,0.0,17720.0,4.0,2024-04-29
LESIEUR CRISTAL,273.0,275.0,0.0073,97237.8,355.0,2024-04-29
LafargeHolcim Maroc,1990.0,2000.0,0.005,62030.0,31.0,2024-04-29
MAGHREB OXYGENE,201.0,202.05,0.0052,24246.0,120.0,2024-04-29
MAGHREBAIL,969.0,968.0,-0.001,22264.0,23.0,2024-04-29
MANAGEM,2275.0,2340.0,0.0286,677728.0,291.0,2024-04-29
MED PAPER,20.3,20.0,-0.0148,132727.79,6707.0,2024-04-29
MICRODATA,660.0,678.3,0.0277,1354.9,2.0,2024-04-29
MINIERE TOUISSIT,1300.0,1327.0,0.0208,491006.0,377.0,2024-04-29
MUTANDIS SCA,269.85,265.0,-0.018000000000000002,3614087.5,13642.0,2024-04-29
PROMOPHARM S.A.,923.0,925.0,0.0022,4625.0,5.0,2024-04-29
REALISATIONS MECANIQUES,95.5,99.0,0.0366,6435.0,65.0,2024-04-29
RESIDENCES DAR SAADA,77.42,78.0,0.0075,46504848.08,580826.0,2024-04-29
RISMA,258.5,264.1,0.0217,1246328.45,4753.0,2024-04-29
S.M MONETIQUE,161.5,157.5,-0.0248,21262.5,135.0,2024-04-29
SMI,1799.0,1790.0,-0.005,94450.0,53.0,2024-04-29
SNEP,580.0,580.0,0.0,162458.8,280.0,2024-04-29
SOCIETE DES BOISSONS DU M,2600.0,2600.0,0.0,688281.0,267.0,2024-04-29
SODEP-Marsa Maroc,287.9,288.0,0.0003,728838.8,2536.0,2024-04-29
SONASID,831.1,835.0,0.004699999999999999,3062462.2,3672.0,2024-04-29
SOTHEMA,1010.0,1010.0,0.0,12120.0,12.0,2024-04-29
STOKVIS NORD AFRIQUE,11.0,11.16,0.014499999999999999,65601.86,5819.0,2024-04-29
STROC INDUSTRIE,36.5,37.12,0.017,71748.76,1911.0,2024-04-29
TAQA MOROCCO,1300.0,1330.0,0.0231,104840.0,80.0,2024-04-29
TGCC S.A,305.0,305.0,0.0,4740762.95,15452.0,2024-04-29
TIMAR,660.0,660.0,0.0,6600.0,10.0,2024-04-29
WAFA ASSURANCE,4200.0,4200.0,0.0,3137500.0,750.0,2024-04-29
ZELLIDJA S.A,78.0,73.33,-0.0599,4399.8,60.0,2024-04-29
