Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1165.0,1187.0,0.0189,1187.0,1.0,2024-10-25
AFRIC INDUSTRIES SA,305.0,304.55,-0.0015,20076.35,66.0,2024-10-25
AFRIQUIA GAZ,3810.0,3850.0,0.0105,1872315.0,491.0,2024-10-25
AKDITAL,1037.0,1035.0,-0.0019,55271721.0,53611.0,2024-10-25
ALLIANCES,328.0,323.0,-0.0152,3424227.9,10561.0,2024-10-25
ALUMINIUM DU MAROC,1385.0,1409.0,0.0173,1409.0,1.0,2024-10-25
ARADEI CAPITAL,500.0,500.0,0.0,3901499.0,7803.0,2024-10-25
ATLANTASANAD,132.15,134.0,0.013999999999999999,67000.0,500.0,2024-10-25
ATTIJARIWAFA BANK,540.0,545.0,0.009300000000000001,56649033.2,104034.0,2024-10-25
AUTO HALL,69.9,68.0,-0.027200000000000002,821503.28,12071.0,2024-10-25
BALIMA,230.0,218.35,-0.0507,436.7,2.0,2024-10-25
BANK OF AFRICA,189.8,188.0,-0.0095,2922643.0,15545.0,2024-10-25
BCP,291.0,290.0,-0.0034000000000000002,8347938.5,28721.0,2024-10-25
