Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1210.0,1224.0,0.0116,1224.0,1.0,2024-05-08
AFRIC INDUSTRIES SA,322.0,320.0,-0.0062,161246.5,503.0,2024-05-08
AKDITAL,715.0,715.0,0.0,13408598.9,18754.0,2024-05-08
ALLIANCES,226.8,229.5,0.011899999999999999,4649684.75,20275.0,2024-05-08
ALUMINIUM DU MAROC,1502.0,1561.0,0.0393,1561.0,1.0,2024-05-08
ARADEI CAPITAL,544.0,549.0,0.0092,14249.0,26.0,2024-05-08
ATLANTASANAD,150.0,150.0,0.0,285420.8,1906.0,2024-05-08
ATTIJARIWAFA BANK,509.6,512.1,0.0049,29887604.1,58393.0,2024-05-08
AUTO HALL,75.98,75.98,0.0,206863.72,2723.0,2024-05-08
BANK OF AFRICA,196.0,198.0,0.0102,251386.5,1275.0,2024-05-08
BCP,294.9,295.9,0.0034000000000000002,25605275.75,86603.0,2024-05-08
CARTIER SAADA,25.7,25.75,0.0019,15429.97,600.0,2024-05-08
CDM,902.8,899.9,-0.0032,449950.0,500.0,2024-05-08
CFG BANK,154.0,154.0,0.0,2876185.75,18697.0,2024-05-08
CIH,380.0,380.0,0.0,1985134.0,5224.0,2024-05-08
COLORADO,52.8,52.82,0.0004,84121.48,1602.0,2024-05-08
COSUMAR,196.0,196.0,0.0,808787.0,4127.0,2024-05-08
CTM,610.1,615.0,0.008,3075.0,5.0,2024-05-08
DELTA HOLDING,47.0,47.37,0.0079,49333.66,1067.0,2024-05-08
DISTY TECHNOLOGIES,253.0,251.0,-0.0079,2689719.6,10716.0,2024-05-08
DISWAY,717.0,717.0,0.0,2151.0,3.0,2024-05-08
DOUJA PROM ADDOHA,30.0,29.73,-0.009000000000000001,10003655.67,333994.0,2024-05-08
ENNAKL,34.0,33.0,-0.0294,74239.05,2248.0,2024-05-08
FENIE BROSSETTE,110.5,110.65,0.0014000000000000002,215452.45,2021.0,2024-05-08
HPS,551.1,550.0,-0.002,535508.6,972.0,2024-05-08
IB MAROC.COM,34.49,34.0,-0.014199999999999999,1700.0,50.0,2024-05-08
IMMORENTE INVEST,94.88,94.85,-0.0003,480592.11,5065.0,2024-05-08
INVOLYS,93.0,94.0,0.0108,4697.0,50.0,2024-05-08
ITISSALAT AL-MAGHRIB,96.2,96.3,0.001,6845736.02,71109.0,2024-05-08
JET CONTRACTORS,593.0,598.0,0.0084,1289249.7,2150.0,2024-05-08
LABEL VIE,4251.0,4405.0,0.0362,103555.0,24.0,2024-05-08
LESIEUR CRISTAL,275.0,275.0,0.0,4990.0,18.0,2024-05-08
LafargeHolcim Maroc,2000.0,1991.0,-0.0045000000000000005,846400.0,425.0,2024-05-08
MAGHREBAIL,968.0,950.0,-0.018600000000000002,9500.0,10.0,2024-05-08
MANAGEM,2335.0,2360.0,0.010700000000000001,4970469.0,2115.0,2024-05-08
MED PAPER,19.94,19.97,0.0015,46328.63,2414.0,2024-05-08
MICRODATA,665.0,654.0,-0.0165,25517.0,39.0,2024-05-08
MINIERE TOUISSIT,1294.0,1289.0,-0.0039000000000000003,555182.0,440.0,2024-05-08
MUTANDIS SCA,264.0,261.25,-0.0104,20611313.45,78279.0,2024-05-08
REALISATIONS MECANIQUES,98.65,100.0,0.0137,4700.0,47.0,2024-05-08
RESIDENCES DAR SAADA,77.6,81.2,0.0464,26896880.45,334998.0,2024-05-08
RISMA,258.0,258.5,0.0019,624862.1,2419.0,2024-05-08
S.M MONETIQUE,169.5,169.0,-0.0029,845.0,5.0,2024-05-08
SANLAM MAROC,1820.0,1825.0,0.0027,12745.0,7.0,2024-05-08
SMI,1834.0,1839.0,0.0027,2976309.0,1634.0,2024-05-08
SNEP,590.0,587.0,-0.0051,82557.0,140.0,2024-05-08
SOCIETE DES BOISSONS DU M,2600.0,2650.0,0.0192,100699.0,38.0,2024-05-08
SODEP-Marsa Maroc,285.0,283.05,-0.0068000000000000005,206968.0,731.0,2024-05-08
SONASID,844.0,833.0,-0.013000000000000001,1532220.5,1838.0,2024-05-08
SOTHEMA,985.0,1010.0,0.0254,5050.0,5.0,2024-05-08
STOKVIS NORD AFRIQUE,10.74,11.27,0.0493,9194.51,824.0,2024-05-08
STROC INDUSTRIE,34.96,34.2,-0.0217,46033.58,1344.0,2024-05-08
TAQA MOROCCO,1401.0,1440.0,0.0278,331008.0,231.0,2024-05-08
TGCC S.A,309.75,309.0,-0.0024,2345520.35,7594.0,2024-05-08
TOTALENERGIES MARKETING,1366.0,1400.0,0.024900000000000002,1400.0,1.0,2024-05-08
WAFA ASSURANCE,4428.0,4300.0,-0.028900000000000002,8600000.0,2000.0,2024-05-08
