Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1248.0,1279.0,0.0248,63950.0,50.0,2024-08-05
AFRIC INDUSTRIES SA,314.0,310.0,-0.0127,25407.5,81.0,2024-08-05
AFRIQUIA GAZ,4000.0,3900.0,-0.025,1841281.0,472.0,2024-08-05
AGMA,6790.0,6384.0,-0.059800000000000006,19152.0,3.0,2024-08-05
AKDITAL,938.1,900.0,-0.0406,36487091.3,40190.0,2024-08-05
ALLIANCES,259.75,239.0,-0.0799,24971964.05,102250.0,2024-08-05
ALUMINIUM DU MAROC,1499.0,1460.0,-0.026000000000000002,39450.0,27.0,2024-08-05
ARADEI CAPITAL,512.1,500.0,-0.0236,365456.7,728.0,2024-08-05
ATLANTASANAD,131.0,132.0,0.0076,374086.55,2867.0,2024-08-05
ATTIJARIWAFA BANK,554.1,535.5,-0.0336,38812461.4,72103.0,2024-08-05
AUTO HALL,67.95,69.8,0.027200000000000002,641845.6,9387.0,2024-08-05
BANK OF AFRICA,196.0,194.95,-0.0054,570614.5,2929.0,2024-08-05
BCP,313.5,305.0,-0.0271,63458497.8,206471.0,2024-08-05
BMCI,630.0,620.0,-0.0159,561553.2,920.0,2024-08-05
CARTIER SAADA,30.0,30.0,0.0,1200.0,40.0,2024-08-05
