Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1235.0,1232.0,-0.0024,1232.0,1.0,2024-05-21
AFRIC INDUSTRIES SA,328.0,320.0,-0.024399999999999998,158339.4,494.0,2024-05-21
AFRIQUIA GAZ,4100.0,4140.0,0.0098,69959800.0,17062.0,2024-05-21
AKDITAL,671.0,671.4,0.0006,5594208.1,8295.0,2024-05-21
ALLIANCES,247.1,245.9,-0.0049,4100757.3,16798.0,2024-05-21
ALUMINIUM DU MAROC,1535.0,1500.0,-0.022799999999999997,15000.0,10.0,2024-05-21
ARADEI CAPITAL,519.9,525.0,0.0098,17914.5,34.0,2024-05-21
ATLANTASANAD,145.0,144.0,-0.0069,19856.8,139.0,2024-05-21
ATTIJARIWAFA BANK,507.7,507.8,0.0002,39534615.2,77870.0,2024-05-21
AUTO HALL,78.0,77.99,-0.0001,75958.81,977.0,2024-05-21
BANK OF AFRICA,194.0,196.85,0.0147,1375.85,7.0,2024-05-21
BCP,293.0,293.0,0.0,8967389.85,30607.0,2024-05-21
BMCI,595.0,580.0,-0.0252,169940.1,293.0,2024-05-21
CFG BANK,165.0,163.05,-0.0118,5307012.95,32198.0,2024-05-21
CIH,388.85,388.6,-0.0006,388.6,1.0,2024-05-21
CIMENTS DU MAROC,1809.0,1865.0,0.031,51533897.0,27819.0,2024-05-21
COLORADO,56.38,54.5,-0.0333,24315.02,434.0,2024-05-21
COSUMAR,194.5,194.6,0.0005,1469619.2,7552.0,2024-05-21
CTM,686.9,660.0,-0.0392,4648.9,7.0,2024-05-21
DELTA HOLDING,50.0,49.49,-0.0102,234595.34,4867.0,2024-05-21
DISTY TECHNOLOGIES,250.0,248.0,-0.008,531730.5,2164.0,2024-05-21
DISWAY,695.0,690.0,-0.0072,168627.6,244.0,2024-05-21
DOUJA PROM ADDOHA,31.75,30.78,-0.030600000000000002,6889621.48,222195.0,2024-05-21
ENNAKL,33.99,33.99,0.0,108384.01,3258.0,2024-05-21
EQDOM,1165.0,1160.0,-0.0043,573037.0,494.0,2024-05-21
FENIE BROSSETTE,118.95,114.15,-0.0404,29637.15,259.0,2024-05-21
HPS,557.9,555.0,-0.0052,299749.2,536.0,2024-05-21
IMMORENTE INVEST,94.65,95.0,0.0037,407673.16,4276.0,2024-05-21
INVOLYS,89.44,89.37,-0.0008,268.11,3.0,2024-05-21
ITISSALAT AL-MAGHRIB,93.55,93.1,-0.0048,10586849.28,113590.0,2024-05-21
JET CONTRACTORS,594.0,588.4,-0.009399999999999999,1115123.7,1899.0,2024-05-21
LABEL VIE,4400.0,4360.0,-0.0091,207024.0,48.0,2024-05-21
LESIEUR CRISTAL,290.0,277.0,-0.044800000000000006,306479.3,1111.0,2024-05-21
LafargeHolcim Maroc,2020.0,2002.0,-0.0089,10056062.0,5023.0,2024-05-21
MAGHREB OXYGENE,208.0,217.0,0.0433,3255.0,15.0,2024-05-21
MAGHREBAIL,925.0,925.0,0.0,119325.0,129.0,2024-05-21
MANAGEM,2440.0,2450.0,0.0040999999999999995,3767702.0,1534.0,2024-05-21
MICRODATA,664.9,664.9,0.0,2659.6,4.0,2024-05-21
MINIERE TOUISSIT,1430.0,1490.0,0.042,13048572.0,8663.0,2024-05-21
RESIDENCES DAR SAADA,100.0,90.1,,39.0,404.0,2024-05-21
S.M MONETIQUE,192.4,192.4,0.0,61760.4,321.0,2024-05-21
SMI,2301.0,2420.0,0.051699999999999996,1934728.0,799.0,2024-05-21
SNEP,588.0,582.0,-0.0102,61077.9,105.0,2024-05-21
SOCIETE DES BOISSONS DU M,2560.0,2575.0,0.0059,1109801.0,431.0,2024-05-21
SODEP-Marsa Maroc,285.95,285.5,-0.0016,8789494.05,30532.0,2024-05-21
SONASID,863.0,860.0,-0.0034999999999999996,1395955.2,1615.0,2024-05-21
SOTHEMA,998.0,1000.0,0.002,219800.0,220.0,2024-05-21
STOKVIS NORD AFRIQUE,11.0,10.85,-0.013600000000000001,24178.87,2202.0,2024-05-21
STROC INDUSTRIE,35.3,35.3,0.0,455.3,13.0,2024-05-21
TAQA MOROCCO,1370.0,1367.0,-0.0022,1395850.0,1021.0,2024-05-21
TGCC S.A,322.5,319.0,,3.0,12124.0,2024-05-21
