Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1123.0,1123.0,0.0,1123.0,1.0,2024-11-29
AFRIC INDUSTRIES SA,299.1,300.0,0.003,44276.0,148.0,2024-11-29
AFRIQUE,15.56,16.0,0.028300000000000002,129145.59,7639.0,2024-11-29
AFRIQUIA GAZ,3822.0,3823.0,0.0003,217968.0,57.0,2024-11-29
AKDITAL,1091.0,1080.0,-0.0101,34072270.0,31396.0,2024-11-29
ALLIANCES,406.0,411.0,0.0123,59499465.1,145128.0,2024-11-29
ALUMINIUM DU MAROC,1400.0,1408.0,0.005699999999999999,168071.0,120.0,2024-11-29
ARADEI CAPITAL,495.0,495.0,0.0,60723342.0,121484.0,2024-11-29
ATLANTASANAD,128.6,130.05,0.0113,3719104.45,28498.0,2024-11-29
ATTIJARIWAFA BANK,573.1,574.0,0.0016,17135500.0,29860.0,2024-11-29
AUTO HALL,65.02,62.0,-0.0464,6855291.96,110303.0,2024-11-29
BCP,300.0,300.0,0.0,31437087.9,104809.0,2024-11-29
BMCI,569.9,571.0,0.0019,2755990.0,4777.0,2024-11-29
CARTIER SAADA,34.0,34.55,0.016200000000000003,4495.35,130.0,2024-11-29
CDM,999.1,993.0,-0.0060999999999999995,21122908.4,21262.0,2024-11-29
CFG BANK,209.0,208.0,-0.0048,9629565.5,46300.0,2024-11-29
CIH,418.0,418.0,0.0,5388346.25,12892.0,2024-11-29
CIMENTS DU MAROC,2000.0,1999.0,-0.0005,6151479.0,3076.0,2024-11-29
COLORADO,51.26,52.52,0.0246,3222.12,61.0,2024-11-29
COSUMAR,196.9,197.5,0.003,565891.5,2880.0,2024-11-29
CTM,623.2,651.9,0.0461,6519.0,10.0,2024-11-29
DELTA HOLDING,52.89,53.0,0.0021,139832.06,2661.0,2024-11-29
DISTY TECHNOLOGIES,241.0,249.95,0.0371,1729535.05,7109.0,2024-11-29
DISWAY,635.0,650.0,0.0236,433393.3,683.0,2024-11-29
DOUJA PROM ADDOHA,40.21,40.61,0.009899999999999999,68294983.65,1681266.0,2024-11-29
ENNAKL,32.75,32.57,-0.0055000000000000005,131496.01,4026.0,2024-11-29
FENIE BROSSETTE,114.0,111.9,-0.0184,165117.75,1443.0,2024-11-29
HPS,545.0,550.0,0.0092,1203141.3,2195.0,2024-11-29
IB MAROC.COM,33.0,32.0,-0.030299999999999997,42925.55,1309.0,2024-11-29
IMMORENTE INVEST,89.6,89.0,-0.0067,2246994.73,25209.0,2024-11-29
INVOLYS,101.8,100.0,-0.0177,1800.0,18.0,2024-11-29
ITISSALAT AL-MAGHRIB,86.1,85.9,-0.0023,16258059.86,189095.0,2024-11-29
JET CONTRACTORS,1570.0,1580.0,0.0064,36235779.0,22965.0,2024-11-29
LABEL VIE,4215.0,4150.0,-0.0154,2184356.0,521.0,2024-11-29
LESIEUR CRISTAL,275.0,276.0,0.0036,11906.5,43.0,2024-11-29
LafargeHolcim Maroc,2000.0,2000.0,0.0,11953920.0,5977.0,2024-11-29
MED PAPER,20.5,20.1,,57415.07,2852.0,2024-11-29
MINIERE TOUISSIT,1560.0,1576.0,,315200.0,200.0,2024-11-29
RESIDENCES DAR SAADA,72.1,75.48,0.046900000000000004,22299177.44,302062.0,2024-11-29
S.M MONETIQUE,280.0,273.1,-0.0246,121907.6,445.0,2024-11-29
SMI,2148.0,2050.0,-0.045599999999999995,214287.0,104.0,2024-11-29
SNEP,515.0,531.1,0.0313,10082311.1,19037.0,2024-11-29
SOCIETE DES BOISSONS DU M,2266.0,2270.0,0.0018,1158478.0,508.0,2024-11-29
SODEP-Marsa Maroc,558.1,548.6,-0.017,36426116.9,65502.0,2024-11-29
SONASID,916.1,901.0,-0.0165,2939579.3,3245.0,2024-11-29
SOTHEMA STOKVIS NORD,920.0,949.0,0.0315,3872336.0,4142.0,2024-11-29
TGCC S.A,495.5,470.0,-0.051500000000000004,69192122.4,145712.0,2024-11-29
TOTALENERGIES MARKETING,1579.0,1519.0,-0.038,1768735.0,1162.0,2024-11-29
