Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1224.0,1224.0,0.0,1224.0,1.0,2024-06-25
AFRIC INDUSTRIES SA,320.1,320.0,-0.0003,838410.75,2618.0,2024-06-25
AFRIQUIA GAZ,4120.0,4120.0,0.0,16460.0,4.0,2024-06-25
AGMA,6989.0,6825.0,-0.0235,6825.0,1.0,2024-06-25
AKDITAL,685.0,680.0,-0.0073,547151.8,803.0,2024-06-25
ALLIANCES,244.55,250.0,0.0223,8791152.75,35373.0,2024-06-25
ALUMINIUM DU MAROC,1529.0,1499.0,-0.0196,1499.0,1.0,2024-06-25
ARADEI CAPITAL,491.0,491.2,0.0004,190357.2,387.0,2024-06-25
ATTIJARIWAFA BANK,510.0,518.2,0.0161,31278136.7,60302.0,2024-06-25
AUTO HALL,74.9,72.99,-0.0255,3584.34,48.0,2024-06-25
BANK OF AFRICA,190.0,195.0,0.0263,1634413.45,8394.0,2024-06-25
BCP,292.0,296.5,0.0154,96554060.35,326501.0,2024-06-25
BMCI,590.0,637.5,0.0805,502732.3,802.0,2024-06-25
CDM,880.0,932.7,0.0599,7461.6,8.0,2024-06-25
CFG BANK,156.0,162.5,0.0417,14228005.65,89196.0,2024-06-25
CIH,378.5,385.0,0.0172,5520337.95,14461.0,2024-06-25
CIMENTS DU MAROC,1751.0,1802.0,0.0291,1859384.0,1033.0,2024-06-25
COLORADO,50.11,52.0,0.0377,675.85,13.0,2024-06-25
COSUMAR,192.15,192.05,-0.0005,10026.05,52.0,2024-06-25
CTM,676.9,695.0,0.026699999999999998,408408.0,600.0,2024-06-25
DELTA HOLDING,48.79,48.0,-0.016200000000000003,753244.14,15334.0,2024-06-25
DISTY TECHNOLOGIES,252.0,263.0,0.0437,586182.5,2281.0,2024-06-25
DISWAY,680.0,697.0,0.025,22207.0,33.0,2024-06-25
DOUJA PROM ADDOHA,29.36,30.0,0.0218,23364133.76,783086.0,2024-06-25
ENNAKL,33.91,34.98,0.0316,15255.36,444.0,2024-06-25
EQDOM,1240.0,1150.0,-0.0726,64411.0,56.0,2024-06-25
FENIE BROSSETTE,98.01,103.0,0.0509,291444.25,2791.0,2024-06-25
HPS,521.0,523.0,0.0038,12526428.5,23991.0,2024-06-25
IB MAROC.COM,30.0,31.9,0.0633,1084.38,34.0,2024-06-25
IMMORENTE INVEST,93.49,93.0,-0.0052,691090.15,7432.0,2024-06-25
INVOLYS,85.0,85.0,0.0,85.0,1.0,2024-06-25
ITISSALAT AL-MAGHRIB,87.31,93.0,0.0652,76926724.62,841608.0,2024-06-25
JET CONTRACTORS,561.0,574.0,0.0232,697712.7,1219.0,2024-06-25
LABEL VIE,4300.0,4289.0,-0.0026,27187010.0,6521.0,2024-06-25
LESIEUR CRISTAL,275.0,275.0,0.0,72050.0,262.0,2024-06-25
LafargeHolcim Maroc,1911.0,1960.0,0.0256,17254169.0,8815.0,2024-06-25
M2M Group,490.0,460.65,-0.0599,4606.5,10.0,2024-06-25
MAGHREB OXYGENE,208.0,214.0,0.0288,214.0,1.0,2024-06-25
MANAGEM,2427.0,2480.0,0.0218,1229160.0,502.0,2024-06-25
MED PAPER,18.8,18.95,0.008,34163.9,1826.0,2024-06-25
MICRODATA,634.1,649.9,0.024900000000000002,584910.0,900.0,2024-06-25
MINIERE TOUISSIT,1370.0,1286.0,-0.0613,12240735.0,9477.0,2024-06-25
MUTANDIS SCA,268.0,271.9,0.0146,4958076.4,18295.0,2024-06-25
PROMOPHARM S.A.,934.0,934.0,0.0,97136.0,104.0,2024-06-25
REBAB COMPANY,70.9,70.9,0.0,141.8,2.0,2024-06-25
RESIDENCES DAR SAADA,79.1,81.0,0.024,6399134.31,80695.0,2024-06-25
RISMA,243.0,242.0,-0.0040999999999999995,130597.65,540.0,2024-06-25
S.M MONETIQUE,170.0,167.0,-0.0176,400967.0,2401.0,2024-06-25
SMI,2230.0,2400.0,0.0762,472439.0,210.0,2024-06-25
SNEP,519.0,514.9,-0.0079,129382.6,251.0,2024-06-25
SOCIETE DES BOISSONS DU M,2540.0,2500.0,-0.015700000000000002,787498.0,315.0,2024-06-25
SODEP-Marsa Maroc,300.0,315.0,0.05,28144091.9,89989.0,2024-06-25
SONASID,818.8,830.0,0.0137,2242666.9,2706.0,2024-06-25
SOTHEMA,1029.0,1000.0,-0.0282,6011.0,6.0,2024-06-25
STOKVIS NORD AFRIQUE,11.08,10.72,-0.0325,1396.05,130.0,2024-06-25
TAQA MOROCCO,1295.0,1358.0,0.048600000000000004,974768.0,738.0,2024-06-25
TGCC S.A,308.0,313.3,0.0172,8709639.5,27859.0,2024-06-25
TOTALENERGIES MARKETING,1360.0,1400.0,0.0294,68764.0,50.0,2024-06-25
WAFA ASSURANCE,4050.0,4090.0,0.009899999999999999,4447280.0,1088.0,2024-06-25
