Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1255.0,1255.0,0.0,1255.0,1.0,2024-08-15
AFRIC INDUSTRIES SA,313.85,313.0,-0.0027,43309.55,138.0,2024-08-15
AFRIQUIA GAZ,3850.0,3850.0,0.0,1039500.0,270.0,2024-08-15
AKDITAL,920.0,920.2,0.0002,2914589.0,3169.0,2024-08-15
ALLIANCES,245.1,249.45,0.0177,1425113.15,5776.0,2024-08-15
ALUMINIUM DU MAROC,1441.0,1444.0,0.0021,18778.0,13.0,2024-08-15
ARADEI CAPITAL,509.3,508.9,-0.0008,179825.25,360.0,2024-08-15
ATLANTASANAD,131.0,130.0,-0.0076,3262394.4,25096.0,2024-08-15
ATTIJARIWAFA BANK,540.0,544.4,0.008100000000000001,11471403.4,21212.0,2024-08-15
AUTO HALL,67.51,67.0,-0.0076,362809.47,5407.0,2024-08-15
BANK OF AFRICA,192.0,195.0,0.015600000000000001,485084.0,2505.0,2024-08-15
BCP,313.1,314.5,0.0045000000000000005,10959551.15,34909.0,2024-08-15
BMCI,627.0,625.0,-0.0032,3125.0,5.0,2024-08-15
CARTIER SAADA,29.0,30.0,0.0345,120801.04,4022.0,2024-08-15
CFG BANK,174.0,174.0,0.0,1143012.5,6569.0,2024-08-15
CIMENTS DU MAROC,1829.0,1840.0,0.006,3738706.0,2032.0,2024-08-15
COLORADO,52.0,50.0,-0.0385,135398.51,2693.0,2024-08-15
COSUMAR,188.9,188.0,-0.0048,1021924.15,5411.0,2024-08-15
CTM,680.0,672.1,-0.0116,45252.8,67.0,2024-08-15
DELTA HOLDING,51.0,51.5,0.0098,43659.49,869.0,2024-08-15
DISTY TECHNOLOGIES,238.95,236.1,-0.011899999999999999,35395.9,149.0,2024-08-15
DISWAY,665.0,688.8,0.0358,39563.7,58.0,2024-08-15
DOUJA PROM ADDOHA,30.16,30.6,0.0146,3928231.61,129183.0,2024-08-15
ENNAKL,32.0,32.0,0.0,357901.07,11081.0,2024-08-15
FENIE BROSSETTE,98.0,107.75,0.09949999999999999,380990.81,3708.0,2024-08-15
HPS,529.9,530.0,0.0002,23131955.5,43652.0,2024-08-15
IB MAROC.COM,30.89,30.9,0.0003,927.0,30.0,2024-08-15
IMMORENTE INVEST,92.9,92.89,-0.0001,8320.49,90.0,2024-08-15
INVOLYS,87.76,87.88,0.0014000000000000002,18517.31,211.0,2024-08-15
ITISSALAT AL-MAGHRIB,90.0,90.8,0.0089,6590781.86,72668.0,2024-08-15
JET CONTRACTORS,618.0,614.0,-0.006500000000000001,231903.8,377.0,2024-08-15
LABEL VIE,4580.0,4580.0,0.0,45800.0,10.0,2024-08-15
LafargeHolcim Maroc,1970.0,1970.0,0.0,3152000.0,1600.0,2024-08-15
M2M Group,448.1,448.2,0.0002,7619.4,17.0,2024-08-15
MAGHREB OXYGENE,224.0,224.0,0.0,448.0,2.0,2024-08-15
MANAGEM,2730.0,2740.0,0.0037,3327775.0,1219.0,2024-08-15
MAROC LEASING,414.45,415.0,0.0013,7055.0,17.0,2024-08-15
MED PAPER,19.18,21.0,0.0949,1208567.68,59202.0,2024-08-15
MINIERE TOUISSIT,1670.0,1690.0,0.012,4649401.0,2757.0,2024-08-15
MUTANDIS SCA,265.0,262.0,-0.0113,4066017.65,15629.0,2024-08-15
PROMOPHARM S.A.,953.0,952.8,-0.0002,47640.0,50.0,2024-08-15
REALISATIONS MECANIQUES,490.95,540.0,0.0999,304560.0,564.0,2024-08-15
RESIDENCES DAR SAADA,83.9,85.49,0.019,17239688.3,204744.0,2024-08-15
RISMA,237.9,237.8,-0.0004,3526.2,15.0,2024-08-15
S.M MONETIQUE,190.0,190.0,0.0,88755.0,467.0,2024-08-15
SMI,2270.0,2200.0,-0.0308,4400.0,2.0,2024-08-15
SNEP,507.9,500.0,-0.015600000000000001,392760.0,785.0,2024-08-15
SOCIETE DES BOISSONS DU M,2599.0,2599.0,0.0,46782.0,18.0,2024-08-15
SODEP-Marsa Maroc,375.0,372.95,-0.0055000000000000005,2044766.0,5483.0,2024-08-15
SONASID,860.0,860.0,0.0,21500.0,25.0,2024-08-15
SOTHEMA,945.0,945.0,0.0,69930.0,74.0,2024-08-15
STOKVIS NORD AFRIQUE,11.2,12.31,0.09910000000000001,169330.31,14377.0,2024-08-15
STROC INDUSTRIE,40.6,44.65,0.0998,462688.05,10663.0,2024-08-15
TAQA MOROCCO,1290.0,1290.0,0.0,3974346.0,3081.0,2024-08-15
TGCC S.A,342.0,344.0,0.0058,1005949.1,2934.0,2024-08-15
WAFA ASSURANCE,4100.0,4100.0,0.0,49200.0,12.0,2024-08-15
