Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1244.0,1255.0,0.0088,1255.0,1.0,2024-08-28
AFRIC INDUSTRIES SA,310.55,313.9,0.0108,23473.3,75.0,2024-08-28
AFRIQUIA GAZ,3930.0,3940.0,0.0025,3976872.0,1012.0,2024-08-28
AKDITAL,931.2,949.0,0.0191,7519955.0,8006.0,2024-08-28
ALLIANCES,250.0,253.0,0.012,6790282.75,26927.0,2024-08-28
ARADEI CAPITAL,499.9,499.0,-0.0018,70927.7,143.0,2024-08-28
ATLANTASANAD,134.0,132.6,-0.0104,80616.15,607.0,2024-08-28
ATTIJARIWAFA BANK,535.0,535.0,0.0,14487542.3,27050.0,2024-08-28
AUTO HALL,69.99,68.7,-0.0184,210933.73,3060.0,2024-08-28
BALIMA,220.0,220.0,0.0,2200.0,10.0,2024-08-28
BANK OF AFRICA,196.0,193.0,-0.015300000000000001,980632.1,5079.0,2024-08-28
BCP,311.3,312.0,0.0022,4370063.0,14038.0,2024-08-28
BMCI,648.0,650.0,0.0031,603382.0,929.0,2024-08-28
CARTIER SAADA,33.5,36.84,0.09970000000000001,76737.72,2083.0,2024-08-28
CFG BANK,174.0,174.5,0.0029,1134162.85,6521.0,2024-08-28
CIMENTS DU MAROC,1790.0,1790.0,0.0,2080126.0,1162.0,2024-08-28
COLORADO,51.96,51.72,-0.0046,15035.14,294.0,2024-08-28
COSUMAR,187.5,188.0,0.0027,4180662.45,22230.0,2024-08-28
CTM,660.2,660.0,-0.0003,262080.9,397.0,2024-08-28
DELTA HOLDING,50.98,50.99,0.0002,49423.71,990.0,2024-08-28
DISTY TECHNOLOGIES,237.0,235.0,-0.0084,348638.0,1480.0,2024-08-28
DISWAY,687.9,680.0,-0.0115,18360.0,27.0,2024-08-28
DOUJA PROM ADDOHA,30.0,30.01,0.0003,8448007.55,281299.0,2024-08-28
ENNAKL,33.0,32.59,-0.0124,124000.34,3770.0,2024-08-28
EQDOM,1150.0,1180.0,0.026099999999999998,2360.0,2.0,2024-08-28
FENIE BROSSETTE,112.05,114.0,0.0174,309402.6,2768.0,2024-08-28
HPS,561.0,580.0,0.0339,35307953.5,60958.0,2024-08-28
IB MAROC.COM,32.0,35.19,0.09970000000000001,133439.9,3809.0,2024-08-28
IMMORENTE INVEST,93.0,93.0,0.0,9501895.1,102165.0,2024-08-28
INVOLYS,107.2,106.0,-0.011200000000000002,59942.9,562.0,2024-08-28
ITISSALAT AL-MAGHRIB,96.02,96.0,-0.0002,16165443.71,167535.0,2024-08-28
JET CONTRACTORS,635.0,670.0,0.055099999999999996,4065490.7,6189.0,2024-08-28
LESIEUR CRISTAL,274.0,266.2,-0.0285,3197.7,12.0,2024-08-28
LafargeHolcim Maroc,1935.0,1935.0,0.0,3154060.0,1630.0,2024-08-28
M2M Group,456.7,484.1,0.06,4841.0,10.0,2024-08-28
MAGHREB OXYGENE,213.0,213.3,0.0014000000000000002,1279.8,6.0,2024-08-28
MANAGEM,2751.0,2799.0,0.0174,1211176.0,4375.0,2024-08-28
MUTANDIS SCA,261.25,267.0,0.022000000000000002,1400331.2,5285.0,2024-08-28
REALISATIONS MECANIQUES,557.2,540.0,-0.030899999999999997,595307.8,1113.0,2024-08-28
RISMA,238.35,237.5,-0.0036,71170.45,302.0,2024-08-28
S.M MONETIQUE,237.85,260.0,0.0931,547317.3,2202.0,2024-08-28
SALAFIN,568.0,550.2,-0.0313,2200.8,4.0,2024-08-28
SANLAM MAROC,1900.0,2000.0,0.0526,8000.0,4.0,2024-08-28
SMI,2299.0,2250.0,-0.0213,5353319.0,2333.0,2024-08-28
SNEP,510.0,502.0,-0.015700000000000002,812541.6,1614.0,2024-08-28
SOCIETE DES BOISSONS DU M,2628.0,2680.0,0.019799999999999998,829370.0,310.0,2024-08-28
SODEP-Marsa Maroc,370.1,375.15,0.013600000000000001,15774004.6,42062.0,2024-08-28
SONASID,855.0,850.0,-0.0058,676324.8,797.0,2024-08-28
SOTHEMA,951.1,953.2,0.0022,56409.6,58.0,2024-08-28
STOKVIS NORD AFRIQUE,16.95,15.99,-0.056600000000000004,205798.2,12876.0,2024-08-28
STROC INDUSTRIE,62.99,67.5,0.0716,1040404.02,15756.0,2024-08-28
TAQA MOROCCO,1325.0,1310.0,-0.0113,3090948.0,2363.0,2024-08-28
TGCC S.A,344.25,352.15,0.0229,11451731.45,32624.0,2024-08-28
TOTALENERGIES MARKETING,1460.0,1450.0,-0.0068000000000000005,4906400.0,3384.0,2024-08-28
WAFA ASSURANCE,4120.0,4120.0,0.0,5496080.0,1334.0,2024-08-28
ZELLIDJA S.A,90.0,95.39,0.0599,2575.53,27.0,2024-08-28
