Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1200.0,1200.0,0.0,1200.0,1.0,2024-01-03
AFRIC INDUSTRIES SA,334.95,325.0,-0.0297,10764.15,33.0,2024-01-03
AFRIQUIA GAZ,4000.0,3965.0,-0.0088,3172000.0,800.0,2024-01-03
AGMA,6760.0,6900.0,0.0207,13800.0,2.0,2024-01-03
AKDITAL,498.0,496.1,-0.0038,3025973.15,6083.0,2024-01-03
ALLIANCES,123.5,130.0,0.0526,30777033.15,238964.0,2024-01-03
ARADEI CAPITAL,445.0,449.0,0.009000000000000001,466813.0,1049.0,2024-01-03
ATLANTASANAD,125.0,125.0,0.0,5375.0,43.0,2024-01-03
ATTIJARIWAFA BANK,462.5,465.2,0.0058,11294790.6,24371.0,2024-01-03
AUTO HALL,67.0,66.93,-0.001,157717.61,2350.0,2024-01-03
BANK OF AFRICA,180.0,180.0,0.0,1158858.45,6446.0,2024-01-03
BCP,276.95,275.0,-0.006999999999999999,12266703.65,44584.0,2024-01-03
BMCI,548.8,557.9,0.0166,217873.7,403.0,2024-01-03
CARTIER SAADA,22.01,22.0,-0.0005,27746.54,1252.0,2024-01-03
CFG BANK,146.0,148.05,0.013999999999999999,40290977.35,276798.0,2024-01-03
CIH,350.0,347.5,-0.0070999999999999995,2336035.0,6693.0,2024-01-03
CIMENTS DU MAROC,1680.0,1681.0,0.0006,339498.0,202.0,2024-01-03
COLORADO,46.9,46.76,-0.003,9791.0,210.0,2024-01-03
COSUMAR,195.9,200.0,0.0209,1604543.3,8032.0,2024-01-03
CTM,570.1,572.0,0.0033,88660.0,155.0,2024-01-03
DARI COUSPATE,3200.0,3200.0,0.0,1273600.0,398.0,2024-01-03
DELTA HOLDING,36.0,36.9,0.025,192644.06,5341.0,2024-01-03
DISTY TECHNOLOGIES,187.0,190.0,0.016,31312.0,167.0,2024-01-03
DISWAY,681.5,682.0,0.0007000000000000001,3085763.3,4525.0,2024-01-03
DOUJA PROM ADDOHA,14.83,15.15,0.0216,6635720.83,440524.0,2024-01-03
EQDOM,993.0,990.0,-0.003,1119690.0,1131.0,2024-01-03
HPS,622.0,620.1,-0.0031,25817183.8,41375.0,2024-01-03
IMMORENTE INVEST,94.8,95.5,0.0074,3915.2,41.0,2024-01-03
ITISSALAT AL-MAGHRIB,99.25,100.05,0.008100000000000001,6588629.22,66259.0,2024-01-03
JET CONTRACTORS,256.0,255.5,-0.002,86033.75,344.0,2024-01-03
LABEL VIE,4200.0,4200.0,0.0,5027400.0,1197.0,2024-01-03
LESIEUR CRISTAL,270.0,270.0,0.0,2700.1,10.0,2024-01-03
LafargeHolcim Maroc,1920.0,1950.0,0.015600000000000001,2413062.0,1238.0,2024-01-03
MAGHREB OXYGENE,230.0,230.0,0.0,1150.0,5.0,2024-01-03
MANAGEM,1840.0,1873.0,0.0179,3337096.0,1790.0,2024-01-03
MARKETING,1170.0,1175.004,0.0043,3941568.0,342.0,2024-01-03
MED PAPER,20.1,19.91,-0.0095,428638.4,21587.0,2024-01-03
MICRODATA,600.0,600.0,0.0,1200.0,2.0,2024-01-03
MINIERE TOUISSIT,1195.0,1200.0,0.0042,21858722.0,17651.0,2024-01-03
MUTANDIS SCA,248.0,254.0,0.0242,4311900.85,17080.0,2024-01-03
RESIDENCES DAR SAADA,22.5,22.48,-0.0009,349197.46,15401.0,2024-01-03
RISMA,206.95,204.0,-0.0143,2831148.1,14038.0,2024-01-03
SALAFIN,520.0,544.0,0.0462,27200.0,50.0,2024-01-03
SANLAM MAROC,1300.0,1290.0,-0.0077,4239855.0,3249.0,2024-01-03
SMI,1333.0,1369.0,0.027000000000000003,932429.0,693.0,2024-01-03
SNEP,489.5,487.0,-0.0051,14960.8,31.0,2024-01-03
SOCIETE DES BOISSONS DU,2202.0,2333.0,0.059500000000000004,116650.0,50.0,2024-01-03
SODEP-Marsa Maroc,275.0,279.8,0.0175,2286867.2,8272.0,2024-01-03
SONASID,668.0,672.0,0.006,496168.6,755.0,2024-01-03
SOTHEMA,991.0,993.0,0.002,993000.0,1000.0,2024-01-03
STOKVIS NORD AFRIQUE,10.96,11.08,0.0109,239.79,22.0,2024-01-03
STROC INDUSTRIE,29.01,29.5,0.0169,11800.0,400.0,2024-01-03
TAQA MOROCCO,1100.0,1135.0,0.0318,13946556.0,12677.0,2024-01-03
TGCC S.A TOTALENERGIES,190.0,188.3,-0.0089,3992084.25,211733.0,2024-01-03
