Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1224.0,1224.0,0.0,1224.0,1.0,2024-05-09
AFRIQUIA GAZ,4110.0,4100.0,-0.0024,1086560.0,265.0,2024-05-09
AKDITAL,715.0,717.0,0.0028000000000000004,3957505.1,5496.0,2024-05-09
ALLIANCES,229.5,238.5,0.0392,18982592.0,81435.0,2024-05-09
ALUMINIUM DU MAROC,1561.0,1570.0,0.0058,7674.0,5.0,2024-05-09
ARADEI CAPITAL,549.0,546.0,-0.0055000000000000005,1508699.2,2823.0,2024-05-09
ATLANTASANAD,150.0,147.4,-0.0173,3195523.3,21667.0,2024-05-09
ATTIJARIWAFA BANK,512.1,517.7,0.0109,15057714.6,29298.0,2024-05-09
AUTO HALL,75.98,78.0,0.026600000000000002,1139422.16,15006.0,2024-05-09
BANK OF AFRICA,198.0,196.5,-0.0076,393.0,2.0,2024-05-09
BCP,295.9,296.0,0.0003,10141802.6,34363.0,2024-05-09
BMCI,593.0,598.0,0.0084,591050.0,1000.0,2024-05-09
CARTIER SAADA,25.75,26.0,0.0097,100347.93,3815.0,2024-05-09
CDM,899.9,900.0,0.0001,455400.0,506.0,2024-05-09
CFG BANK,154.0,157.35,0.0218,8679556.95,55410.0,2024-05-09
CIMENTS DU MAROC,1751.0,1785.0,0.0194,33045557.0,18631.0,2024-05-09
COLORADO,52.82,53.0,0.0034000000000000002,503618.87,9518.0,2024-05-09
COSUMAR,196.0,196.0,0.0,450312.0,2298.0,2024-05-09
CTM,615.0,625.0,0.0163,7500.0,12.0,2024-05-09
DELTA HOLDING,47.37,46.99,-0.008,85041.61,1861.0,2024-05-09
DISTY TECHNOLOGIES,251.0,249.2,-0.0072,193807.95,775.0,2024-05-09
DISWAY,717.0,715.0,-0.0028000000000000004,21450.0,30.0,2024-05-09
DOUJA PROM ADDOHA,29.73,30.6,0.029300000000000003,39829490.08,375931.0,2024-05-09
ENNAKL,33.0,32.5,-0.0152,123602.65,3777.0,2024-05-09
EQDOM,1225.0,1198.0,-0.022000000000000002,3594.0,3.0,2024-05-09
FENIE BROSSETTE,110.65,109.4,-0.0113,244536.85,2314.0,2024-05-09
HPS,550.0,547.5,-0.0045000000000000005,1114096.9,2032.0,2024-05-09
IB MAROC.COM,34.0,34.49,0.0144,50324.9,1480.0,2024-05-09
IMMORENTE INVEST,94.85,94.75,-0.0011,49984.0,535.0,2024-05-09
ITISSALAT AL-MAGHRIB,96.3,96.2,-0.001,1253423.24,13020.0,2024-05-09
JET CONTRACTORS,598.0,597.0,-0.0017000000000000001,1525505.0,2558.0,2024-05-09
LABEL VIE,4405.0,4389.0,-0.0036,2198900.0,501.0,2024-05-09
LafargeHolcim Maroc,1991.0,2000.0,0.0045000000000000005,25633094.0,12838.0,2024-05-09
MAGHREB OXYGENE,202.05,214.15,0.0599,214.15,1.0,2024-05-09
MAGHREBAIL,950.0,945.0,-0.0053,86940.0,92.0,2024-05-09
MANAGEM,2360.0,2400.0,0.0169,12742111.0,5311.0,2024-05-09
MED PAPER,19.97,19.18,-0.039599999999999996,42301.35,2183.0,2024-05-09
MINIERE TOUISSIT,1289.0,1270.0,-0.0147,721410.0,566.0,2024-05-09
MUTANDIS SCA,261.25,264.0,0.0105,1408968.75,5340.0,2024-05-09
REALISATIONS MECANIQUES,100.0,99.9,-0.001,4995.0,50.0,2024-05-09
RESIDENCES DAR SAADA,81.2,85.0,0.046799999999999994,37179804.75,439917.0,2024-05-09
RISMA,258.5,250.0,-0.0329,759302.5,2966.0,2024-05-09
S.M MONETIQUE,169.0,170.05,0.0062,121415.7,714.0,2024-05-09
SALAFIN,587.0,586.0,-0.0017000000000000001,58599.8,100.0,2024-05-09
SANLAM MAROC,1825.0,1825.0,0.0,31013.0,17.0,2024-05-09
SMI,1839.0,1902.0,0.034300000000000004,997877.0,530.0,2024-05-09
SNEP,587.0,587.0,0.0,117258.5,199.0,2024-05-09
SOCIETE DES BOISSONS DU M,2650.0,2647.0,-0.0011,1323500.0,500.0,2024-05-09
SODEP-Marsa Maroc,283.05,285.0,0.0069,10279506.05,35884.0,2024-05-09
SONASID,833.0,830.0,-0.0036,8303403.1,9993.0,2024-05-09
SOTHEMA,1010.0,1009.0,-0.001,131200.0,130.0,2024-05-09
STOKVIS NORD AFRIQUE,11.27,11.2,-0.0062,1800.99,161.0,2024-05-09
STROC INDUSTRIE,34.2,34.47,0.0079,2237.51,69.0,2024-05-09
TAQA MOROCCO,1440.0,1408.0,-0.0222,28156484.0,19940.0,2024-05-09
TGCC S.A,309.0,311.8,0.0091,18319901.75,59624.0,2024-05-09
TIMAR,660.0,660.0,0.0,660.0,1.0,2024-05-09
WAFA ASSURANCE,4300.0,4300.0,0.0,567600.0,132.0,2024-05-09
