Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1183.0,1185.0,0.0017000000000000001,1185.0,1.0,2024-10-14
AFRIQUIA GAZ,3830.0,3865.0,0.0091,19325.0,5.0,2024-10-14
AKDITAL,1010.0,996.1,-0.0138,5683896.7,5648.0,2024-10-14
ALLIANCES,300.0,293.0,-0.0233,2231183.8,7593.0,2024-10-14
ALUMINIUM DU MAROC,1370.0,1365.0,-0.0036,25957.0,19.0,2024-10-14
ARADEI CAPITAL,515.0,511.0,-0.0078000000000000005,47965.0,94.0,2024-10-14
ATLANTASANAD,130.2,130.2,0.0,93097.8,715.0,2024-10-14
ATTIJARIWAFA BANK,538.0,535.0,-0.005600000000000001,2348327.0,4389.0,2024-10-14
AUTO HALL,68.03,70.99,0.0435,6875.8,100.0,2024-10-14
BANK OF AFRICA,190.0,190.0,0.0,380.0,2.0,2024-10-14
BCP,288.5,289.9,0.0049,3210204.0,11118.0,2024-10-14
CARTIER SAADA,35.8,34.11,-0.0472,21252.14,622.0,2024-10-14
CDM,929.8,940.0,0.011000000000000001,47000.0,50.0,2024-10-14
CIH,390.1,399.85,0.025,3148529.0,8109.0,2024-10-14
CIMENTS DU MAROC,1750.0,1750.0,0.0,3524614.0,2014.0,2024-10-14
COLORADO,52.7,52.55,-0.0028000000000000004,14908.9,287.0,2024-10-14
COSUMAR,196.0,196.1,0.0005,6203637.0,31479.0,2024-10-14
CTM,670.6,669.9,-0.001,22046.8,33.0,2024-10-14
DELTA HOLDING,55.0,55.24,0.0044,34044.83,625.0,2024-10-14
DISTY TECHNOLOGIES,220.0,225.0,0.0227,117588.05,530.0,2024-10-14
DOUJA PROM ADDOHA,33.3,32.1,-0.036000000000000004,27719013.75,849653.0,2024-10-14
ENNAKL,33.69,33.0,-0.020499999999999997,86502.4,2619.0,2024-10-14
FENIE BROSSETTE,105.0,105.0,0.0,36513.5,350.0,2024-10-14
HPS,576.1,572.0,-0.0070999999999999995,2014769.0,3452.0,2024-10-14
IB MAROC.COM,37.03,37.03,0.0,2481.01,67.0,2024-10-14
IMMORENTE INVEST,91.05,91.0,-0.0005,30604.45,336.0,2024-10-14
INVOLYS,102.0,101.75,-0.0025,4375.85,43.0,2024-10-14
ITISSALAT AL-MAGHRIB,91.41,91.4,-0.0001,2912652.81,31855.0,2024-10-14
JET CONTRACTORS,1149.0,1100.0,-0.0426,10274797.0,9222.0,2024-10-14
LABEL VIE,4430.0,4494.0,0.0144,22470.0,5.0,2024-10-14
LafargeHolcim Maroc,1838.0,1820.0,-0.0098,1266903.0,696.0,2024-10-14
M2M Group,518.1,516.0,-0.0040999999999999995,1032.0,2.0,2024-10-14
MANAGEM,2685.0,2685.0,0.0,542925.0,202.0,2024-10-14
MED PAPER,20.66,20.5,-0.0077,29070.93,1397.0,2024-10-14
MICRODATA,655.0,640.0,-0.0229,1916.0,3.0,2024-10-14
MINIERE TOUISSIT,1582.0,1551.0,-0.0196,10857.0,7.0,2024-10-14
MUTANDIS SCA,305.9,310.0,0.0134,2108215.9,6802.0,2024-10-14
PROMOPHARM S.A. SAADA,1076.0,1012.0,-0.059500000000000004,2024.0,2.0,2024-10-14
S.M MONETIQUE,211.0,213.0,0.0095,426.0,2.0,2024-10-14
SNEP,482.15,469.95,-0.0253,123781.8,268.0,2024-10-14
SOCIETE DES BOISSONS DU M,2492.0,2450.0,-0.0169,9800.0,4.0,2024-10-14
SODEP-Marsa Maroc,430.0,425.0,-0.0116,11221411.55,26200.0,2024-10-14
SONASID,842.0,835.0,-0.0083,993636.0,1190.0,2024-10-14
SOTHEMA,930.0,950.0,0.0215,14970.0,16.0,2024-10-14
STOKVIS NORD AFRIQUE,15.09,15.24,0.009899999999999999,7005.95,466.0,2024-10-14
STROC INDUSTRIE,52.0,53.78,0.0342,1075.6,20.0,2024-10-14
TAQA MOROCCO,1575.0,1575.0,0.0,624300.0,398.0,2024-10-14
TGCC S.A,400.0,399.9,-0.0003,3301558.1,8200.0,2024-10-14
TOTALENERGIES MARKETING,1580.0,1560.0,-0.0127,881904.0,559.0,2024-10-14
WAFA ASSURANCE,4550.0,4550.0,0.0,27300.0,6.0,2024-10-14
