Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1200.0,1213.0,0.0108,1213.0,1.0,2024-06-12
AFRIC INDUSTRIES SA,319.0,323.0,0.0125,4845.0,15.0,2024-06-12
AKDITAL,671.0,673.0,0.003,1137657.0,1690.0,2024-06-12
ALLIANCES,243.0,245.0,0.008199999999999999,3557091.0,14543.0,2024-06-12
ALUMINIUM DU MAROC,1508.0,1510.0,0.0013,90585.0,60.0,2024-06-12
ARADEI CAPITAL,495.0,499.0,0.008100000000000001,63122.0,128.0,2024-06-12
ATLANTASANAD,136.5,137.5,0.0073,70281.5,518.0,2024-06-12
ATTIJARIWAFA BANK,509.0,508.5,-0.001,7443771.6,14598.0,2024-06-12
AUTO HALL,74.38,72.99,-0.0187,38312.84,516.0,2024-06-12
BANK OF AFRICA,194.0,194.0,0.0,41813.0,217.0,2024-06-12
BCP,291.95,291.0,-0.0033,622628.5,2137.0,2024-06-12
BMCI,627.4,610.0,-0.0277,12201830.0,20003.0,2024-06-12
CARTIER SAADA,30.1,31.39,0.0429,973.14,31.0,2024-06-12
CFG BANK,159.0,158.95,-0.0003,104748835.45,664563.0,2024-06-12
CIH,379.95,379.95,0.0,1903471.15,5084.0,2024-06-12
CIMENTS DU MAROC,1797.0,1780.0,-0.0095,1427560.0,802.0,2024-06-12
COLORADO,53.97,52.02,-0.0361,126653.55,2435.0,2024-06-12
COSUMAR,193.2,194.95,0.0091,11678.0,60.0,2024-06-12
DELTA HOLDING,48.79,48.64,-0.0031,4714.25,99.0,2024-06-12
DISTY TECHNOLOGIES,246.5,245.0,-0.0060999999999999995,2458947.5,10054.0,2024-06-12
DISWAY,690.0,685.0,-0.0072,515701.4,746.0,2024-06-12
DOUJA PROM ADDOHA,29.9,29.4,-0.0167,5063607.49,171433.0,2024-06-12
ENNAKL,34.5,34.5,0.0,4345.98,129.0,2024-06-12
EQDOM,1145.0,1145.0,0.0,132820.0,116.0,2024-06-12
HPS,540.1,539.0,-0.002,656812.5,1217.0,2024-06-12
IMMORENTE INVEST,93.5,93.0,-0.0053,219581.9,2360.0,2024-06-12
INVOLYS,85.5,85.5,0.0,8346.5,98.0,2024-06-12
ITISSALAT AL-MAGHRIB,90.9,90.3,-0.0066,3894651.07,42956.0,2024-06-12
JET CONTRACTORS,560.0,579.9,0.0355,3495537.5,6029.0,2024-06-12
LABEL VIE,4300.0,4170.0,-0.0302,8095205.0,1941.0,2024-06-12
MANAGEM,2275.0,2300.0,0.011000000000000001,3376371.0,1468.0,2024-06-12
MAROC LEASING,414.45,414.45,0.0,21551.4,52.0,2024-06-12
MED PAPER,18.9,18.87,-0.0016,5957.36,315.0,2024-06-12
MINIERE TOUISSIT,1350.0,1394.0,0.0326,286854.0,206.0,2024-06-12
MUTANDIS SCA,270.0,270.0,0.0,613476.0,2272.0,2024-06-12
PROMOPHARM S.A.,984.0,934.0,-0.0508,37360.0,40.0,2024-06-12
REALISATIONS MECANIQUES,96.0,101.7,0.0594,1932.3,19.0,2024-06-12
REBAB COMPANY,70.95,70.9,-0.0007000000000000001,2127.0,30.0,2024-06-12
RESIDENCES DAR SAADA,77.5,81.3,0.049,5219083.27,65133.0,2024-06-12
RISMA,240.0,243.0,0.0125,28470.5,119.0,2024-06-12
S.M MONETIQUE,166.1,166.2,0.0006,498.6,3.0,2024-06-12
SALAFIN,596.9,560.0,-0.061799999999999994,13440.0,24.0,2024-06-12
SMI,2320.0,2329.0,0.0039000000000000003,53350.0,23.0,2024-06-12
SNEP,518.9,500.0,-0.0364,557807.5,1108.0,2024-06-12
SODEP-Marsa Maroc,293.1,295.0,0.006500000000000001,1929060.0,6547.0,2024-06-12
SONASID,812.0,811.5,-0.0006,13098652.0,16265.0,2024-06-12
STOKVIS NORD AFRIQUE,11.1,11.1,0.0,4989.37,460.0,2024-06-12
STROC INDUSTRIE,33.0,33.92,0.0279,201.36,6.0,2024-06-12
TAQA MOROCCO,1320.0,1320.0,0.0,88403.0,67.0,2024-06-12
TGCC S.A,307.0,308.0,0.0033,702721.7,2283.0,2024-06-12
