Action,Cours_Prec,Cours_Cloture,Var_Trim,Volume,Quantite,Nb_Seances,Date_Rapport
AFMA,1200.0,1247.0,0.0392,905275.0,730.0,60.0,20230927
AFRIC INDUSTRIES SA,355.5,324.9,-0.0861,3880869.95,11226.0,52.0,20230927
AFRIQUIA GAZ,4180.0,4200.0,0.0048,57753712.0,13273.0,58.0,20230927
AGMA,6000.0,6600.0,0.1,10585986.0,1699.0,20.0,20230927
AKDITAL,347.5,479.0,0.3784,397854705.0,981356.0,60.0,20230927
ALLIANCES,81.2,114.9,0.415,381440497.63,3949667.0,60.0,20230927
ALUMINIUM DU MAROC,1345.0,1261.0,-0.0625,4705969.0,3597.0,40.0,20230927
ARADEI CAPITAL,446.0,445.0,-0.0022,30472497.25,68906.0,57.0,20230927
ATLANTASANAD,123.0,123.7,0.005699999999999999,44433703.4,367600.0,59.0,20230927
ATTIJARIWAFA BANK,444.0,456.0,0.027000000000000003,1175049841.1,2623261.0,60.0,20230927
AUTO HALL,75.4,68.97,-0.08529999999999999,55593286.28,743840.0,59.0,20230927
AUTO NEJMA,1692.0,1750.0,0.034300000000000004,3276000.0,1872.0,1.0,20230927
BALIMA,155.0,161.15,0.0397,25790.65,164.0,6.0,20230927
BANK OF AFRICA,177.0,183.5,0.036699999999999997,216133410.05,1215015.0,58.0,20230927
BCP,264.0,254.95,-0.034300000000000004,682686818.7,2612935.0,60.0,20230927
BMCI,458.0,559.0,0.2205,166779480.4,329240.0,52.0,20230927
CARTIER SAADA,24.0,23.04,-0.04,848221.08,35595.0,56.0,20230927
CDM,747.0,700.0,-0.0629,24906916.5,34901.0,20.0,20230927
CIH,368.3,386.0,0.0481,70102287.8,194558.0,58.0,20230927
CIMENTS DU MAROC,1530.0,1490.0,-0.026099999999999998,133948923.0,89331.0,55.0,20230927
COLORADO,43.45,45.0,0.035699999999999996,1679379.68,38301.0,58.0,20230927
COSUMAR,195.0,195.0,0.0,118528101.15,587785.0,59.0,20230927
CTM,624.0,583.0,-0.06570000000000001,2551527.4,4213.0,42.0,20230927
DARI COUSPATE,3730.0,3600.0,-0.0349,3547750.0,977.0,4.0,20230927
DELATTRE LEVIVIER MAROC,40.0,40.0,0.0,0.0,0.0,0.0,20230927
DELTA HOLDING,31.0,34.51,0.11320000000000001,45137765.0,1399379.0,57.0,20230927
DIAC SALAF,26.25,26.25,0.0,0.0,0.0,0.0,20230927
DISTY TECHNOLOGIES,206.0,183.95,-0.107,6461669.75,33320.0,57.0,20230927
DISWAY,710.0,699.0,-0.0155,24206169.8,34858.0,52.0,20230927
DOUJA PROM ADDOHA,9.8,16.33,0.6663,691389166.95,49856648.0,60.0,20230927
ENNAKL,31.8,31.76,-0.0013,1811307.19,57474.0,58.0,20230927
EQDOM,980.0,1100.0,0.12240000000000001,46210975.0,43365.0,41.0,20230927
FENIE BROSSETTE,106.9,97.43,-0.0886,4492246.95,43764.0,54.0,20230927
HPS,5853.0,6306.0,0.0774,228861087.0,38164.0,57.0,20230927
IB MAROC.COM,25.0,23.55,-0.057999999999999996,196403.48,7809.0,39.0,20230927
IMMORENTE INVEST,97.0,96.8,-0.0021,13818826.63,143871.0,58.0,20230927
ITISSALAT AL-MAGHRIB,95.0,101.0,0.0632,461290218.2,4381968.0,60.0,20230927
JET CONTRACTORS,215.0,228.0,0.0605,56317820.95,230704.0,59.0,20230927
LABEL VIE,4600.0,4600.0,0.0,154270821.0,33415.0,53.0,20230927
LafargeHolcim Maroc,1780.0,1700.0,-0.0449,407956048.0,230069.0,60.0,20230927
LESIEUR CRISTAL,251.5,275.0,0.0934,118377207.7,461990.0,46.0,20230927
M2M Group,725.0,730.0,0.0069,4781851.0,6654.0,21.0,20230927
MAGHREBAIL,940.0,925.8,-0.0151,689952.0,774.0,14.0,20230927
MAGHREB OXYGENE,216.9,220.0,0.0143,520039.45,2327.0,39.0,20230927
