Action,Cours_Prec,Cours_Cloture,Var_Trim,Volume,Quantite,Nb_Seances,Date_Rapport
AFMA,1275.0,1200.0,-0.0588,85961570.0,67473.0,61.0,20230628
AFRIC INDUSTRIES SA,360.0,355.5,-0.0125,959008.95,2682.0,45.0,20230628
AFRIQUIA GAZ,3900.0,4180.0,0.0718,177294847.0,43541.0,55.0,20230628
AGMA,5714.0,6000.0,0.0501,21933132.0,3805.0,24.0,20230628
AKDITAL,287.0,347.5,0.2108,212483302.3,680015.0,61.0,20230628
ALLIANCES,62.12,81.2,0.3071,178000968.04,2493926.0,61.0,20230628
ALUMINIUM DU MAROC,1320.0,1345.0,0.0189,7872664.0,5917.0,45.0,20230628
ARADEI CAPITAL,417.0,446.0,0.0695,67752803.85,153462.0,43.0,20230628
ATLANTASANAD,123.5,123.0,-0.004,33225394.7,257932.0,59.0,20230628
ATTIJARIWAFA BANK,396.15,444.0,0.1208,799554940.05,1900663.0,61.0,20230628
AUTO HALL,68.0,75.4,0.10880000000000001,31461741.1,432891.0,61.0,20230628
AUTO NEJMA,1817.0,1692.0,-0.0688,0.0,0.0,0.0,20230628
BALIMA,160.0,155.0,-0.0313,4376.2,27.0,9.0,20230628
BANK OF AFRICA,162.5,177.0,0.0892,413592070.55,2332984.0,61.0,20230628
BCP,227.0,264.0,0.163,683533931.9,2820559.0,61.0,20230628
BMCI,460.0,458.0,-0.0043,181410735.35,380313.0,53.0,20230628
CARTIER SAADA,26.0,24.0,-0.07690000000000001,1381192.72,58119.0,46.0,20230628
CDM,635.0,747.0,0.1764,77259683.3,110476.0,35.0,20230628
CIH,313.0,368.3,0.17670000000000002,95614987.05,276351.0,59.0,20230628
CIMENTS DU MAROC,1190.0,1530.0,0.2857,185637909.0,131272.0,58.0,20230628
COLORADO,41.9,43.45,0.037000000000000005,2250121.69,52229.0,57.0,20230628
COSUMAR,172.0,195.0,0.13369999999999999,198365453.0,1067774.0,59.0,20230628
CTM,645.0,624.0,-0.0326,486109.0,799.0,37.0,20230628
DARI COUSPATE,3638.0,3730.0,0.0253,5010604.0,1434.0,17.0,20230628
DELATTRE LEVIVIER MAROC,40.0,40.0,0.0,0.0,0.0,0.0,20230628
DELTA HOLDING,26.03,31.0,0.1909,51032199.9,1813458.0,60.0,20230628
DIAC SALAF,26.25,26.25,0.0,0.0,0.0,0.0,20230628
DISTY TECHNOLOGIES,184.0,206.0,0.11960000000000001,6769919.45,34591.0,53.0,20230628
DISWAY,748.0,710.0,-0.0508,26874213.4,37353.0,52.0,20230628
DOUJA PROM ADDOHA,5.8,9.8,0.6897,327061782.78,37254848.0,61.0,20230628
ENNAKL,34.0,31.8,-0.0647,2974422.14,89449.0,52.0,20230628
EQDOM,875.0,980.0,0.12,3316138.9,3392.0,21.0,20230628
FENIE BROSSETTE,118.0,106.9,-0.0941,2632429.75,24236.0,49.0,20230628
HPS,6500.0,5853.0,-0.09949999999999999,203626617.0,34272.0,51.0,20230628
IB MAROC.COM,18.2,25.0,0.3736,38190.02,1706.0,40.0,20230628
IMMORENTE INVEST,98.0,97.0,-0.0102,8613497.69,89284.0,56.0,20230628
INVOLYS,94.6,95.0,0.0042,217713.92,2288.0,28.0,20230628
ITISSALAT AL-MAGHRIB,85.0,95.0,0.1176,1167514719.22,12536353.0,61.0,20230628
JET CONTRACTORS,204.0,215.0,0.053899999999999997,18417947.6,84093.0,48.0,20230628
