Action,Cours_Prec,Cours_Cloture,Var_Trim,Volume,Quantite,Nb_Seances,Date_Rapport
AFMA,1300.0,1275.0,-0.0192,7613457.0,5974.0,64.0,20230331
AFRIC INDUSTRIES SA,339.0,360.0,0.061900000000000004,956985.25,2837.0,43.0,20230331
AFRIQUIA GAZ,4650.0,3900.0,-0.1613,96842003.0,22191.0,43.0,20230331
AGMA,6070.0,5714.0,-0.058600000000000006,33533123.0,5792.0,20.0,20230331
AKDITAL,276.0,287.0,0.039900000000000005,109051042.95,375222.0,64.0,20230331
ALLIANCES,52.0,62.12,0.1946,64869780.13,1245481.0,64.0,20230331
ALUMINIUM DU MAROC,1418.0,1320.0,-0.0691,2107139.0,1624.0,38.0,20230331
ARADEI CAPITAL,405.0,417.0,0.0296,55496281.75,138711.0,57.0,20230331
ATLANTASANAD,125.0,123.5,-0.012,76932941.1,646864.0,60.0,20230331
ATTIJARIWAFA BANK,392.0,396.15,0.0106,984272431.25,2543223.0,64.0,20230331
AUTO HALL,65.0,68.0,0.0462,9488592.72,140086.0,60.0,20230331
AUTO NEJMA,1817.0,1817.0,0.0,0.0,0.0,0.0,20230331
BALIMA,165.0,160.0,-0.030299999999999997,638.45,4.0,3.0,20230331
BANK OF AFRICA,172.0,162.5,-0.0552,296179730.95,1875746.0,64.0,20230331
BCP,231.0,227.0,-0.0173,457278475.45,2009398.0,63.0,20230331
BMCI,354.4,460.0,0.298,174214350.0,383909.0,63.0,20230331
CARTIER SAADA,26.5,26.0,-0.0189,110452.76,4358.0,48.0,20230331
CDM,600.0,635.0,0.0583,21771425.2,35464.0,32.0,20230331
CIH,304.0,313.0,0.0296,49423158.35,162010.0,57.0,20230331
CIMENTS DU MAROC,1280.0,1190.0,-0.0703,136817548.0,110642.0,60.0,20230331
COLORADO,45.5,41.9,-0.0791,1146825.22,27498.0,56.0,20230331
COSUMAR,190.0,172.0,-0.0947,116623140.05,670803.0,64.0,20230331
CTM,676.2,645.0,-0.0461,222314.4,354.0,25.0,20230331
DARI COUSPATE,3955.0,3638.0,-0.0802,67994.0,18.0,4.0,20230331
DELATTRE LEVIVIER MAROC,42.9,40.0,-0.0676,7344.15,186.0,3.0,20230331
DELTA HOLDING,24.0,26.03,0.08460000000000001,12918256.06,510862.0,63.0,20230331
DIAC SALAF,26.25,26.25,0.0,0.0,0.0,0.0,20230331
DISTY TECHNOLOGIES,210.0,184.0,-0.12380000000000001,5658817.6,29922.0,62.0,20230331
DISWAY,670.0,748.0,0.1164,16397495.3,23856.0,54.0,20230331
DOUJA PROM ADDOHA,6.28,5.8,-0.0764,23043025.15,3839313.0,64.0,20230331
ENNAKL,31.38,34.0,0.08349999999999999,1619034.07,53934.0,46.0,20230331
EQDOM,850.0,875.0,0.0294,14358483.2,17262.0,39.0,20230331
FENIE BROSSETTE,124.9,118.0,-0.0552,1409968.25,11877.0,49.0,20230331
HPS,6500.0,6500.0,0.0,42893088.0,7044.0,42.0,20230331
IB MAROC.COM,30.97,18.2,-0.41229999999999994,47303.98,2235.0,32.0,20230331
IMMORENTE INVEST,96.3,98.0,0.0177,11330211.98,118131.0,57.0,20230331
INVOLYS,103.95,94.6,-0.08990000000000001,149167.21,1544.0,26.0,20230331
JET CONTRACTORS,206.0,204.0,-0.0097,6162351.75,30713.0,33.0,20230331
LABEL VIE,4650.0,4350.0,-0.0645,134823006.0,32001.0,48.0,20230331
LafargeHolcim Maroc,1350.0,1382.0,0.023700000000000002,247618490.0,180273.0,52.0,20230331
LESIEUR CRISTAL,230.0,248.25,0.0793,14457213.85,58970.0,59.0,20230331
M2M Group,789.0,778.0,-0.0139,1451632.4,1869.0,11.0,20230331
MAGHREBAIL,899.0,860.0,-0.0434,898055.6,1042.0,10.0,20230331
MAGHREB OXYGENE,244.75,272.0,0.11130000000000001,161638.65,685.0,28.0,20230331
MANAGEM,2530.0,2520.0,-0.004,85437576.0,33438.0,62.0,20230331
MAROC LEASING,353.0,360.0,0.019799999999999998,16248.55,46.0,7.0,20230331
MED PAPER,27.25,24.55,-0.09910000000000001,1618061.61,62293.0,64.0,20230331
MICRODATA,541.8,506.0,-0.0661,12191177.95,23746.0,44.0,20230331
MINIERE TOUISSIT,1680.0,1780.0,0.059500000000000004,60635730.0,36202.0,46.0,20230331
MUTANDIS SCA,218.0,211.1,-0.0317,61364754.55,298165.0,63.0,20230331
OULMES,1554.0,1322.0,-0.1493,203753.0,140.0,4.0,20230331
PROMOPHARM S.A.,1068.0,1040.0,-0.0262,9346.0,9.0,3.0,20230331
REALISATIONS MECANIQUES,150.0,125.0,-0.16670000000000001,44000.25,340.0,15.0,20230331
REBAB COMPANY,113.5,113.5,0.0,0.0,0.0,0.0,20230331
RESIDENCES DAR SAADA,18.0,10.0,-0.44439999999999996,20305025.86,1505425.0,64.0,20230331
RISMA,114.0,122.0,0.0702,9154659.35,77803.0,51.0,20230331
SALAFIN,570.0,638.0,0.1193,9476132.15,17624.0,29.0,20230331
SAMIR,127.8,127.8,0.0,0.0,0.0,0.0,20230331
SANLAM MAROC,990.0,945.0,-0.0455,52597262.7,52736.0,32.0,20230331
SMI,1520.0,1369.0,-0.0993,3675201.0,2683.0,32.0,20230331
S.M MONETIQUE,202.95,194.0,-0.0441,28268.4,152.0,8.0,20230331
SNEP,620.0,483.9,-0.2195,31677860.4,59158.0,64.0,20230331
SOCIETE DES BOISSONS DU M,2398.0,2270.0,-0.053399999999999996,16295032.0,7425.0,20.0,20230331
SODEP-Marsa Maroc,216.0,214.0,-0.009300000000000001,337367092.05,1643997.0,64.0,20230331
SONASID,520.0,560.0,0.07690000000000001,79160052.75,141883.0,63.0,20230331
SOTHEMA,1320.0,1227.0,-0.0705,14346417.0,11042.0,37.0,20230331
STOKVIS NORD AFRIQUE,15.71,11.37,-0.2763,550876.94,46966.0,59.0,20230331
STROC INDUSTRIE,39.72,34.7,-0.1264,117298.56,3206.0,38.0,20230331
TAQA MOROCCO,1098.0,960.0,-0.1257,178874887.9,187742.0,60.0,20230331
TGCC S.A,125.0,123.95,-0.0084,27181390.35,229065.0,63.0,20230331
TIMAR,180.0,204.4,0.1356,157498.1,859.0,29.0,20230331
