Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1160.0,1160.0,0.0,52205.0,45.0,2025-03-11
AFRIC INDUSTRIES SA,332.8,329.0,-0.011399999999999999,123779.2,386.0,2025-03-11
AFRIQUIA GAZ,4510.0,4450.0,-0.013300000000000001,344300.0,76.0,2025-03-11
AKDITAL,1185.0,1171.0,-0.0118,11779287.0,10032.0,2025-03-11
ALLIANCES,560.0,545.0,-0.0268,17217528.6,31482.0,2025-03-11
ALUMINIUM DU MAROC,1600.0,1580.0,-0.0125,151287.0,96.0,2025-03-11
ARADEI CAPITAL,479.8,475.0,-0.01,5861849.2,12336.0,2025-03-11
ATLANTASANAD,147.75,146.0,-0.0118,105690.0,718.0,2025-03-11
ATTIJARIWAFA BANK,637.1,640.0,0.0046,64598798.9,100876.0,2025-03-11
AUTO HALL,76.33,75.5,-0.0109,2378723.79,31906.0,2025-03-11
BANK OF AFRICA,186.5,186.0,-0.0027,3716259.7,19892.0,2025-03-11
BCP,281.0,280.0,-0.0036,6080196.15,21705.0,2025-03-11
BMCI,632.0,616.0,-0.0253,28952.0,47.0,2025-03-11
CARTIER SAADA,33.56,33.5,-0.0018,37743.33,1128.0,2025-03-11
CDM,1104.0,1072.0,-0.028999999999999998,203754.0,185.0,2025-03-11
CFG BANK,230.0,228.2,-0.0078000000000000005,5995202.2,26274.0,2025-03-11
CIMENTS DU MAROC,1911.0,1905.0,-0.0031,8161491.0,4284.0,2025-03-11
CMGP GROUP,328.85,320.0,-0.0269,1879024.9,5865.0,2025-03-11
COLORADO,58.99,58.9,-0.0015,27250.65,464.0,2025-03-11
COSUMAR,206.0,205.0,-0.0049,17302.0,85.0,2025-03-11
CTM,1105.0,1138.0,0.029900000000000003,37180.0,33.0,2025-03-11
DARI COUSPATE,3400.0,3201.0,-0.058499999999999996,12804.0,4.0,2025-03-11
DELTA HOLDING,68.8,67.0,-0.0262,323154.29,4801.0,2025-03-11
DISTY TECHNOLOGIES,300.0,295.35,-0.0155,80327.3,272.0,2025-03-11
DISWAY,765.0,746.0,-0.0248,50856.0,68.0,2025-03-11
DOUJA PROM ADDOHA,41.0,41.57,0.0139,2022848.04,48953.0,2025-03-11
ENNAKL,32.52,33.0,0.0148,350286.44,10593.0,2025-03-11
EQDOM,1056.0,1055.0,-0.0009,526465.0,499.0,2025-03-11
FENIE BROSSETTE,212.0,214.0,0.009399999999999999,1205946.0,5609.0,2025-03-11
HPS,619.9,606.2,-0.022099999999999998,6946860.2,11459.0,2025-03-11
IB MAROC.COM,38.78,39.0,0.005699999999999999,17951.48,462.0,2025-03-11
IMMORENTE INVEST,90.99,90.0,-0.0109,3946264.8,43839.0,2025-03-11
ITISSALAT AL-MAGHRIB,108.85,107.15,-0.015600000000000001,6215190.45,57882.0,2025-03-11
JET CONTRACTORS,2479.0,2440.0,-0.015700000000000002,6463678.0,2634.0,2025-03-11
LABEL VIE,4000.0,4010.0,0.0025,2048024.0,512.0,2025-03-11
MAGHREB OXYGENE,449.15,450.5,0.003,1802.0,4.0,2025-03-11
MANAGEM,4022.0,4022.0,0.0,2339406.0,589.0,2025-03-11
MAROC LEASING,374.0,373.0,-0.0027,61172.0,164.0,2025-03-11
MED PAPER,22.39,21.99,-0.0179,16745.09,757.0,2025-03-11
MICRODATA,789.9,760.0,-0.0379,11401.4,15.0,2025-03-11
MINIERE TOUISSIT,1800.0,1720.0,-0.0444,912050.0,531.0,2025-03-11
MUTANDIS SCA,310.0,310.0,0.0,1984032.5,6400.0,2025-03-11
REBAB COMPANY,91.0,90.0,-0.011000000000000001,9270.0,103096.0,2025-03-11
RESIDENCES DAR SAADA,115.0,114.2,-0.006999999999999999,7699618.8,67.0,2025-03-11
RISMA,304.0,296.0,-0.0263,47867.0,160.0,2025-03-11
SALAFIN,575.0,578.9,0.0068000000000000005,12693.0,22.0,2025-03-11
SMI,2300.0,2300.0,0.0,300750.0,131.0,2025-03-11
SOCIETE DES BOISSONS DU M,2300.0,2300.0,0.0,2846980.0,1.0,2025-03-11
SODEP-Marsa Maroc,710.0,706.0,-0.005600000000000001,61952.0,87.0,2025-03-11
SONASID,1470.0,1466.0,-0.0027,2019436.0,1380.0,2025-03-11
STOKVIS NORD AFRIQUE,26.91,26.0,-0.0338,153.0,5836.0,2025-03-11
TAQA MOROCCO,1698.0,1625.0,-0.043,1318.0,798.0,2025-03-11
