Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1134.0,1134.0,0.0,1134.0,1.0,2025-02-26
AFRIC INDUSTRIES SA,303.0,304.0,0.0033,66597.7,219.0,2025-02-26
AFRIQUIA GAZ,4610.0,4500.0,-0.0239,3081551.0,660.0,2025-02-26
AGMA,6583.0,6580.0,-0.0005,13160.0,2.0,2025-02-26
AKDITAL,1189.0,1226.0,0.0311,203467067.0,168256.0,2025-02-26
ALLIANCES,576.1,605.0,0.050199999999999995,35984299.1,60221.0,2025-02-26
ALUMINIUM DU MAROC,1502.0,1529.0,0.018000000000000002,87424.0,58.0,2025-02-26
ARADEI CAPITAL,476.3,478.0,0.0036,2906285.6,6081.0,2025-02-26
ATLANTASANAD,154.9,156.9,0.0129,1568121.2,10038.0,2025-02-26
ATTIJARIWAFA BANK,666.0,660.0,-0.009000000000000001,27113847.6,40721.0,2025-02-26
AUTO HALL,74.0,73.0,-0.013500000000000002,565219.6,7728.0,2025-02-26
BALIMA,224.0,230.0,0.0268,46230.0,201.0,2025-02-26
BANK OF AFRICA,200.0,200.0,0.0,909838.25,4549.0,2025-02-26
BCP,280.0,284.0,0.0143,81208360.05,287317.0,2025-02-26
BMCI,642.9,642.0,-0.0014000000000000002,516159.8,825.0,2025-02-26
CARTIER SAADA,34.39,34.38,-0.0003,79833.22,2340.0,2025-02-26
CFG BANK,240.0,238.9,-0.0046,29708611.8,126605.0,2025-02-26
CIH,461.0,458.0,-0.006500000000000001,8319655.0,18093.0,2025-02-26
CIMENTS DU MAROC,1900.0,1910.0,0.0053,8064882.0,4233.0,2025-02-26
CMGP GROUP,339.8,337.0,-0.008199999999999999,11091500.65,32831.0,2025-02-26
COLORADO,59.0,59.0,0.0,13887.92,234.0,2025-02-26
COSUMAR,206.05,207.45,0.0068000000000000005,16935026.45,82224.0,2025-02-26
CTM,1175.0,1170.0,-0.0043,393822.0,336.0,2025-02-26
DARI COUSPATE,3499.0,3400.0,-0.028300000000000002,6800000.0,2000.0,2025-02-26
DELTA HOLDING,68.99,67.99,-0.014499999999999999,430826.7,6331.0,2025-02-26
DISTY TECHNOLOGIES,291.05,298.85,0.0268,355884.2,1197.0,2025-02-26
DISWAY,724.2,720.0,-0.0058,84399.3,120.0,2025-02-26
DOUJA PROM ADDOHA,44.0,44.3,0.0068000000000000005,10727849.35,242841.0,2025-02-26
ENNAKL,33.44,33.0,-0.0132,57630.15,1756.0,2025-02-26
EQDOM,1052.0,1056.0,0.0038,765265.0,726.0,2025-02-26
FENIE BROSSETTE,165.2,178.0,0.0775,1544496.65,8968.0,2025-02-26
HPS,648.0,640.0,-0.0123,3931224.5,6167.0,2025-02-26
IB MAROC.COM,41.49,39.57,-0.0463,70539.18,1740.0,2025-02-26
IMMORENTE INVEST,92.35,92.0,-0.0038,107538.0,1169.0,2025-02-26
INVOLYS,99.9,100.0,0.001,15183.7,155.0,2025-02-26
ITISSALAT AL-MAGHRIB,109.55,116.0,0.058899999999999994,358718637.6,86496.0,2025-02-26
JET CONTRACTORS,2633.0,2698.0,0.024700000000000003,16850575.0,6310.0,2025-02-26
LABEL VIE,4200.0,4133.0,-0.016,1072560.0,258.0,2025-02-26
LESIEUR CRISTAL,277.15,273.0,-0.015,104340.6,385.0,2025-02-26
LafargeHolcim Maroc,1902.0,1916.0,0.0074,1430986.0,746.0,2025-02-26
M2M Group,544.5,521.1,-0.043,6253.7,12.0,2025-02-26
MAGHREBAIL,902.0,940.0,0.0421,940.0,1.0,2025-02-26
MUTANDIS,331.4,329.0,-0.0072,913371.0,2762.0,2025-02-26
REALISATIONS MECANIQUES,406.0,415.0,0.0222,43564.0,106.0,2025-02-26
REBAB COMPANY,91.17,92.0,0.0091,1840.0,20.0,2025-02-26
RESIDENCES DAR SAADA,130.0,126.3,-0.0285,18340939.9,142579.0,2025-02-26
RISMA,310.0,309.9,-0.0003,1863864.15,6065.0,2025-02-26
S.M MONETIQUE,414.0,429.0,0.0362,6147744.35,14465.0,2025-02-26
SALAFIN,588.7,578.9,-0.0166,23407.7,41.0,2025-02-26
SANLAM MAROC,1825.0,1900.0,0.041100000000000005,3800.0,2.0,2025-02-26
SCA OULMES,1222.0,1295.0,0.059699999999999996,32375.0,25.0,2025-02-26
SMI,2800.0,2521.0,-0.09960000000000001,2735792.0,1027.0,2025-02-26
SNEP,628.9,622.0,-0.011000000000000001,1017411.2,1632.0,2025-02-26
SOCIETE DES BOISSONS DU,2400.0,2400.0,0.0,12074700.0,5138.0,2025-02-26
SODEP-Marsa Maroc,701.5,742.5,0.0584,47898567.4,64949.0,2025-02-26
SONASID,1510.0,1529.0,0.0126,4125035.0,2703.0,2025-02-26
SOTHEMA,1076.0,1035.0,-0.0381,959139.0,915.0,2025-02-26
STOKVIS NORD AFRIQUE,18.1,18.11,0.0006,35152.89,1930.0,2025-02-26
STROC INDUSTRIE,46.59,45.5,-0.023399999999999997,67422.27,1523.0,2025-02-26
TAQA MOROCCO,1650.0,653.0,,12592671.0,7574.0,2025-02-26
TGCC S.A,700.0,700.0,0.0,46678866.3,66548.0,2025-02-26
ZELLIDJA S.A,4490.0,4.0,0.0,720944.0,3531.0,2025-02-26
