Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1113.0,1113.0,0.0,1113.0,1.0,2025-01-22
AFRIC INDUSTRIES SA,300.0,305.0,0.0167,133634.0,437.0,2025-01-22
AFRIQUIA GAZ,3805.0,3889.0,0.022099999999999998,46630.0,12.0,2025-01-22
AKDITAL,1134.0,1134.0,0.0,13099580.0,11790.0,2025-01-22
ALLIANCES,506.0,509.0,0.0059,34457627.55,68496.0,2025-01-22
ALUMINIUM DU MAROC,1400.0,1404.0,0.0029,33696.0,24.0,2025-01-22
ARADEI CAPITAL,475.0,472.4,-0.0055000000000000005,1276415.4,2696.0,2025-01-22
ATLANTASANAD,152.05,154.9,0.0187,1843740.15,12023.0,2025-01-22
ATTIJARIWAFA BANK,613.8,613.0,-0.0013,85437863.8,139980.0,2025-01-22
AUTO HALL,67.0,66.51,-0.0073,759561.12,11345.0,2025-01-22
BANK OF AFRICA,202.0,209.9,0.0391,6325407.35,30135.0,2025-01-22
BCP,283.0,287.95,0.0175,720450.9,2502.0,2025-01-22
BMCI,660.0,660.0,0.0,231000.0,350.0,2025-01-22
CARTIER SAADA,35.0,34.49,-0.0146,6085.9,177.0,2025-01-22
CDM,1044.0,1040.0,-0.0038,7773278.0,7564.0,2025-01-22
CFG BANK,233.0,234.0,0.0043,6857678.55,29299.0,2025-01-22
CIH,405.0,413.85,0.0219,8451089.65,20872.0,2025-01-22
CIMENTS DU MAROC,1905.0,1900.0,-0.0026,9098283.0,4788.0,2025-01-22
CMGP GROUP,360.0,358.0,-0.005600000000000001,19816760.25,56079.0,2025-01-22
COSUMAR,200.25,201.5,0.0062,15824058.05,78954.0,2025-01-22
CTM,1079.0,1041.0,-0.0352,290493.0,272.0,2025-01-22
DARI COUSPATE,3398.0,3601.0,0.059699999999999996,360100.0,100.0,2025-01-22
DELTA HOLDING,63.0,63.39,0.0062,310298.11,4877.0,2025-01-22
DISTY TECHNOLOGIES,298.0,298.0,0.0,669433.6,2277.0,2025-01-22
DISWAY,675.0,690.1,0.022400000000000003,1970720.5,2817.0,2025-01-22
DOUJA PROM ADDOHA,45.0,44.2,-0.0178,27145963.15,621386.0,2025-01-22
ENNAKL,33.08,33.9,0.0248,10947.05,323.0,2025-01-22
FENIE BROSSETTE,128.0,124.5,-0.0273,718231.4,5964.0,2025-01-22
HPS,666.0,665.0,-0.0015,5978028.0,8969.0,2025-01-22
IB MAROC.COM,34.0,34.99,0.0291,3499.0,100.0,2025-01-22
IMMORENTE INVEST,90.0,90.0,0.0,201668.85,2241.0,2025-01-22
INVOLYS,101.8,102.0,0.002,11699.0,115.0,2025-01-22
ITISSALAT AL-MAGHRIB,89.5,89.2,-0.0034000000000000002,25643666.29,287909.0,2025-01-22
JET CONTRACTORS,2142.0,2145.0,0.0014000000000000002,9421513.0,4431.0,2025-01-22
LABEL VIE,4373.0,4369.0,-0.0009,1901670.0,440.0,2025-01-22
LESIEUR CRISTAL,275.55,279.9,0.0158,6648.6,24.0,2025-01-22
LafargeHolcim Maroc,2040.0,2010.0,-0.0147,18992366.0,9414.0,2025-01-22
M2M Group,520.0,539.9,0.0383,1079.7,2.0,2025-01-22
MAGHREB OXYGENE,270.0,273.0,0.0111,10317.0,39.0,2025-01-22
MANAGEM,3400.0,3300.0,-0.0294,1797323.0,554.0,2025-01-22
MED PAPER,22.2,23.15,0.042800000000000005,25300.8,1139.0,2025-01-22
MICRODATA,660.1,660.0,-0.0002,222571.1,337.0,2025-01-22
MINIERE TOUISSIT,1679.0,1668.0,-0.0066,632770.0,377.0,2025-01-22
MUTANDIS SCA,330.05,327.0,-0.0092,15645377.0,47411.0,2025-01-22
REALISATIONS MECANIQUES,440.0,449.0,0.020499999999999997,52730.9,119.0,2025-01-22
RISMA,250.0,256.0,0.024,4.6,2890.0,2025-01-22
S.M MONETIQUE,345.0,333.5,-0.0333,114384.8,332.0,2025-01-22
SALAFIN,598.0,597.9,-0.0002,72959790.0,100.0,2025-01-22
SMI,2130.0,2130.0,0.0,251251.0,118.0,2025-01-22
SNEP,633.0,629.0,-0.0063,559614.3,894.0,2025-01-22
SOCIETE DES BOISSONS DU M,2350.0,2330.0,-0.0085,1465312.0,629.0,2025-01-22
SODEP-Marsa Maroc,597.0,597.0,0.0,11110839.8,18621.0,2025-01-22
SONASID,1070.0,1053.0,-0.0159,15247573.0,14838.0,2025-01-22
SOTHEMA,933.0,943.0,0.010700000000000001,7523.2,8.0,2025-01-22
TAQA MOROCCO,1410.0,1418.0,0.005699999999999999,1540626.0,1124.0,2025-01-22
UNIMER,177.0,170.0,-0.0395,340.0,2.0,2025-01-22
WAFA ASSURANCE,4550.0,4436.0,-0.025099999999999997,1774400.0,400.0,2025-01-22
ZELLIDJA S.A,135.4,135.0,-0.003,21735.0,161.0,2025-01-22
