Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFRIC INDUSTRIES SA,327.2,328.0,0.0024,197349.7,602.0,2025-11-26
AFRIQUIA GAZ,4015.0,4050.0,0.0087,8100.0,2.0,2025-11-26
AGMA,6798.0,6391.0,-0.0599,12782.0,2.0,2025-11-26
AKDITAL,1280.0,1310.0,0.023399999999999997,20050740.0,15391.0,2025-11-26
ALLIANCES,571.0,574.0,0.0053,9881659.9,17242.0,2025-11-26
ALUMINIUM DU MAROC,1789.0,1789.0,0.0,232570.0,130.0,2025-11-26
ARADEI CAPITAL,442.0,447.9,0.013300000000000001,116734.0,265.0,2025-11-26
ATLANTASANAD,140.0,137.1,-0.0207,490262.0,3566.0,2025-11-26
ATTIJARIWAFA BANK,725.0,730.0,0.0069,31681237.9,43487.0,2025-11-26
AUTO HALL,93.9,94.99,0.0116,194279.51,2059.0,2025-11-26
BANK OF AFRICA,220.1,225.0,0.0223,1358767.3,6037.0,2025-11-26
BCP,280.0,280.0,0.0,3520815.75,12489.0,2025-11-26
BMCI,560.0,568.0,0.0143,113600.0,200.0,2025-11-26
CARTIER SAADA,35.88,35.0,-0.0245,21502.88,614.0,2025-11-26
CDM,940.0,994.0,0.0574,7845361.8,8251.0,2025-11-26
CFG BANK,242.1,245.0,0.012,816233.0,3334.0,2025-11-26
CIH,403.1,409.0,0.0146,467475.6,1143.0,2025-11-26
CIMENTS DU MAROC,1905.0,1880.0,-0.0131,629157.0,333.0,2025-11-26
CMGP GROUP,369.8,368.5,-0.0034999999999999996,3193612.2,8709.0,2025-11-26
COLORADO,84.5,84.4,-0.0012,42887.4,521.0,2025-11-26
COSUMAR,200.0,200.0,0.0,1362136.45,6811.0,2025-11-26
CTM,863.0,863.0,0.0,66864.6,76.0,2025-11-26
DELTA HOLDING,73.0,73.48,0.0066,672629.93,9173.0,2025-11-26
DISTY TECHNOLOGIES,350.0,370.0,0.0571,270511.55,741.0,2025-11-26
DISWAY,852.1,860.1,0.009399999999999999,23138.2,27.0,2025-11-26
DOUJA PROM ADDOHA,37.64,37.79,0.004,2494344.88,66420.0,2025-11-26
ENNAKL,55.0,55.0,0.0,56962.95,1044.0,2025-11-26
EQDOM,1256.0,1245.0,-0.0088,3712.0,3.0,2025-11-26
FENIE BROSSETTE,420.0,421.9,0.0045000000000000005,160032.95,383.0,2025-11-26
HPS,515.0,521.0,0.011699999999999999,556547.7,1071.0,2025-11-26
IB MAROC.COM,74.38,73.19,-0.016,3166.15,45.0,2025-11-26
IMMORENTE INVEST,89.42,91.5,0.0233,575238.58,6341.0,2025-11-26
INVOLYS,237.4,238.0,0.0025,639557.5,2709.0,2025-11-26
ITISSALAT AL-MAGHRIB,113.8,114.15,0.0031,23039121.35,202076.0,2025-11-26
JET CONTRACTORS,2450.0,2490.0,0.0163,25013114.0,10106.0,2025-11-26
LABEL VIE,4400.0,4598.0,0.045,2935680.0,660.0,2025-11-26
LafargeHolcim Maroc,1855.0,1880.0,0.013500000000000002,5464440.0,2920.0,2025-11-26
MAROC LEASING,351.0,355.0,0.011399999999999999,5325.0,15.0,2025-11-26
MINIERE TOUISSIT,1592.0,1600.0,0.005,47855.0,73430.0,2025-11-26
MUTANDIS SCA,254.0,257.0,0.0118,3801302.85,14817.0,2025-11-26
OULMES,1180.0,1180.0,0.0,1180.0,1.0,2025-11-26
RESIDENCES DAR SAADA,172.5,178.6,0.0354,3521774.5,20012.0,2025-11-26
RISMA,389.9,390.0,0.0003,196473.5,505.0,2025-11-26
S.M MONETIQUE,580.0,580.0,0.0,57820.0,100.0,2025-11-26
SALAFIN,588.0,619.0,0.0527,185700.0,300.0,2025-11-26
SMI,2616.0,2616.0,0.0,285144.0,109.0,2025-11-26
SNEP,500.0,501.0,0.002,54358.2,108.0,2025-11-26
SOCIETE DES BOISSONS DU,2160.0,2140.0,-0.009300000000000001,2140.0,1.0,2025-11-26
SODEP-Marsa Maroc,975.1,980.0,0.005,51816217.7,52877.0,2025-11-26
SONASID,2288.0,2300.0,0.0052,9225300.0,4011.0,2025-11-26
STROC INDUSTRIE,288.0,288.0,0.0,332170.1,1153.0,2025-11-26
TAQA MOROCCO,2150.0,2180.0,0.013999999999999999,181303.0,83.0,2025-11-26
TGCC S.A,900.5,935.0,0.0383,118127557.2,129645.0,2025-11-26
TOTALENERGIES MARKETING,1751.0,1800.0,0.027999999999999997,73605.0,41.0,2025-11-26
UNIMER,160.0,160.0,0.0,800.0,5.0,2025-11-26
