Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1319.0,1309.0,-0.0076,7344.0,6.0,2025-12-10
AFRIC INDUSTRIES SA,328.0,330.0,0.0060999999999999995,156977.05,476.0,2025-12-10
AFRIQUIA GAZ,4074.0,4060.0,-0.0034000000000000002,64867.0,16.0,2025-12-10
AGMA,6391.0,6320.0,-0.0111,6320.0,1.0,2025-12-10
AKDITAL,1260.0,1258.0,-0.0016,64139364.0,50943.0,2025-12-10
ALLIANCES,570.0,570.0,0.0,1616946.9,2829.0,2025-12-10
ALUMINIUM DU MAROC,1818.0,1815.0,-0.0017000000000000001,10871.0,6.0,2025-12-10
ARADEI CAPITAL,440.0,440.0,0.0,258086.05,586.0,2025-12-10
ATTIJARIWAFA BANK,720.0,719.9,-0.0001,4250856.9,5922.0,2025-12-10
AUTO HALL,94.99,94.99,0.0,100481.6,1058.0,2025-12-10
AUTO NEJMA,4500.0,4500.0,0.0,4500.0,1.0,2025-12-10
BANK OF AFRICA,231.0,232.0,0.0043,201188.8,864.0,2025-12-10
BCP,284.9,283.0,-0.0067,66149.25,233.0,2025-12-10
BMCI,565.0,560.0,-0.0088,971995.0,1742.0,2025-12-10
CARTIER SAADA,35.0,34.99,-0.0003,21139.26,633.0,2025-12-10
CASH PLUS S.A,241.9,266.05,0.0998,9224219.55,34671.0,2025-12-10
CDM,961.1,960.0,-0.0011,4983682.5,5192.0,2025-12-10
CFG BANK,246.0,250.0,0.0163,1984475.15,7959.0,2025-12-10
CIH,415.8,415.8,0.0,401635.15,969.0,2025-12-10
CIMENTS DU MAROC,1880.0,1885.0,0.0027,16957.0,9.0,2025-12-10
CMGP GROUP,376.0,366.0,-0.026600000000000002,1474679.15,4003.0,2025-12-10
COLORADO,80.3,81.0,0.0087,37770.95,468.0,2025-12-10
COSUMAR,198.0,198.0,0.0,6282752.3,31735.0,2025-12-10
CTM,919.5,910.0,-0.0103,61377.4,68.0,2025-12-10
DELTA HOLDING,71.8,72.45,0.0091,94529.23,1305.0,2025-12-10
DISTY TECHNOLOGIES,353.0,359.0,0.017,36617.0,102.0,2025-12-10
DOUJA PROM ADDOHA,36.0,35.9,-0.0028000000000000004,3578199.89,99552.0,2025-12-10
ENNAKL,54.49,54.95,0.0084,66020.29,1207.0,2025-12-10
EQDOM,1277.0,1277.0,0.0,6385.0,5.0,2025-12-10
FENIE BROSSETTE,423.9,415.55,-0.0197,43285.95,102.0,2025-12-10
HPS,540.0,550.0,0.018500000000000003,14370446.7,26253.0,2025-12-10
IB MAROC.COM,70.9,70.85,-0.0007000000000000001,2055.05,29.0,2025-12-10
IMMORENTE INVEST INVOLYS,90.0,91.2,0.013300000000000001,82768.16,910.0,2025-12-10
LABEL VIE,4699.0,4600.0,-0.021099999999999997,2129431.0,474.0,2025-12-10
MAGHREB OXYGENE,420.0,419.65,-0.0008,17659.05,45.0,2025-12-10
MAGHREBAIL,923.0,926.0,0.0033,5556.0,6.0,2025-12-10
MANAGEM,5925.0,6000.0,0.0127,725164.0,121.0,2025-12-10
MAROC LEASING,352.0,352.0,0.0,2112.0,6.0,2025-12-10
MED PAPER,27.51,27.85,0.0124,37181.04,1362.0,2025-12-10
MICRODATA,765.0,760.0,-0.006500000000000001,25066.0,33.0,2025-12-10
MINIERE TOUISSIT,1745.0,1670.0,-0.043,1145556.0,676.0,2025-12-10
MUTANDIS SCA,261.0,259.7,-0.005,450979.55,1732.0,2025-12-10
OULMES,1239.0,1230.0,-0.0073,24600.0,20.0,2025-12-10
REALISATIONS MECANIQUES,499.0,499.0,0.0,1497.0,3.0,2025-12-10
REBAB COMPANY,95.0,92.1,-0.0305,4144.5,45.0,2025-12-10
RESIDENCES DAR SAADA,177.0,178.0,0.005600000000000001,300562.6,1706.0,2025-12-10
S.M MONETIQUE,576.1,598.0,0.038,37040.0,62.0,2025-12-10
SNEP,480.0,495.15,0.0316,204128.9,425.0,2025-12-10
SODEP-Marsa Maroc,959.9,959.0,-0.0009,526990.7,552.0,2025-12-10
SONASID,2300.0,2359.0,0.025699999999999997,4718.0,2.0,2025-12-10
STOKVIS NORD AFRIQUE,113.0,112.15,,224911.2,291992.0,2025-12-10
STROC INDUSTRIE,270.8,270.0,-0.003,121403.5,448.0,2025-12-10
TGCC S.A,905.0,915.001,0.011000000000000001,8124087.8,89844.0,2025-12-10
VICENNE,468.5,470.0,0.0032,3335371.1,7.0,2025-12-10
