Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1285.0,1300.0,0.011699999999999999,2599.0,2.0,2025-12-17
AFRIC INDUSTRIES SA,330.0,336.0,0.0182,96975.75,295.0,2025-12-17
AFRIQUIA GAZ,4100.0,4100.0,0.0,159900.0,39.0,2025-12-17
AKDITAL,1179.0,1185.0,0.0051,25481231.0,21468.0,2025-12-17
ALLIANCES,532.0,549.0,0.032,17236644.1,31713.0,2025-12-17
ALUMINIUM DU MAROC,1800.0,1804.0,0.0022,119993.0,68.0,2025-12-17
ARADEI CAPITAL,452.05,450.0,-0.0045000000000000005,244263.1,542.0,2025-12-17
ATLANTASANAD,143.5,144.0,0.0034999999999999996,484403.35,3356.0,2025-12-17
ATTIJARIWAFA BANK,726.0,738.0,0.0165,32437175.8,44241.0,2025-12-17
AUTO HALL,94.3,94.49,0.002,360563.38,3842.0,2025-12-17
AUTO NEJMA,4600.0,4600.0,0.0,27600.0,6.0,2025-12-17
BANK OF AFRICA,232.8,232.9,0.0004,2835807.75,12246.0,2025-12-17
BMCI,638.0,633.0,-0.0078000000000000005,170767.0,272.0,2025-12-17
CARTIER SAADA,34.44,34.0,-0.0128,53253.84,1563.0,2025-12-17
CASH PLUS S.A,312.0,305.0,-0.022400000000000003,36955665.4,121979.0,2025-12-17
CDM,1071.0,1090.0,0.0177,3349428.0,3090.0,2025-12-17
CFG BANK,250.0,250.05,0.0002,8787920.75,35008.0,2025-12-17
CIH,410.0,411.0,0.0024,5034861.5,12271.0,2025-12-17
CIMENTS DU MAROC,1875.0,1880.0,0.0027,640863.0,342.0,2025-12-17
CMGP GROUP,370.0,365.0,-0.013500000000000002,4685377.0,12858.0,2025-12-17
COLORADO,82.9,81.2,-0.020499999999999997,42470.15,518.0,2025-12-17
COSUMAR,200.0,203.7,0.018500000000000003,7917740.35,38995.0,2025-12-17
CTM,900.0,900.0,0.0,116104.4,129.0,2025-12-17
DELTA HOLDING,72.4,73.98,0.0218,2962286.74,40257.0,2025-12-17
DISTY TECHNOLOGIES,350.15,348.7,-0.0040999999999999995,340559.55,973.0,2025-12-17
DISWAY,900.0,880.0,-0.0222,93280.0,106.0,2025-12-17
DOUJA PROM ADDOHA,34.75,34.52,-0.0066,7191177.84,207065.0,2025-12-17
ENNAKL,52.99,53.0,0.0002,253684.45,4778.0,2025-12-17
FENIE BROSSETTE,402.1,413.0,0.0271,600656.4,1465.0,2025-12-17
HPS,565.0,565.0,0.0,2716767.6,4811.0,2025-12-17
IB MAROC.COM,70.0,70.06,0.0009,2101.8,30.0,2025-12-17
IMMORENTE INVEST,90.99,91.7,0.0078000000000000005,80929.49,891.0,2025-12-17
INVOLYS,214.1,228.0,0.0649,401186.9,1849.0,2025-12-17
ITISSALAT AL-MAGHRIB,111.55,112.85,0.011699999999999999,13515384.55,120172.0,2025-12-17
JET CONTRACTORS,2648.0,2644.0,-0.0015,1946051.0,740.0,2025-12-17
LABEL VIE,4600.0,4690.0,0.0196,3324743.0,719.0,2025-12-17
LafargeHolcim Maroc,1840.0,1862.0,0.012,287426.0,155.0,2025-12-17
MAGHREBAIL MAGHREB OXYGENE,417.0,399.0,-0.0432,38607.0,95.0,2025-12-17
MUTANDIS SCA,262.0,255.05,-0.0265,1975106.7,7683.0,2025-12-17
OULMES,1231.0,1160.0,-0.057699999999999994,38280.0,33.0,2025-12-17
REALISATIONS MECANIQUES,490.0,497.5,0.015300000000000001,9934.1,20.0,2025-12-17
REBAB COMPANY,110.8,113.0,0.0199,5650.0,50.0,2025-12-17
RESIDENCES DAR SAADA,173.3,173.0,-0.0017000000000000001,8907095.5,51263.0,2025-12-17
RISMA,389.0,390.0,0.0026,264090.6,674.0,2025-12-17
S.M MONETIQUE,591.0,592.0,0.0017000000000000001,35920.0,60.0,2025-12-17
SALAFIN,620.0,620.0,0.0,15500.0,25.0,2025-12-17
SGTM S.A,461.95,508.1,0.0999,2561332.1,5041.0,2025-12-17
SMI,3228.0,3220.0,-0.0025,736868.0,229.0,2025-12-17
SNEP,490.0,482.0,-0.0163,236197.65,492.0,2025-12-17
SOCIETE DES BOISSONS DU,2278.0,2275.0,-0.0013,22750.0,10.0,2025-12-17
SODEP-Marsa Maroc,982.0,985.0,0.0031,18627820.2,18901.0,2025-12-17
SONASID,2280.0,2301.0,0.0092,2261944.0,983.0,2025-12-17
SOTHEMA,1775.0,1815.0,0.0225,257612.0,143.0,2025-12-17
STOKVIS NORD AFRIQUE,112.9,113.0,0.0009,456689.9,4025.0,2025-12-17
STROC INDUSTRIE,270.0,272.95,0.0109,274346.75,1030.0,2025-12-17
TGCC S.A,917.0,940.0,0.025099999999999997,82779387.7,87986.0,2025-12-17
WAFA ASSURANCE,5020.0,5040.0,0.004,5040.0,1.0,2025-12-17
