Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFRIC INDUSTRIES SA,332.05,332.0,-0.0002,125523.5,378.0,2025-09-08
AFRIQUIA GAZ,4401.0,4450.0,0.0111,3096569.0,702.0,2025-09-08
AKDITAL,1580.0,1561.0,-0.012,21270977.0,13606.0,2025-09-08
ALLIANCES,554.0,540.0,-0.0253,12614314.9,23071.0,2025-09-08
ALUMINIUM DU MAROC,1840.0,1830.0,-0.0054,22000.0,12.0,2025-09-08
ARADEI CAPITAL,468.0,469.0,0.0021,101809.0,218.0,2025-09-08
ATLANTASANAD,160.0,159.6,-0.0025,984598.8,6184.0,2025-09-08
ATTIJARIWAFA BANK,780.0,780.0,0.0,68511243.0,87791.0,2025-09-08
AUTO HALL,101.0,104.5,0.0347,8560170.35,83089.0,2025-09-08
BALIMA,317.95,314.0,-0.0124,14758.0,47.0,2025-09-08
BANK OF AFRICA,251.0,257.0,0.0239,1640768.95,6446.0,2025-09-08
BMCI,600.0,600.0,0.0,300000.0,500.0,2025-09-08
CARTIER SAADA,40.0,40.0,0.0,435034.8,10876.0,2025-09-08
CDM,1043.0,1050.0,0.0067,213202.0,204.0,2025-09-08
CFG BANK,250.0,249.0,-0.004,11804019.45,47432.0,2025-09-08
CIH,428.0,425.0,-0.006999999999999999,684378.35,1612.0,2025-09-08
CIMENTS DU MAROC,2065.0,2020.0,-0.0218,6493851.0,3213.0,2025-09-08
CMGP GROUP,413.8,412.0,-0.0043,15376217.6,37281.0,2025-09-08
COLORADO,99.0,103.65,0.047,15467782.85,149093.0,2025-09-08
COSUMAR,233.0,229.95,-0.0131,8913049.55,38706.0,2025-09-08
CTM,1022.0,1022.0,0.0,228679.0,224.0,2025-09-08
DARI COUSPATE,4000.0,4000.0,0.0,20000.0,5.0,2025-09-08
DELTA HOLDING,86.55,86.15,-0.0046,1446752.45,16679.0,2025-09-08
DISTY TECHNOLOGIES,400.0,398.0,-0.005,144636.0,360.0,2025-09-08
DISWAY,876.9,890.0,0.0149,636109.0,715.0,2025-09-08
DOUJA PROM ADDOHA,41.7,41.35,-0.0084,8756208.87,210575.0,2025-09-08
ENNAKL,44.5,48.94,0.0998,2320990.75,48427.0,2025-09-08
EQDOM,1369.0,1369.0,0.0,49284.0,36.0,2025-09-08
FENIE BROSSETTE,498.2,490.0,-0.0165,1491539.95,3021.0,2025-09-08
HPS,575.0,580.0,0.0087,370020.2,635.0,2025-09-08
IB MAROC.COM,77.0,77.8,0.0104,9759.7,128.0,2025-09-08
IMMORENTE INVEST,89.0,89.78,0.0088,148761.14,1673.0,2025-09-08
INVOLYS,160.0,150.0,-0.0625,253575.5,1673.0,2025-09-08
ITISSALAT AL-MAGHRIB,126.5,125.0,-0.011899999999999999,37375612.05,296300.0,2025-09-08
JET CONTRACTORS,2565.0,2540.0,-0.0097,27657935.0,10892.0,2025-09-08
LABEL VIE,4849.0,4900.0,0.0105,553000.0,113.0,2025-09-08
LESIEUR,280.5,282.0,0.0053,611800.0,2.0,2025-09-08
M2M Group,508.0,510.0,0.0039000000000000003,113748.4,224.0,2025-09-08
MICRODATA,948.9,968.0,0.020099999999999996,343783.0,357.0,2025-09-08
MINIERE TOUISSIT,2761.0,2750.0,-0.004,52360.0,19.0,2025-09-08
MUTANDIS SCA,296.0,296.0,0.0,1799214.4,6033.0,2025-09-08
REALISATIONS MECANIQUES,575.0,568.0,-0.012199999999999999,88312.0,161.0,2025-09-08
REBAB COMPANY,102.0,108.0,0.0588,1080.0,10.0,2025-09-08
RESIDENCES DAR SAADA,160.05,162.05,0.0125,11510674.65,70871.0,2025-09-08
RISMA,427.9,425.0,-0.0068000000000000005,5023676.2,11834.0,2025-09-08
S.M MONETIQUE,693.0,675.3,-0.0255,470993.3,693.0,2025-09-08
SALAFIN,601.0,600.0,-0.0017000000000000001,36000.0,60.0,2025-09-08
SANLAM MAROC,2031.0,2090.0,0.028999999999999998,10268.0,5.0,2025-09-08
SMI,2550.0,2550.0,0.0,1289595.0,506.0,2025-09-08
SNEP,660.0,651.0,-0.013600000000000001,378234.9,579.0,2025-09-08
SOCIETE DES BOISSONS DU M,2140.0,2139.0,-0.0005,42542.0,20.0,2025-09-08
SODEP-Marsa Maroc,1001.0,997.0,-0.004,27508223.8,27528.0,2025-09-08
SONASID,2579.0,2600.0,0.008100000000000001,3529766.0,1358.0,2025-09-08
TGCC S.A,1035.0,21019.0,,43093090.0,42159.0,2025-09-08
VICENNE,454.0,451.0,-0.0066,689550.05,5946.0,2025-09-08
ZELLIDJA S.A,270.0,270.0,,7020.0,26.0,2025-09-08
