Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFRIC INDUSTRIES SA,328.0,329.85,0.005600000000000001,13194.8,40.0,2025-11-27
AKDITAL,1310.0,1315.0,0.0038,11356990.0,8613.0,2025-11-27
ALLIANCES,574.0,591.0,0.0296,11938284.2,20329.0,2025-11-27
ALUMINIUM DU MAROC,1789.0,1790.0,0.0006,5370.0,3.0,2025-11-27
ARADEI CAPITAL,447.9,440.2,-0.0172,689222.6,1559.0,2025-11-27
ATLANTASANAD,137.1,140.0,0.0212,368766.2,2636.0,2025-11-27
ATTIJARIWAFA BANK,730.0,734.0,0.0055000000000000005,21803771.9,29807.0,2025-11-27
AUTO HALL,94.99,94.99,0.0,281801.67,2976.0,2025-11-27
BANK OF AFRICA,225.0,225.0,0.0,10755948.1,47796.0,2025-11-27
BCP,280.0,280.0,0.0,21409515.35,76320.0,2025-11-27
BMCI,568.0,574.9,0.0121,171469.0,300.0,2025-11-27
CARTIER SAADA,35.0,35.0,0.0,73762.48,2107.0,2025-11-27
CFG BANK,245.0,246.0,0.0040999999999999995,9959866.2,40688.0,2025-11-27
CIH,409.0,401.0,-0.0196,4332392.0,10756.0,2025-11-27
CIMENTS DU MAROC,1880.0,1910.0,0.016,652248.0,342.0,2025-11-27
CMGP GROUP,368.5,356.0,-0.0339,5968160.5,16674.0,2025-11-27
COLORADO,84.4,82.21,-0.0259,99601.0,1209.0,2025-11-27
COSUMAR,200.0,196.0,-0.02,625441.85,3166.0,2025-11-27
CTM,863.0,885.0,0.0255,5310.0,6.0,2025-11-27
DELTA HOLDING,73.48,73.85,0.005,483472.61,6562.0,2025-11-27
DISTY TECHNOLOGIES,370.0,365.0,-0.013500000000000002,157292.9,441.0,2025-11-27
DISWAY,860.1,902.0,0.0487,1804.0,2.0,2025-11-27
DOUJA PROM ADDOHA,37.79,37.72,-0.0019,12591891.87,334782.0,2025-11-27
ENNAKL,55.0,56.0,0.0182,447035.44,7973.0,2025-11-27
EQDOM,1245.0,1247.0,0.0016,36970.0,30.0,2025-11-27
FENIE BROSSETTE,421.9,437.6,0.037200000000000004,71562.45,165.0,2025-11-27
HPS,521.0,534.5,0.0259,5114568.0,9651.0,2025-11-27
IB MAROC.COM,73.19,72.0,-0.0163,6408.0,89.0,2025-11-27
IMMORENTE INVEST,91.5,91.4,-0.0011,172300.31,1889.0,2025-11-27
INVOLYS,238.0,236.9,-0.0046,83613.0,360.0,2025-11-27
ITISSALAT AL-MAGHRIB,114.15,117.2,0.026699999999999998,9244367.75,79712.0,2025-11-27
JET CONTRACTORS,2490.0,2540.0,0.020099999999999996,4292420.0,1709.0,2025-11-27
LABEL VIE,4598.0,4500.0,-0.0213,23683099.0,5272.0,2025-11-27
LESIEUR CRISTAL,294.0,290.0,-0.013600000000000001,87001.0,300.0,2025-11-27
LafargeHolcim Maroc,1880.0,1851.0,-0.0154,7497357.0,4040.0,2025-11-27
M2M Group,451.0,477.4,0.058499999999999996,11098.8,25.0,2025-11-27
MAGHREB OXYGENE,392.0,387.0,-0.0128,27628.65,76.0,2025-11-27
MAGHREBAIL,917.0,918.0,0.0011,3672.0,4.0,2025-11-27
MANAGEM,5893.0,6194.0,0.051100000000000007,9652146.0,1561.0,2025-11-27
MAROC LEASING,355.0,351.0,-0.0113,2457.0,7.0,2025-11-27
MED PAPER,27.8,27.6,-0.0072,44395.2,1597.0,2025-11-27
MICRODATA,768.0,769.0,0.0013,59113.0,77.0,2025-11-27
MINIERE TOUISSIT,1600.0,1646.0,0.0288,40293.0,25.0,2025-11-27
MUTANDIS SCA,257.0,260.0,0.011699999999999999,1592054.1,6127.0,2025-11-27
OULMES,1180.0,1247.0,0.056799999999999996,1247.0,1.0,2025-11-27
REALISATIONS MECANIQUES,500.0,499.0,-0.002,19770.1,41.0,2025-11-27
RESIDENCES DAR SAADA,178.6,180.4,0.0101,15237595.9,83859.0,2025-11-27
RISMA,390.0,385.2,-0.0123,52937.5,134.0,2025-11-27
SNEP,501.0,480.05,-0.0418,263139.15,542.0,2025-11-27
SOCIETE DES BOISSONS DU,2140.0,2194.0,0.0252,47190.0,22.0,2025-11-27
SODEP-Marsa Maroc,980.0,982.0,0.002,34505470.7,35155.0,2025-11-27
TAQA MOROCCO,2180.0,2199.0,0.0087,808507.0,369.0,2025-11-27
TGCC S.A,935.0,925.0,-0.010700000000000001,52491681.1,57034.0,2025-11-27
TOTALENERGIES MARKETING,1800.0,1755.0,-0.025,12739770.0,7259.0,2025-11-27
