Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1370.0,1331.0,-0.0285,6655.0,5.0,2025-08-19
AFRIC INDUSTRIES SA,332.5,344.0,0.0346,117926.5,350.0,2025-08-19
AFRIQUIA GAZ,4450.0,4439.0,-0.0025,4439.0,1.0,2025-08-19
AGMA,6799.0,6392.0,-0.0599,57528.0,9.0,2025-08-19
AKDITAL,1549.0,1528.0,-0.013600000000000001,4824591.0,3156.0,2025-08-19
ALLIANCES,535.0,534.9,-0.0002,6428109.8,12064.0,2025-08-19
ALUMINIUM DU MAROC,1875.0,1897.0,0.011699999999999999,22683.0,12.0,2025-08-19
ARADEI CAPITAL,470.0,470.0,0.0,521340.55,1109.0,2025-08-19
ATLANTASANAD,160.0,155.0,-0.0313,3151161.55,20209.0,2025-08-19
ATTIJARIWAFA BANK,755.0,755.0,0.0,13449801.4,17775.0,2025-08-19
AUTO HALL,94.99,94.95,-0.0004,1759218.3,19007.0,2025-08-19
BANK OF AFRICA,264.8,265.0,0.0008,13538554.6,51954.0,2025-08-19
BCP,323.0,320.25,-0.0085,3633524.65,11301.0,2025-08-19
BMCI,620.0,600.0,-0.0323,300000.0,500.0,2025-08-19
CARTIER SAADA,41.0,41.45,0.011000000000000001,139979.75,3409.0,2025-08-19
CDM,1090.0,1084.0,-0.0055000000000000005,125373.0,118.0,2025-08-19
CFG BANK,242.5,242.0,-0.0021,968357.8,4002.0,2025-08-19
CIH,427.95,422.0,-0.0139,678972.75,1608.0,2025-08-19
CIMENTS DU MAROC,2010.0,1985.0,-0.0124,3769176.0,1898.0,2025-08-19
CMGP GROUP,408.25,400.0,-0.0202,8664030.65,21563.0,2025-08-19
COLORADO,83.04,84.0,0.0116,1100476.88,13304.0,2025-08-19
COSUMAR,240.0,235.0,-0.0208,24043991.85,101669.0,2025-08-19
CTM,924.0,940.0,0.0173,309740.9,333.0,2025-08-19
DELTA HOLDING,85.99,85.0,-0.0115,1981562.15,23178.0,2025-08-19
DISTY TECHNOLOGIES,410.0,422.5,0.0305,1030936.5,2460.0,2025-08-19
DISWAY,906.0,895.0,-0.0121,212455.1,241.0,2025-08-19
DOUJA PROM ADDOHA,39.35,38.61,-0.018799999999999997,27564376.47,714009.0,2025-08-19
ENNAKL,41.75,45.92,0.0999,2309454.56,50293.0,2025-08-19
EQDOM,1244.0,1276.0,0.025699999999999997,12760.0,10.0,2025-08-19
FENIE BROSSETTE,534.9,522.8,-0.0226,1578711.3,3020.0,2025-08-19
HPS,590.0,589.3,-0.0012,1961255.8,3354.0,2025-08-19
IB MAROC.COM,79.9,79.52,-0.0048,85654.98,1067.0,2025-08-19
IMMORENTE INVEST,89.6,89.1,-0.005600000000000001,1036988.66,11717.0,2025-08-19
INVOLYS,166.0,167.0,0.006,130724.8,774.0,2025-08-19
ITISSALAT AL-MAGHRIB,120.0,119.5,-0.0042,14799789.25,123777.0,2025-08-19
JET CONTRACTORS,2435.0,2361.0,-0.0304,3985051.0,1675.0,2025-08-19
LafargeHolcim Maroc LESIEUR CRISTAL,285.0,282.0,0.0045000000000000005,8708299.0,20.0,2025-08-19
M2M Group,537.0,535.0,-0.0037,30354.4,58.0,2025-08-19
MAGHREB OXYGENE,422.0,414.0,-0.019,32607.0,79.0,2025-08-19
MAGHREBAIL,999.0,999.0,0.0,164835.0,165.0,2025-08-19
MANAGEM,5500.0,5341.0,-0.028900000000000002,806356.0,150.0,2025-08-19
MED PAPER,37.92,39.0,0.0285,623773.74,16487.0,2025-08-19
MICRODATA,982.8,950.4,-0.033,9650.5,10.0,2025-08-19
MINIERE TOUISSIT,2656.0,2785.0,0.048600000000000004,424888.0,155.0,2025-08-19
MUTANDIS SCA,288.0,270.0,-0.0625,124343286.05,460100.0,2025-08-19
REALISATIONS MECANIQUES,555.0,544.9,-0.0182,43036.1,80.0,2025-08-19
REBAB COMPANY,90.78,96.22,0.0599,192.44,2.0,2025-08-19
RESIDENCES DAR SAADA,149.85,149.0,-0.005699999999999999,7196026.05,48599.0,2025-08-19
RISMA,388.05,385.0,-0.0079,427148.3,1107.0,2025-08-19
S.M MONETIQUE,664.0,704.0,0.0602,5017928.0,7344.0,2025-08-19
SALAFIN,587.102,606.8,0.0336,6068.0,1065.0,2025-08-19
SNEP,683.2,675.0,-0.012,1952837.0,2877.0,2025-08-19
SOCIETE DES BOISSONS DU M,2110.0,2100.0,,629990.0,300.0,2025-08-19
STOKVIS NORD AFRIQUE,102.0,98.58,-0.0335,3036785.95,30654.0,2025-08-19
STROC INDUSTRIE,232.0,226.0,-0.0259,629992.65,2773.0,2025-08-19
TAQA MOROCCO,2900.0,2899.0,-0.0003,1319442.0,456.0,2025-08-19
UNIMER,163.0,163.0,0.0,1141.0,7.0,2025-08-19
VICENNE,450.0,446.0,-0.0089,5117295.3,11408.0,2025-08-19
WAFA ASSURANCE,5299.0,5290.0,-0.0017000000000000001,5290.0,1.0,2025-08-19
