Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1135.0,1135.0,0.0,1135.0,1.0,2025-02-18
AFRIC INDUSTRIES SA,306.0,305.5,-0.0016,232597.15,760.0,2025-02-18
AFRIQUIA GAZ,4800.0,4800.0,0.0,2954720.0,613.0,2025-02-18
AGMA,6750.0,6800.0,0.0074,238000.0,35.0,2025-02-18
AKDITAL,1212.0,1191.0,-0.0173,19488945.0,16237.0,2025-02-18
ALLIANCES,579.8,589.0,0.0159,38310019.9,65189.0,2025-02-18
ALUMINIUM DU MAROC,1529.0,1525.0,-0.0026,110753.0,73.0,2025-02-18
ARADEI CAPITAL,480.0,479.0,-0.0021,6052600.2,12629.0,2025-02-18
ATLANTASANAD,156.0,155.0,-0.0064,602317.75,3903.0,2025-02-18
ATTIJARIWAFA BANK,648.1,657.0,0.0137,110354585.0,169060.0,2025-02-18
AUTO HALL,75.0,73.52,-0.0197,527995.37,7149.0,2025-02-18
BALIMA,225.0,220.0,-0.0222,8580.0,39.0,2025-02-18
BANK OF AFRICA,203.95,201.0,-0.014499999999999999,1323107.5,6579.0,2025-02-18
BCP,282.0,281.0,-0.0034999999999999996,9710665.8,34485.0,2025-02-18
BMCI,630.0,632.0,0.0032,9596462.8,15182.0,2025-02-18
CARTIER SAADA,33.4,32.9,-0.015,18224.85,554.0,2025-02-18
CDM,1160.0,1180.0,0.0172,1733061.0,1481.0,2025-02-18
CFG BANK,243.95,244.9,0.0039000000000000003,8471574.35,34591.0,2025-02-18
CIH,460.0,475.0,0.0326,8552335.05,18384.0,2025-02-18
CIMENTS DU MAROC,1895.0,1894.0,-0.0005,375070.0,198.0,2025-02-18
CMGP GROUP,345.2,341.5,-0.010700000000000001,9796814.25,28622.0,2025-02-18
COLORADO,59.0,57.5,-0.0254,1608991.24,27864.0,2025-02-18
COSUMAR,205.0,205.0,0.0,28288623.85,138008.0,2025-02-18
CTM,1090.0,1096.0,0.0055000000000000005,567814.0,527.0,2025-02-18
DELTA HOLDING,70.65,68.1,-0.0361,12682351.86,190271.0,2025-02-18
DISTY TECHNOLOGIES,298.95,295.0,-0.0132,163006.0,549.0,2025-02-18
DISWAY,702.0,698.0,-0.005699999999999999,18148.0,26.0,2025-02-18
DOUJA PROM ADDOHA,45.35,44.99,-0.0079,8335099.42,184045.0,2025-02-18
ENNAKL,34.0,34.0,0.0,715567.3,21051.0,2025-02-18
EQDOM,1055.0,1065.0,0.0095,103100.0,97.0,2025-02-18
FENIE BROSSETTE,124.8,124.0,-0.0064,23939.6,196.0,2025-02-18
HPS,650.0,648.5,-0.0023,2218657.0,3416.0,2025-02-18
IB MAROC.COM,42.84,41.9,-0.0219,4450.49,106.0,2025-02-18
IMMORENTE INVEST,89.1,90.48,0.0155,1652390.39,18396.0,2025-02-18
INVOLYS,100.0,96.6,-0.034,58136.9,600.0,2025-02-18
ITISSALAT AL-MAGHRIB,103.6,104.0,0.0039000000000000003,9579755.65,92309.0,2025-02-18
JET CONTRACTORS,2440.0,2518.0,0.032,39539028.0,15805.0,2025-02-18
LABEL VIE,4323.0,4250.0,-0.0169,3333780.0,782.0,2025-02-18
LESIEUR CRISTAL,280.05,280.0,-0.0002,28000.0,100.0,2025-02-18
LafargeHolcim Maroc,2000.0,1980.0,-0.01,5928292.0,2996.0,2025-02-18
M2M Group,530.0,530.0,0.0,11130.0,21.0,2025-02-18
MAGHREBAIL,901.0,900.0,-0.0011,2700.0,3.0,2025-02-18
MANAGEM,3998.0,4005.0,0.0018,15853680.0,3963.0,2025-02-18
MAROC LEASING,387.0,387.0,0.0,9288.0,24.0,2025-02-18
MED PAPER,22.69,22.72,0.0013,32384.83,1456.0,2025-02-18
MICRODATA,735.0,740.0,0.0068000000000000005,145785.0,198.0,2025-02-18
MINIERE TOUISSIT,1980.0,1973.0,-0.0034999999999999996,4876106.0,2452.0,2025-02-18
MUTANDIS SCA,339.0,339.0,0.0,1864777.2,5502.0,2025-02-18
REALISATIONS MECANIQUES,425.0,426.0,0.0024,258877.2,620.0,2025-02-18
RESIDENCES DAR SAADA,118.0,115.95,-0.0174,10150655.2,87002.0,2025-02-18
RISMA,297.5,303.5,0.0202,3134589.25,10416.0,2025-02-18
S.M MONETIQUE,410.0,408.0,-0.0049,1370832.7,3430.0,2025-02-18
SALAFIN,580.0,620.0,0.069,6387386.2,11498.0,2025-02-18
SANLAM MAROC,2000.0,2000.0,0.0,10000.0,5.0,2025-02-18
SMI,2790.0,2840.0,0.0179,4405405.0,1554.0,2025-02-18
SNEP,660.0,650.0,-0.0152,1018996.0,1547.0,2025-02-18
SOCIETE DES BOISSONS DU,2400.0,2401.0,0.0004,345735.0,144.0,2025-02-18
SODEP-Marsa Maroc,620.0,628.0,0.0129,45030404.2,71723.0,2025-02-18
SONASID,1369.0,1436.0,0.0489,15100521.0,10575.0,2025-02-18
SOTHEMA,1101.0,1095.0,-0.0054,347112.0,316.0,2025-02-18
STOKVIS NORD AFRIQUE,18.4,18.4,0.0,3410.78,187.0,2025-02-18
STROC INDUSTRIE,44.7,44.49,-0.004699999999999999,16341.35,369.0,2025-02-18
TAQA MOROCCO,1580.0,1620.0,0.0253,6568858.0,4068.0,2025-02-18
TGCC S.A,588.0,600.0,0.0204,55279330.0,92604.0,2025-02-18
TOTALENERGIES MARKETING,1580.0,1580.0,0.0,5470136.0,3462.0,2025-02-18
WAFA ASSURANCE,4450.0,4450.0,0.0,8900.0,2.0,2025-02-18
