Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1300.0,1300.0,0.0,2600.0,2.0,2025-12-18
AFRIC INDUSTRIES SA,336.0,333.0,-0.0089,35582.4,106.0,2025-12-18
AFRIQUIA GAZ,4100.0,4100.0,0.0,61500.0,15.0,2025-12-18
AKDITAL,1185.0,1162.0,-0.0194,28270486.0,24092.0,2025-12-18
ALLIANCES,549.0,553.0,0.0073,13664766.4,24558.0,2025-12-18
ALUMINIUM DU MAROC,1804.0,1805.0,0.0006,9025.0,5.0,2025-12-18
ARADEI CAPITAL,450.0,432.0,-0.04,1296588.75,2992.0,2025-12-18
ATLANTASANAD,144.0,144.0,0.0,276651.6,1915.0,2025-12-18
AUTO HALL,94.49,93.0,-0.0158,509005.9,5473.0,2025-12-18
BANK OF AFRICA,232.9,232.9,0.0,7711880.6,33092.0,2025-12-18
BCP,287.0,287.0,0.0,20987287.05,73148.0,2025-12-18
BMCI,633.0,640.0,0.0111,814703.2,1279.0,2025-12-18
CARTIER SAADA,34.0,33.85,-0.0044,81963.76,2407.0,2025-12-18
CASH PLUS S.A,305.0,310.0,0.016399999999999998,30449647.75,98104.0,2025-12-18
CDM,1090.0,1115.0,0.0229,35481691.0,32493.0,2025-12-18
CFG BANK,250.05,246.0,-0.016200000000000003,5950394.8,23756.0,2025-12-18
CIH,411.0,412.0,0.0024,12112032.95,29395.0,2025-12-18
CIMENTS DU MAROC,1880.0,1865.0,-0.008,990180.0,530.0,2025-12-18
CMGP GROUP,365.0,370.0,0.0137,880613.95,2384.0,2025-12-18
COLORADO,81.2,82.0,0.009899999999999999,53449.48,652.0,2025-12-18
COSUMAR,203.7,203.0,-0.0034000000000000002,1141129.15,5636.0,2025-12-18
CTM,900.0,906.9,0.0077,91332.3,102.0,2025-12-18
DELTA HOLDING,73.98,73.0,-0.0132,2059878.11,28055.0,2025-12-18
DISTY TECHNOLOGIES,348.7,350.0,0.0037,109923.95,317.0,2025-12-18
DISWAY,880.0,903.0,0.026099999999999998,343971.0,382.0,2025-12-18
DOUJA PROM ADDOHA,34.52,34.86,0.0098,3760221.52,107377.0,2025-12-18
ENNAKL,53.0,53.9,0.017,238103.18,4501.0,2025-12-18
FENIE BROSSETTE,413.0,411.0,-0.0048,128119.45,314.0,2025-12-18
HPS,565.0,561.0,-0.0070999999999999995,477575.0,844.0,2025-12-18
IB MAROC.COM,70.06,71.49,0.0204,2366.7,33.0,2025-12-18
IMMORENTE INVEST,91.7,91.75,0.0005,267704.55,2913.0,2025-12-18
INVOLYS,228.0,226.9,-0.0048,138650.4,620.0,2025-12-18
ITISSALAT AL-MAGHRIB,112.85,112.0,-0.0075,19647713.9,174290.0,2025-12-18
JET CONTRACTORS,2644.0,2677.0,0.0125,5598820.0,2109.0,2025-12-18
LABEL VIE,4690.0,4698.0,0.0017000000000000001,8192105.0,1776.0,2025-12-18
MICRODATA,780.0,780.0,0.0,38998.6,50.0,2025-12-18
MINIERE TOUISSIT,1682.0,1701.0,0.0113,680525.0,397.0,2025-12-18
MONETIQUE,592.0,600.0,0.013500000000000002,10696.4,18.0,2025-12-18
MUTANDIS SCA,255.05,259.9,0.019,401159.7,1546.0,2025-12-18
PROMOPHARM S.A.,1540.0,1448.0,-0.059699999999999996,1448.0,1.0,2025-12-18
REALISATIONS MECANIQUES,497.5,498.0,0.001,8964.0,18.0,2025-12-18
REBAB COMPANY,113.0,106.25,-0.059699999999999996,2868.75,27.0,2025-12-18
RESIDENCES DAR SAADA,173.0,175.0,0.0116,5383398.5,30753.0,2025-12-18
RISMA,390.0,394.8,0.0123,233745.4,593.0,2025-12-18
SANLAM MAROC,1911.0,2000.0,0.0466,2000.0,1.0,2025-12-18
SGTM S.A,508.1,558.9,0.1,6825845.7,12213.0,2025-12-18
SMI S.M,3220.0,3300.0,0.0248,4428029.0,1345.0,2025-12-18
SNEP,482.0,490.05,0.0167,84296.4,172.0,2025-12-18
SOCIETE DES BOISSONS DU,2275.0,2200.0,-0.033,77275.0,35.0,2025-12-18
SODEP-Marsa Maroc,985.0,981.9,-0.0031,58062419.1,58655.0,2025-12-18
SONASID,2301.0,2340.0,0.0169,147384.0,63.0,2025-12-18
SOTHEMA,1815.0,1814.0,-0.0006,249.0,141.0,2025-12-18
TAQA MOROCCO,2250.0,2290.0,0.0178,1035470.0,453.0,2025-12-18
VICENNE,472.95,5050.0,0.0,2514046.9,30.0,2025-12-18
