Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1170.0,1175.0,0.0043,257105.0,219.0,2025-03-17
AFRIC INDUSTRIES SA,324.0,318.0,-0.018500000000000003,8577.0,27.0,2025-03-17
AFRIQUIA GAZ,4455.0,4410.0,-0.0101,100108.0,23.0,2025-03-17
AKDITAL,1170.0,1171.0,0.0009,3488870.0,2972.0,2025-03-17
ALLIANCES,546.2,548.0,0.0033,16094932.0,29350.0,2025-03-17
ALUMINIUM DU MAROC,1599.0,1598.0,-0.0006,1598.0,1.0,2025-03-17
ARADEI CAPITAL,495.0,488.1,-0.0139,2048197.45,4183.0,2025-03-17
ATLANTASANAD,139.95,139.5,-0.0032,717755.55,5207.0,2025-03-17
ATTIJARIWAFA BANK,649.0,644.1,-0.0076,13947073.6,21636.0,2025-03-17
AUTO HALL,74.84,73.1,-0.0232,392586.5,5345.0,2025-03-17
BANK OF AFRICA,192.0,192.0,0.0,3851715.65,20190.0,2025-03-17
BCP,284.0,281.5,-0.0088,1775050.45,6285.0,2025-03-17
BMCI,600.0,600.0,0.0,397080.0,662.0,2025-03-17
CARTIER SAADA,33.89,32.6,-0.0381,64533.3,1983.0,2025-03-17
CDM,1100.0,1090.0,-0.0091,12001000.0,11010.0,2025-03-17
CFG BANK,229.5,229.5,0.0,568117.35,2473.0,2025-03-17
CIH,440.0,440.0,0.0,2246228.0,5105.0,2025-03-17
CIMENTS DU MAROC,1915.0,1900.0,-0.0078000000000000005,5477625.0,2883.0,2025-03-17
COLORADO,58.69,58.69,0.0,6925.42,118.0,2025-03-17
COSUMAR,205.0,200.6,-0.0215,1833430.75,9098.0,2025-03-17
CTM,1087.0,1110.0,0.0212,77637.0,70.0,2025-03-17
DELTA HOLDING,68.0,68.0,0.0,324387.06,4781.0,2025-03-17
DISTY TECHNOLOGIES,300.0,299.0,-0.0033,485002.6,1665.0,2025-03-17
DISWAY,770.0,755.0,-0.0195,33083.0,43.0,2025-03-17
DOUJA PROM ADDOHA,41.0,41.0,0.0,5871822.74,143154.0,2025-03-17
ENNAKL,33.0,33.0,0.0,5216.3,158.0,2025-03-17
EQDOM,1044.0,1046.0,0.0019,67997.0,65.0,2025-03-17
FENIE BROSSETTE,256.5,282.0,0.09939999999999999,8713109.75,31551.0,2025-03-17
HPS,625.0,618.0,-0.011200000000000002,397445.0,641.0,2025-03-17
IB MAROC.COM,39.99,39.95,-0.001,18576.75,465.0,2025-03-17
IMMORENTE INVEST,90.0,89.5,-0.005600000000000001,625715.2,6967.0,2025-03-17
INVOLYS,100.0,98.5,-0.015,9456.92,95.0,2025-03-17
ITISSALAT AL-MAGHRIB,108.95,108.95,0.0,4458691.0,40752.0,2025-03-17
JET CONTRACTORS,2470.0,2540.0,0.028300000000000002,8005716.0,3159.0,2025-03-17
LABEL VIE,3930.0,4100.0,0.0433,1350530.0,334.0,2025-03-17
LESIEUR CRISTAL,265.1,279.5,0.054299999999999994,87887.5,327.0,2025-03-17
LafargeHolcim Maroc,1900.0,1905.0,0.0026,6109499.0,3207.0,2025-03-17
M2M Group,540.0,502.0,-0.0704,24654.8,47.0,2025-03-17
MAGHREB OXYGENE,450.0,447.0,-0.0067,44370.05,100.0,2025-03-17
MANAGEM,4070.0,4390.0,0.0786,3146388.0,755.0,2025-03-17
MED PAPER,22.39,22.5,0.0049,54123.0,2412.0,2025-03-17
MICRODATA,790.0,790.1,0.0001,330221.1,417.0,2025-03-17
MINIERE TOUISSIT,1720.0,1725.0,0.0029,80953.0,47.0,2025-03-17
MUTANDIS SCA,305.0,310.0,0.016399999999999998,154888.35,498.0,2025-03-17
REALISATIONS MECANIQUES,423.5,436.0,0.029500000000000002,1308.0,3.0,2025-03-17
RESIDENCES DAR SAADA,114.0,116.4,0.021099999999999997,9537186.0,82294.0,2025-03-17
RISMA,300.0,298.0,-0.0067,26067.0,88.0,2025-03-17
SALAFIN,583.9,578.9,-0.0086,115780.0,200.0,2025-03-17
SANLAM MAROC,1810.0,1900.0,0.049699999999999994,3800.0,2.0,2025-03-17
SMI,2300.0,2329.0,0.0126,849775.0,372.0,2025-03-17
SNEP,603.0,610.0,0.0116,9191620.4,15291.0,2025-03-17
SODEP-Marsa Maroc,718.0,716.8,-0.0017000000000000001,10376401.7,14429.0,2025-03-17
SONASID,1450.0,1594.0,0.0993,8687300.0,5537.0,2025-03-17
SOTHEMA,1070.0,1070.0,0.0,1070.0,1.0,2025-03-17
STOKVIS NORD AFRIQUE,28.43,31.27,0.0999,477555.44,15272.0,2025-03-17
STROC INDUSTRIE,47.0,51.69,0.0998,946290.94,18879.0,2025-03-17
TAQA MOROCCO,1640.0,1695.0,0.0335,9278162.0,5509.0,2025-03-17
TGCC S.A,670.0,692.0,0.032799999999999996,35085630.2,50678.0,2025-03-17
TOTALENERGIES MARKETING,1550.0,1560.0,0.006500000000000001,265026.0,170.0,2025-03-17
ZELLIDJA S.A,134.0,140.0,0.044800000000000006,17640.0,126.0,2025-03-17
