Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1300.0,1300.0,0.0,1300.0,1.0,2025-04-17
AFRIC INDUSTRIES SA,328.95,322.1,-0.0208,9497.3,29.0,2025-04-17
AFRIQUIA GAZ,4150.0,4150.0,0.0,224417.0,54.0,2025-04-17
AKDITAL,1368.0,1407.0,0.0285,60263913.0,42686.0,2025-04-17
ALLIANCES,509.0,507.1,-0.0037,5965724.9,11784.0,2025-04-17
ARADEI CAPITAL,477.0,478.0,0.0021,36374.35,76.0,2025-04-17
ATLANTASANAD,129.75,132.75,0.0231,3021076.45,23161.0,2025-04-17
ATTIJARIWAFA BANK,665.0,664.0,-0.0015,16200099.1,24406.0,2025-04-17
AUTO HALL,77.0,76.95,-0.0006,52152.35,688.0,2025-04-17
BANK OF AFRICA,185.0,189.0,0.0216,6601855.8,34910.0,2025-04-17
BCP,270.0,270.0,0.0,27197664.0,100725.0,2025-04-17
BMCI,588.8,586.9,-0.0032,218673.8,377.0,2025-04-17
CARTIER SAADA,32.98,32.12,-0.026099999999999998,19070.6,592.0,2025-04-17
CDM,1080.0,1098.0,0.0167,2310881.0,2112.0,2025-04-17
CFG BANK,224.0,224.0,0.0,1742070.2,7723.0,2025-04-17
CIMENTS DU MAROC,1888.0,1890.0,0.0011,35907.0,19.0,2025-04-17
CMGP GROUP,317.4,320.0,0.008199999999999999,18318149.2,56967.0,2025-04-17
COLORADO,60.0,60.5,0.0083,886107.25,14980.0,2025-04-17
COSUMAR,219.0,217.25,-0.008,2480270.8,11383.0,2025-04-17
CTM,934.0,940.0,0.0064,71965.3,76.0,2025-04-17
DARI COUSPATE,3450.0,3600.0,0.0435,36000.0,10.0,2025-04-17
DELTA HOLDING,78.0,80.0,0.0256,27730684.75,346591.0,2025-04-17
DISTY TECHNOLOGIES,315.1,328.2,0.0416,5790005.55,17695.0,2025-04-17
DISWAY,783.5,783.7,0.0003,123864.8,158.0,2025-04-17
DOUJA PROM ADDOHA,41.6,41.21,-0.009399999999999999,22233827.39,539584.0,2025-04-17
ENNAKL,33.93,34.23,0.0088,13447.39,393.0,2025-04-17
EQDOM,1050.0,1050.0,0.0,52550.0,50.0,2025-04-17
FENIE BROSSETTE,263.9,260.0,-0.0148,164268.9,630.0,2025-04-17
HPS,595.0,589.0,-0.0101,286074.0,486.0,2025-04-17
IB MAROC.COM,39.0,39.99,0.0254,3980.23,100.0,2025-04-17
IMMORENTE INVEST,92.0,91.89,-0.0012,310138.0,3372.0,2025-04-17
INVOLYS,98.0,98.0,0.0,10108.8,104.0,2025-04-17
ITISSALAT AL-MAGHRIB,114.9,115.0,0.0009,35975219.9,312190.0,2025-04-17
JET CONTRACTORS,2114.0,2129.0,0.0070999999999999995,6989311.0,3321.0,2025-04-17
LABEL VIE,4180.0,4180.0,0.0,1613575.0,386.0,2025-04-17
LESIEUR CRISTAL,280.05,280.0,-0.0002,7575.9,27.0,2025-04-17
LafargeHolcim Maroc,1880.0,1866.0,-0.0074,827309.0,443.0,2025-04-17
M2M Group,505.0,510.0,0.009899999999999999,140950.0,278.0,2025-04-17
MAGHREB OXYGENE,449.95,449.95,0.0,18637.6,42.0,2025-04-17
MANAGEM,5080.0,5015.0,-0.0128,2329191.0,467.0,2025-04-17
MAROC LEASING,393.0,373.1,-0.0506,13058.5,35.0,2025-04-17
MED PAPER,21.75,21.99,0.011000000000000001,44084.04,2002.0,2025-04-17
MICRODATA,820.0,820.0,0.0,273761.9,326.0,2025-04-17
MINIERE TOUISSIT,1888.0,1860.0,-0.0148,1272391.0,677.0,2025-04-17
MUTANDIS SCA,300.0,300.1,0.0003,2780867.6,9243.0,2025-04-17
RESIDENCES DAR SAADA,111.25,109.9,-0.0121,3370617.75,30636.0,2025-04-17
S.M MONETIQUE,440.0,448.0,0.0182,272560.1,610.0,2025-04-17
SALAFIN,689.9,678.0,-0.0172,825222.6,1218.0,2025-04-17
SANLAM MAROC,1955.0,2150.0,0.09970000000000001,2558530.0,1216.0,2025-04-17
SMI,2400.0,2444.0,0.0183,5834504.0,2387.0,2025-04-17
SNEP,655.0,689.0,0.0519,4105546.2,6148.0,2025-04-17
SOCIETE DES BOISSONS DU M,2050.0,2010.0,-0.0195,1221089.0,606.0,2025-04-17
SODEP-Marsa Maroc,715.0,718.0,0.0042,7199724.4,10036.0,2025-04-17
SONASID,2145.0,2170.0,0.011699999999999999,10142878.0,4727.0,2025-04-17
SOTHEMA,1105.0,1125.0,0.0181,4381853.0,3983.0,2025-04-17
STOKVIS NORD AFRIQUE,54.8,54.3,-0.0091,540761.41,9957.0,2025-04-17
STROC INDUSTRIE,54.72,56.49,0.0323,95343.1,1735.0,2025-04-17
TAQA MOROCCO,2190.0,2288.0,0.0447,13467836.0,5886.0,2025-04-17
TGCC S.A,690.0,687.0,-0.0043,6312542.2,9198.0,2025-04-17
TOTALENERGIES MARKETING,1801.0,1866.0,0.0361,5123067.0,2781.0,2025-04-17
WAFA ASSURANCE,4899.0,4798.0,-0.0206,230355.0,48.0,2025-04-17
