Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1307.0,1370.0,0.0482,150295.0,110.0,2025-08-15
AFRIC INDUSTRIES SA,326.6,351.15,0.07519999999999999,1219611.25,3514.0,2025-08-15
AFRIQUIA GAZ,4408.0,4450.0,0.0095,1504776.0,340.0,2025-08-15
AGMA,6456.0,6843.0,0.0599,27372.0,4.0,2025-08-15
AKDITAL,1560.0,1559.0,-0.0006,2024179.0,1296.0,2025-08-15
ALLIANCES,545.3,540.1,-0.0095,7892934.6,14603.0,2025-08-15
ALUMINIUM DU MAROC,1880.0,1900.0,0.0106,114937.0,61.0,2025-08-15
ARADEI CAPITAL,470.0,468.05,-0.0040999999999999995,152073.85,324.0,2025-08-15
ATLANTASANAD,162.0,162.0,0.0,1336361.2,8225.0,2025-08-15
ATTIJARIWAFA BANK,765.0,760.0,-0.006500000000000001,15580399.4,20479.0,2025-08-15
AUTO HALL,98.0,95.3,-0.0276,5921484.5,61754.0,2025-08-15
BCP,323.0,325.1,0.006500000000000001,6309612.1,19392.0,2025-08-15
BMCI,615.0,629.0,0.022799999999999997,1886.5,3.0,2025-08-15
CARTIER SAADA,42.45,41.9,-0.013000000000000001,144633.93,3438.0,2025-08-15
CDM,1085.0,1088.0,0.0028000000000000004,1048586.0,969.0,2025-08-15
CFG BANK,247.9,245.4,-0.0101,4031107.65,16407.0,2025-08-15
CIH,432.9,429.9,-0.0069,1467708.15,3431.0,2025-08-15
CIMENTS DU MAROC,2025.0,2003.0,-0.0109,10819070.0,5378.0,2025-08-15
CMGP GROUP,415.0,418.95,0.0095,6465483.7,15503.0,2025-08-15
COLORADO,90.78,85.7,-0.055999999999999994,19288560.0,212683.0,2025-08-15
COSUMAR,244.0,243.95,-0.0002,5235733.95,21554.0,2025-08-15
CTM,928.9,928.0,-0.001,316774.0,342.0,2025-08-15
DELTA HOLDING,85.0,86.05,0.0124,11157524.21,128320.0,2025-08-15
DISTY TECHNOLOGIES,420.0,415.0,-0.011899999999999999,1698437.6,4071.0,2025-08-15
DISWAY,912.9,915.0,0.0023,1471581.8,1624.0,2025-08-15
DOUJA PROM ADDOHA,40.7,40.4,-0.0074,5488861.01,135952.0,2025-08-15
ENNAKL,34.51,37.96,0.1,20590498.72,544031.0,2025-08-15
EQDOM,1245.0,1279.0,0.0273,30998.0,24.0,2025-08-15
FENIE BROSSETTE,535.0,549.0,0.0262,4662180.2,8472.0,2025-08-15
HPS,590.2,589.9,-0.0005,4516752.7,7655.0,2025-08-15
IB MAROC.COM,77.2,77.55,0.0045000000000000005,61690.68,781.0,2025-08-15
IMMORENTE INVEST,88.99,88.99,0.0,324037.33,3642.0,2025-08-15
INVOLYS,167.3,169.5,0.0132,107968.1,641.0,2025-08-15
ITISSALAT AL-MAGHRIB,120.0,120.0,0.0,9925678.75,82460.0,2025-08-15
LESIEUR CRISTAL,280.0,300.0,0.07139999999999999,642350.0,2150.0,2025-08-15
LafargeHolcim Maroc,2.0,2.0,-0.0177,8153949.0,4045.0,2025-08-15
MINIERE TOUISSIT,2650.0,2780.0,0.049100000000000005,1020876.0,369.0,2025-08-15
MUTANDIS SCA,287.0,280.0,-0.024399999999999998,8099406.7,28559.0,2025-08-15
OULMES,1220.0,1215.0,-0.0040999999999999995,1215.0,1.0,2025-08-15
PROMOPHARM S.A.,1489.0,1480.0,-0.006,133200.0,90.0,2025-08-15
REALISATIONS MECANIQUES,540.0,537.0,-0.005600000000000001,20487.0,38.0,2025-08-15
REBAB COMPANY,95.06,96.56,0.0158,193.12,2.0,2025-08-15
RESIDENCES DAR SAADA,153.85,152.0,-0.012,8696704.45,56805.0,2025-08-15
RISMA,392.0,391.95,-0.0001,140881.6,360.0,2025-08-15
SALAFIN,608.9,605.0,-0.0064,3025.0,5.0,2025-08-15
SANLAM MAROC,2083.0,2130.0,0.0226,63845.0,30.0,2025-08-15
SNEP,680.2,695.0,0.0218,188830.1,273.0,2025-08-15
SONASID,2471.0,2452.0,-0.0077,1488183.0,608.0,2025-08-15
SOTHEMA,1830.0,1820.0,,2545.0,1415.0,2025-08-15
TAQA MOROCCO,2.0,2.0,0.024,515.0,583.0,2025-08-15
UNIMER,163.0,163.0,,2608.0,1623140.0,2025-08-15
ZELLIDJA S.A,277.35,277.0,,9141.0,33.0,2025-08-15
