Indices,MASI,MASI 20,MASI ESG,MASI Mid and Small Cap,Date_Rapport
Valeur,10804.6,876.66,809.17,880.19,20230516
Performance journalière,0.005699999999999999,0.0068000000000000005,0.0034999999999999996,0.0006,20230516
Performance mensuelle,0.0265,0.0336,0.024700000000000003,0.017,20230516
Performance annuelle,0.0079,0.022400000000000003,0.0051,0.048600000000000004,20230516
