Indices,MASI,MASI 20,MASI ESG,MASI Mid and Small Cap,Date_Rapport
Valeur,11712.37,948.16,871.28,977.19,20230908
Performance journalière,-0.0034000000000000002,-0.0015,-0.0060999999999999995,-0.0019,20230908
Performance mensuelle,-0.0202,-0.019299999999999998,-0.0287,0.0083,20230908
Performance annuelle,0.0925,0.1058,0.0823,0.1642,20230908
