Indices,MASI,MASI 20,MASI ESG,MASI Mid and Small Cap,Date_Rapport
Valeur,11660.21,940.93,862.36,986.96,20231004
Performance journalière,-0.004699999999999999,-0.0060999999999999995,-0.0060999999999999995,-0.0060999999999999995,20231004
Performance mensuelle,-0.0173,-0.0215,-0.0167,-0.0206,20231004
Performance annuelle,0.0877,0.0974,0.0712,0.17579999999999998,20231004
