Indices,MASI,MASI 20,MASI ESG,MASI Mid and Small Cap,Date_Rapport
Valeur,10461.41,839.73,793.29,852.69,20230407
Performance journalière,0.001,0.0025,0.0013,0.0001,20230407
Performance mensuelle,0.0067,0.0092,0.0070999999999999995,-0.0021,20230407
Performance annuelle,-0.0241,-0.0206,-0.0146,0.0158,20230407
