Indices,MASI,MASI 20,MASI ESG,MASI Mid and Small Cap,Date_Rapport
Valeur,12229.44,991.5,910.55,1018.28,20231009
Performance journalière,-0.0053,-0.009300000000000001,-0.0063,0.0023,20231009
Performance mensuelle,0.030699999999999998,0.0311,0.0383,0.0104,20231009
Performance annuelle,0.1408,0.1564,0.1311,0.21309999999999998,20231009
