Indices,MASI,MASI 20,MASI ESG,MASI Mid and Small Cap,Date_Rapport
Valeur,11532.99,937.61,862.37,923.21,20230711
Performance journalière,-0.0012,0.0005,-0.0018,-0.0031,20230711
Performance mensuelle,-0.004,-0.0055000000000000005,-0.0073,0.0104,20230711
Performance annuelle,0.0758,0.0935,0.0712,0.0998,20230711
