Action,Cours_Prec,Cours_Cloture,Var_Trim,Volume,Quantite,Nb_Seances,Date_Rapport
AFMA,1334.0,1300.0,-0.0255,4464254.0,3401.0,52.0,20250630
AFRIC INDUSTRIES SA,334.95,334.0,-0.0028000000000000004,17632488.55,53552.0,61.0,20250630
AFRIQUIA GAZ,4305.0,4300.0,-0.0012,196370313.0,46703.0,57.0,20250630
AGMA,7000.0,6974.0,-0.0037,1656532.0,241.0,18.0,20250630
AKDITAL,1270.0,1451.0,0.1425,2458429117.0,1817978.0,61.0,20250630
ALLIANCES,555.0,475.0,-0.1441,1295632717.8,2655136.0,61.0,20250630
ALUMINIUM DU MAROC,1780.0,1772.0,-0.0045000000000000005,6981059.0,4021.0,51.0,20250630
ARADEI CAPITAL,484.0,465.0,-0.0393,89410031.1,188480.0,61.0,20250630
ATLANTASANAD,139.0,142.0,0.0216,258908774.95,1881472.0,61.0,20250630
ATTIJARIWAFA BANK,699.8,680.0,-0.028300000000000002,2756882998.8,4125348.0,61.0,20250630
AUTO HALL,75.0,81.0,0.08,96272490.02,1225771.0,61.0,20250630
AUTO NEJMA,2068.0,2064.0,-0.0019,30960.0,15.0,1.0,20250630
BALIMA,230.0,228.0,-0.0087,47623.0,211.0,23.0,20250630
BANK OF AFRICA,195.9,280.0,0.4293,1242706897.25,5167124.0,61.0,20250630
BCP,283.35,290.0,0.0235,1273632060.65,4569797.0,61.0,20250630
BMCI,600.0,615.0,0.025,178233591.5,309592.0,58.0,20250630
CARTIER SAADA,33.0,39.31,0.1912,2849140.45,86552.0,61.0,20250630
CDM,1175.0,1120.0,-0.046799999999999994,393719819.3,356357.0,61.0,20250630
CFG BANK,225.0,230.0,0.0222,404595648.1,1785603.0,61.0,20250630
CIH,410.0,415.0,0.012199999999999999,163935093.4,400951.0,60.0,20250630
CIMENTS DU MAROC,1940.0,2050.0,0.0567,500638589.0,258908.0,61.0,20250630
CMGP GROUP,329.9,315.0,-0.0452,434759426.55,1356831.0,61.0,20250630
COLORADO,62.89,63.9,0.0161,17314404.13,284524.0,61.0,20250630
COSUMAR,226.0,235.0,0.0398,413331823.4,1804085.0,61.0,20250630
CTM,1106.0,933.0,-0.1564,27547224.8,29857.0,61.0,20250630
DARI COUSPATE,3300.0,3700.0,0.12119999999999999,1769618.0,513.0,13.0,20250630
