Action,Cours_Prec,Cours_Cloture,Var_Trim,Volume,Quantite,Nb_Seances,Date_Rapport
AFMA,1268.0,1225.0,-0.0339,2887792.0,2303.0,25.0,20251231
AFRIC INDUSTRIES SA,330.0,337.0,0.0212,6952880.25,21144.0,63.0,20251231
AFRIQUIA GAZ,4200.0,4040.0,-0.0381,77326324.0,19050.0,60.0,20251231
AGMA,6455.0,6335.0,-0.018600000000000002,631989.0,99.0,19.0,20251231
AKDITAL,1387.0,1180.0,-0.1492,2392503146.0,1903235.0,64.0,20251231
ALLIANCES,525.0,530.0,0.0095,1129897600.6,1987166.0,64.0,20251231
ALUMINIUM DU MAROC,1850.0,1798.0,-0.0281,4205377.0,2375.0,55.0,20251231
ARADEI CAPITAL,455.0,420.0,-0.07690000000000001,66973907.8,151548.0,64.0,20251231
ATLANTASANAD,145.0,150.0,0.0345,77303281.35,531271.0,64.0,20251231
ATTIJARIWAFA BANK,745.0,730.1,-0.02,2894608539.5,3925380.0,64.0,20251231
AUTO HALL,99.0,93.9,-0.051500000000000004,37234059.1,394398.0,64.0,20251231
AUTO NEJMA,2760.0,4326.0,0.5674,344664.0,79.0,28.0,20251231
BALIMA,295.2,250.0,-0.1531,308365.1,1232.0,30.0,20251231
BANK OF AFRICA,255.0,225.0,-0.0992,627204149.9,2682217.0,64.0,20251231
BCP,295.0,290.0,-0.0169,1350229303.15,4738822.0,64.0,20251231
BMCI,591.0,630.0,0.066,101292783.5,172469.0,63.0,20251231
CARTIER SAADA,37.9,34.28,-0.0955,3331884.68,93854.0,63.0,20251231
CASH PLUS S.A,200.0,307.0,0.535,738921086.15,2353267.0,18.0,20251231
CDM,1009.0,1039.0,0.0297,465008917.4,458997.0,63.0,20251231
CFG BANK,241.1,245.0,0.016200000000000003,295667445.65,1205531.0,64.0,20251231
CIH,426.5,415.0,-0.027000000000000003,433462550.0,1054674.0,64.0,20251231
CIMENTS DU MAROC,2050.0,1850.0,-0.09759999999999999,449049102.0,234508.0,64.0,20251231
CMGP GROUP,397.0,369.0,-0.0705,456183094.65,1211376.0,64.0,20251231
COLORADO,90.98,85.79,-0.057,36775017.63,425930.0,64.0,20251231
COSUMAR,214.0,203.5,-0.049100000000000005,445738726.05,2202006.0,64.0,20251231
CTM,954.0,905.0,-0.051399999999999994,32535165.4,36175.0,64.0,20251231
DARI COUSPATE,4000.0,4200.0,0.05,170839.0,42.0,6.0,20251231
DELATTRE LEVIVIER MAROC,40.0,40.0,0.0,0.0,0.0,0.0,20251231
DELTA HOLDING,79.0,77.0,-0.0253,187229703.39,2441144.0,64.0,20251231
DIAC SALAF,26.25,26.25,0.0,0.0,0.0,0.0,20251231
DISTY TECHNOLOGIES,400.0,350.0,-0.125,19656360.0,52845.0,64.0,20251231
DISWAY,953.0,880.0,-0.0766,36221600.3,39091.0,55.0,20251231
DOUJA PROM ADDOHA,38.7,35.98,-0.0703,536988587.73,14309914.0,64.0,20251231
ENNAKL,53.99,54.0,0.0002,66047798.78,1116524.0,64.0,20251231
EQDOM,1300.0,1297.0,-0.0023,36378513.0,28671.0,42.0,20251231
HPS,500.0,556.0,0.11199999999999999,290885367.1,553083.0,64.0,20251231
IB MAROC.COM,72.0,69.5,-0.0347,1474314.26,19679.0,61.0,20251231
IMMORENTE INVEST,91.45,91.65,0.0022,26536656.33,294096.0,64.0,20251231
INVOLYS,163.9,182.0,0.1104,28089713.95,131569.0,64.0,20251231
ITISSALAT AL-MAGHRIB,117.3,109.0,-0.0708,1546426495.7,13688393.0,64.0,20251231
JET CONTRACTORS,2390.0,2650.0,0.10880000000000001,469282809.0,184411.0,64.0,20251231
LABEL VIE,4653.0,4600.0,-0.011399999999999999,391607802.0,85920.0,63.0,20251231
LafargeHolcim Maroc,1900.0,1840.0,-0.0316,1104186243.0,597430.0,64.0,20251231
LESIEUR CRISTAL,330.0,360.0,0.0909,22982924.5,76227.0,54.0,20251231
M2M Group,453.2,464.9,0.0258,1753898.15,3758.0,52.0,20251231
MAGHREBAIL,917.0,943.0,0.028399999999999998,212621.8,230.0,27.0,20251231
MAGHREB OXYGENE,393.3,413.9,0.0524,1092091.2,2716.0,56.0,20251231
MANAGEM,5903.0,6400.0,0.0842,381339016.0,62559.0,64.0,20251231
MAROC LEASING,366.65,360.0,-0.0181,1166776.35,3258.0,39.0,20251231
MED PAPER,29.0,26.53,-0.0852,12299269.81,424600.0,64.0,20251231
MICRODATA,828.0,799.7,-0.0342,14290353.7,18216.0,63.0,20251231
MINIERE TOUISSIT,2700.0,1791.0,-0.3367,155439192.0,73928.0,64.0,20251231
MUTANDIS SCA,277.8,250.0,-0.1001,235614848.7,886091.0,64.0,20251231
OULMES,1153.0,1182.0,0.0252,15254714.0,12208.0,25.0,20251231
PROMOPHARM S.A.,1399.0,1500.0,0.0722,1014691.0,694.0,19.0,20251231
REALISATIONS MECANIQUES,539.7,496.95,-0.07919999999999999,1913793.0,3810.0,55.0,20251231
REBAB COMPANY,111.95,106.25,-0.0509,186775.27,1729.0,52.0,20251231
RESIDENCES DAR SAADA,177.0,161.0,-0.0904,724424330.95,4077069.0,64.0,20251231
RISMA,409.95,370.0,-0.0975,94658498.15,239946.0,64.0,20251231
SALAFIN,680.0,530.0,-0.2206,28922818.6,50023.0,40.0,20251231
SAMIR,127.8,127.8,0.0,0.0,0.0,0.0,20251231
SANLAM MAROC,1950.0,2140.0,0.0974,26459357.0,13083.0,46.0,20251231
SGTM S.A,420.0,915.0,1.1786,4702448122.0,5442611.0,12.0,20251231
SMI,2567.0,4100.0,0.5972,161125090.0,52339.0,63.0,20251231
S.M MONETIQUE,627.3,585.0,-0.0674,10257854.3,17182.0,58.0,20251231
SNEP,550.0,480.0,-0.1273,26498742.1,51502.0,64.0,20251231
SOCIETE DES BOISSONS DU M,2390.0,2290.0,-0.0418,14711174.0,6640.0,43.0,20251231
SODEP-Marsa Maroc,950.0,950.0,0.0,2324540130.7,2416299.0,64.0,20251231
SONASID,2340.0,2227.0,-0.0483,224052962.0,95650.0,64.0,20251231
SOTHEMA,1884.0,1850.0,-0.018000000000000002,30974594.0,17339.0,61.0,20251231
STOKVIS NORD AFRIQUE,124.0,94.0,-0.2419,257285183.65,2150154.0,64.0,20251231
STROC INDUSTRIE,202.8,245.0,0.20809999999999998,148955046.75,531949.0,64.0,20251231
TAQA MOROCCO,2350.0,2120.0,-0.09789999999999999,525948488.0,231995.0,64.0,20251231
TGCC S.A,910.0,906.1,-0.0043,2671831795.4,2928488.0,64.0,20251231
TOTALENERGIES MARKETING,1785.0,1745.0,-0.022400000000000003,112536578.0,63026.0,63.0,20251231
UNIMER,160.0,160.0,0.0,64540.65,405.0,26.0,20251231
VICENNE,450.0,449.9,-0.0002,1102974989.1,2287119.0,64.0,20251231
WAFA ASSURANCE,5000.0,4804.0,-0.0392,82305053.0,16315.0,57.0,20251231
ZELLIDJA S.A,216.55,204.05,-0.057699999999999994,231471.7,1070.0,39.0,20251231
