Action,Cours_Prec,Cours_Cloture,Var_Trim,Volume,Quantite,Nb_Seances,Date_Rapport
AFMA,1300.0,1268.0,-0.0246,2574487.0,1949.0,33.0,20250930
AFRIC INDUSTRIES SA,334.0,330.0,-0.012,20310658.3,59152.0,61.0,20250930
AFRIQUIA GAZ,4300.0,4200.0,-0.0233,105374849.0,24313.0,57.0,20250930
AGMA,6974.0,6455.0,-0.07440000000000001,4848277.0,764.0,21.0,20250930
AKDITAL,1451.0,1387.0,-0.0441,1059742325.0,701109.0,61.0,20250930
ALLIANCES,475.0,525.0,0.10529999999999999,1062721268.55,2021122.0,61.0,20250930
ALUMINIUM DU MAROC,1772.0,1850.0,0.044000000000000004,5773583.0,3057.0,57.0,20250930
ARADEI CAPITAL,465.0,455.0,-0.0215,61844239.75,133073.0,61.0,20250930
ATLANTASANAD,142.0,145.0,0.021099999999999997,122167413.8,803082.0,61.0,20250930
ATTIJARIWAFA BANK,680.0,745.0,0.0956,2464853930.1,3277111.0,61.0,20250930
AUTO HALL,81.0,99.0,0.22219999999999998,173050716.12,1761506.0,61.0,20250930
AUTO NEJMA,2064.0,2760.0,0.3372,42113.0,16.0,5.0,20250930
BALIMA,228.0,295.2,0.29469999999999996,278399.0,961.0,40.0,20250930
BANK OF AFRICA,280.0,255.0,-0.08929999999999999,981094653.8,3750789.0,61.0,20250930
BCP,290.0,295.0,0.0172,1568183968.5,4919791.0,61.0,20250930
BMCI,615.0,591.0,-0.039,155781643.9,269487.0,57.0,20250930
CARTIER SAADA,39.31,37.9,-0.0359,16316757.07,395223.0,61.0,20250930
CDM,1120.0,1009.0,-0.09910000000000001,240100963.0,227150.0,61.0,20250930
CFG BANK,230.0,241.1,0.0483,613007960.25,2466832.0,61.0,20250930
CIH,415.0,426.5,0.0443,597137795.25,1375945.0,61.0,20250930
CIMENTS DU MAROC,2050.0,2050.0,0.0,461790943.0,225381.0,61.0,20250930
CMGP GROUP,315.0,397.0,0.26030000000000003,1038758109.45,2714038.0,61.0,20250930
COLORADO,63.9,90.98,0.4238,138355253.88,1568583.0,61.0,20250930
COSUMAR,235.0,214.0,-0.0894,507048234.6,2109365.0,61.0,20250930
CTM,933.0,954.0,0.0225,24572578.2,25724.0,61.0,20250930
DARI COUSPATE,3700.0,4000.0,0.08109999999999999,1931848.0,487.0,17.0,20250930
DELATTRE LEVIVIER MAROC,40.0,40.0,0.0,0.0,0.0,0.0,20250930
DELTA HOLDING,80.0,79.0,-0.0125,305413439.07,3609155.0,61.0,20250930
DIAC SALAF,26.25,26.25,0.0,0.0,0.0,0.0,20250930
DISTY TECHNOLOGIES,348.0,400.0,0.1494,86763441.85,221530.0,61.0,20250930
DISWAY,768.0,953.0,0.2409,106996242.5,120339.0,61.0,20250930
DOUJA PROM ADDOHA,36.99,38.7,0.0462,882701842.8,22199195.0,61.0,20250930
ENNAKL,34.4,53.99,0.5695,127190931.03,2722044.0,61.0,20250930
EQDOM,1260.0,1300.0,0.0317,67565939.0,55369.0,51.0,20250930
FENIE BROSSETTE,414.95,433.9,0.045700000000000005,207791944.95,420378.0,61.0,20250930
IB MAROC.COM,79.24,72.0,-0.09140000000000001,5969569.1,77303.0,61.0,20250930
IMMORENTE INVEST,84.21,91.45,0.086,56676829.07,623618.0,61.0,20250930
INVOLYS,210.7,163.9,-0.22210000000000002,22954472.4,134884.0,61.0,20250930
ITISSALAT AL-MAGHRIB,111.15,117.3,0.0553,1565217550.65,12912311.0,61.0,20250930
JET CONTRACTORS,1998.0,2390.0,0.1962,934835932.0,397985.0,61.0,20250930
LABEL VIE,4400.0,4653.0,0.0575,818868533.0,170118.0,60.0,20250930
LafargeHolcim Maroc,1925.0,1900.0,-0.013000000000000001,1038235387.0,520149.0,61.0,20250930
LESIEUR CRISTAL,300.0,330.0,0.1,11057750.6,37103.0,49.0,20250930
M2M Group,511.1,453.2,-0.1133,19534792.7,37004.0,61.0,20250930
MAGHREBAIL,915.6,917.0,0.0015,2583603.4,2796.0,40.0,20250930
MAGHREB OXYGENE,447.95,393.3,-0.122,2567684.25,6131.0,58.0,20250930
MANAGEM,5250.0,5903.0,0.1244,301943721.0,52873.0,61.0,20250930
MAROC LEASING,358.0,366.65,0.0242,570930.85,1518.0,34.0,20250930
MED PAPER,27.79,29.0,0.0435,63955521.77,1955121.0,61.0,20250930
MICRODATA,830.0,828.0,-0.0024,21341325.9,23461.0,58.0,20250930
MINIERE TOUISSIT,2370.0,2700.0,0.1392,131090909.0,48897.0,59.0,20250930
MUTANDIS SCA,295.05,277.8,-0.058499999999999996,301949888.9,1068473.0,61.0,20250930
OULMES,1239.0,1153.0,-0.0694,88916059.0,72713.0,36.0,20250930
PROMOPHARM S.A.,1110.0,1399.0,0.26039999999999996,2309338.0,1900.0,38.0,20250930
REALISATIONS MECANIQUES,595.8,539.7,-0.0942,16508331.9,29231.0,59.0,20250930
REBAB COMPANY,76.0,111.95,0.473,121094.79,1213.0,41.0,20250930
RESIDENCES DAR SAADA,125.0,177.0,0.41600000000000004,974017994.5,6245370.0,61.0,20250930
RISMA,340.0,409.95,0.2057,70875117.8,181357.0,61.0,20250930
SALAFIN,620.0,680.0,0.0968,11349365.5,18797.0,44.0,20250930
SAMIR,127.8,127.8,0.0,0.0,0.0,0.0,20250930
SANLAM MAROC,1788.0,1950.0,0.0906,25546195.0,12401.0,57.0,20250930
SMI,2410.0,2567.0,0.06509999999999999,100286857.0,39054.0,60.0,20250930
S.M MONETIQUE,633.0,627.3,-0.009000000000000001,51528909.3,74610.0,61.0,20250930
SNEP,690.1,550.0,-0.203,49492527.3,73866.0,60.0,20250930
SOCIETE DES BOISSONS DU M,1935.0,2390.0,0.2351,53855980.0,24499.0,60.0,20250930
SODEP-Marsa Maroc,810.0,950.0,0.1728,2138485353.3,2276231.0,61.0,20250930
SONASID,2550.0,2340.0,-0.0824,284179314.0,114476.0,61.0,20250930
SOTHEMA,1475.0,1884.0,0.2773,266173894.0,152113.0,60.0,20250930
STOKVIS NORD AFRIQUE,60.18,124.0,1.0605,603393945.27,5943304.0,61.0,20250930
STROC INDUSTRIE,248.75,202.8,-0.18469999999999998,138204535.75,609100.0,61.0,20250930
TAQA MOROCCO,2800.0,2350.0,-0.1607,637506235.0,224680.0,61.0,20250930
TGCC S.A,860.0,910.0,0.0581,3772920182.7,3805151.0,61.0,20250930
TOTALENERGIES MARKETING,1785.0,1785.0,0.0,162110951.0,91453.0,61.0,20250930
UNIMER,164.0,160.0,-0.024399999999999998,343243.0,2128.0,38.0,20250930
VICENNE,236.0,450.0,0.9068,1614926183.45,3703532.0,51.0,20250930
WAFA ASSURANCE,5200.0,5000.0,-0.0385,104911228.0,20359.0,44.0,20250930
ZELLIDJA S.A,179.1,216.55,0.2091,488353.6,1839.0,43.0,20250930
