Action,Cours_Prec,Cours_Cloture,Var_Trim,Volume,Quantite,Nb_Seances,Date_Rapport
AFMA,1101.0,1334.0,0.2116,6595632.0,5853.0,61.0,20250328
AFRIC INDUSTRIES SA,303.95,334.95,0.102,12606467.65,40368.0,61.0,20250328
AFRIQUIA GAZ,3760.0,4305.0,0.1449,324103203.0,72966.0,59.0,20250328
AGMA,6875.0,7000.0,0.0182,1530734.0,223.0,20.0,20250328
AKDITAL,1052.0,1270.0,0.2072,1775119270.0,1486797.0,61.0,20250328
ALLIANCES,480.0,555.0,0.1563,1936506525.0,3538977.0,61.0,20250328
ALUMINIUM DU MAROC,1442.0,1780.0,0.23440000000000003,26556175.0,16812.0,54.0,20250328
ARADEI CAPITAL,479.95,484.0,0.0084,210635342.9,438479.0,61.0,20250328
ATLANTASANAD,127.5,139.0,0.0902,266828903.25,1810281.0,61.0,20250328
ATTIJARIWAFA BANK,569.0,699.8,0.2299,3523480578.6,5470712.0,61.0,20250328
AUTO HALL,66.0,75.0,0.1364,153495674.26,2125316.0,61.0,20250328
AUTO NEJMA,2068.0,2068.0,0.0,0.0,0.0,0.0,20250328
BALIMA,219.0,230.0,0.050199999999999995,193767.4,865.0,20.0,20250328
BANK OF AFRICA,205.0,195.9,-0.0444,323384361.05,1608495.0,61.0,20250328
BCP,275.0,283.35,0.0304,1359031997.65,4797140.0,61.0,20250328
BMCI,580.0,600.0,0.0345,150695117.1,239493.0,59.0,20250328
CARTIER SAADA,35.0,33.0,-0.0571,3561087.15,105530.0,61.0,20250328
CDM,930.0,1175.0,0.2634,612874610.4,561638.0,61.0,20250328
CFG BANK,222.0,225.0,0.013500000000000002,725390700.0,3098951.0,61.0,20250328
CIH,395.0,410.0,0.038,268768603.2,618940.0,61.0,20250328
CIMENTS DU MAROC,1880.0,1940.0,0.0319,781066065.0,409975.0,61.0,20250328
CMGP GROUP,290.0,329.9,0.1376,1615043590.6,4796065.0,61.0,20250328
COLORADO,56.0,62.89,0.12300000000000001,13078994.27,217173.0,61.0,20250328
COSUMAR,190.0,226.0,0.1895,675810940.2,3265329.0,61.0,20250328
CTM,1097.0,1106.0,0.008199999999999999,41407493.0,36125.0,60.0,20250328
DARI COUSPATE,3450.0,3300.0,-0.0435,12135997.0,3518.0,20.0,20250328
DELATTRE LEVIVIER MAROC,40.0,40.0,0.0,0.0,0.0,0.0,20250328
DELTA HOLDING,57.0,82.0,0.4386,235610641.54,3357487.0,61.0,20250328
DIAC SALAF,26.25,26.25,0.0,0.0,0.0,0.0,20250328
DISTY TECHNOLOGIES,259.5,317.9,0.225,55137784.15,179997.0,61.0,20250328
DISWAY,638.0,799.8,0.2536,37550431.7,52596.0,61.0,20250328
DOUJA PROM ADDOHA,39.3,45.58,0.1598,1452749982.12,32596681.0,61.0,20250328
ENNAKL,33.01,35.1,0.0633,23926410.23,709173.0,61.0,20250328
EQDOM,1219.0,1110.0,-0.0894,56160503.0,52310.0,34.0,20250328
FENIE BROSSETTE,106.45,279.0,1.6209,89915571.15,436121.0,61.0,20250328
HPS,607.0,620.0,0.021400000000000002,528974920.3,814575.0,61.0,20250328
IB MAROC.COM,34.92,40.5,0.1598,1347008.47,35040.0,56.0,20250328
IMMORENTE INVEST,90.0,91.9,0.021099999999999997,46227039.18,512519.0,61.0,20250328
ITISSALAT AL-MAGHRIB,82.01,122.5,0.49369999999999997,2803244947.1,26484236.0,60.0,20250328
JET CONTRACTORS,1890.0,2400.0,0.2698,1190640264.0,496895.0,61.0,20250328
LABEL VIE,4200.0,4429.0,0.0545,370693726.0,88388.0,59.0,20250328
LafargeHolcim Maroc,1935.0,1903.0,-0.0165,827391340.0,418647.0,61.0,20250328
LESIEUR CRISTAL,300.0,290.0,-0.0333,11779877.25,42001.0,53.0,20250328
M2M Group,529.0,571.0,0.0794,2203467.4,4143.0,49.0,20250328
MAGHREBAIL,900.0,977.0,0.08560000000000001,925532.4,1023.0,18.0,20250328
MAGHREB OXYGENE,245.05,453.0,0.8486,8467250.6,17496.0,60.0,20250328
MANAGEM,2889.0,5020.0,0.7376,452683371.0,110086.0,60.0,20250328
MAROC LEASING,370.0,372.0,0.0054,249398.45,662.0,21.0,20250328
MED PAPER,20.53,23.49,0.1442,11478050.64,501208.0,61.0,20250328
MICRODATA,605.0,824.0,0.36200000000000004,32659149.8,43494.0,55.0,20250328
MINIERE TOUISSIT,1616.0,1950.0,0.20670000000000002,103648906.0,57284.0,59.0,20250328
MUTANDIS SCA,304.0,310.0,0.0197,265337721.45,819325.0,61.0,20250328
OULMES,1233.0,1250.0,0.0138,414191.0,332.0,16.0,20250328
PROMOPHARM S.A.,950.0,970.0,0.021099999999999997,518573.0,531.0,19.0,20250328
REALISATIONS MECANIQUES,400.0,416.0,0.04,17413337.25,38797.0,57.0,20250328
REBAB COMPANY,100.0,90.0,-0.1,91428.19,1005.0,31.0,20250328
RESIDENCES DAR SAADA,75.2,115.0,0.5293,1105869406.11,10235928.0,61.0,20250328
RISMA,224.05,300.0,0.33899999999999997,198532881.95,701648.0,61.0,20250328
SALAFIN,548.0,675.0,0.2318,121090943.0,217564.0,45.0,20250328
SAMIR,127.8,127.8,0.0,0.0,0.0,0.0,20250328
SANLAM MAROC,1829.0,1800.0,-0.0159,7026102.0,3779.0,45.0,20250328
SMI,1971.0,2390.0,0.2126,129139429.0,55354.0,61.0,20250328
S.M MONETIQUE,235.0,428.0,0.8212999999999999,53852399.5,137724.0,57.0,20250328
SNEP,595.0,616.1,0.0355,137895811.7,216353.0,61.0,20250328
SOCIETE DES BOISSONS DU M,2360.0,2100.0,-0.11019999999999999,58322995.0,25254.0,49.0,20250328
SODEP-Marsa Maroc,536.0,750.0,0.3993,2113858744.6,3178711.0,61.0,20250328
SONASID,983.9,1900.0,0.9311,598686029.2,409824.0,61.0,20250328
SOTHEMA,925.0,1139.0,0.2314,95954207.3,91645.0,58.0,20250328
STOKVIS NORD AFRIQUE,16.37,51.3,2.1338,39442280.57,1112986.0,61.0,20250328
STROC INDUSTRIE,42.05,62.0,0.4744,13230366.64,251143.0,61.0,20250328
TAQA MOROCCO,1340.0,2310.0,0.7239,911734157.0,543581.0,61.0,20250328
TGCC S.A,476.0,700.0,0.4706,2064751569.75,3276083.0,60.0,20250328
TOTALENERGIES MARKETING,1500.0,1849.0,0.2327,307529576.0,187542.0,56.0,20250328
UNIMER,170.0,171.6,0.009399999999999999,877783.75,5167.0,22.0,20250328
WAFA ASSURANCE,4460.0,5100.0,0.1435,146469941.0,31197.0,48.0,20250328
ZELLIDJA S.A,102.0,156.85,0.5377000000000001,368813.6,2726.0,40.0,20250328
