Indices,MASI,MASI 20,MASI ESG,MASI Mid and Small Cap,Date_Rapport
Valeur,13444.34,1080.37,970.83,1248.25,20240520
Performance journalière,0.0014000000000000002,0.0008,0.0013,0.0011,20240520
Performance mensuelle,0.009399999999999999,0.0031,0.0042,0.0209,20240520
Performance annuelle,0.1118,0.0915,0.0765,0.2541,20240520
