Indices,MASI,MASI 20,MASI ESG,MASI Mid and Small Cap,Date_Rapport
Valeur,14211.68,1143.82,1017.42,1394.28,20241028
Performance journalière,0.0021,0.0018,0.0008,0.0149,20241028
Performance mensuelle,-0.011200000000000002,-0.015700000000000002,-0.0125,0.0254,20241028
Performance annuelle,0.1752,0.15560000000000002,0.1281,0.4008,20241028
