Action,Cours_Prec,Cours_Cloture,Var_Trim,Volume,Quantite,Nb_Seances,Date_Rapport
AFMA,1200.0,1183.0,-0.014199999999999999,5141079.0,4255.0,63.0,20240329
AFRIC INDUSTRIES SA,334.95,320.0,-0.0446,4145625.45,12925.0,56.0,20240329
AFRIQUIA GAZ,4000.0,4300.0,0.075,104401299.0,25457.0,52.0,20240329
AGMA,6380.0,6610.0,0.0361,1123126.0,162.0,37.0,20240329
AKDITAL,496.0,680.0,0.371,514797591.35,817465.0,63.0,20240329
ALLIANCES,115.5,202.0,0.7489,632453345.15,4039843.0,63.0,20240329
ALUMINIUM DU MAROC,1369.0,1499.0,0.095,5302645.0,3850.0,46.0,20240329
ARADEI CAPITAL,445.0,500.0,0.12359999999999999,89699869.5,186198.0,63.0,20240329
ATLANTASANAD,127.0,124.0,-0.0236,155013225.25,1253396.0,63.0,20240329
ATTIJARIWAFA BANK,460.0,507.9,0.1041,1610743724.5,3244387.0,63.0,20240329
AUTO HALL,67.75,64.0,-0.0554,44831980.56,682331.0,63.0,20240329
AUTO NEJMA,2470.0,2166.0,-0.1231,223060.0,97.0,5.0,20240329
BALIMA,185.0,219.2,0.18489999999999998,733907.8,3361.0,9.0,20240329
BANK OF AFRICA,179.5,195.0,0.0864,213010418.6,1088346.0,63.0,20240329
BCP,275.0,295.9,0.076,979846577.75,3343639.0,63.0,20240329
BMCI,540.0,610.0,0.12960000000000002,85602369.8,149928.0,51.0,20240329
CARTIER SAADA,22.0,24.5,0.11359999999999999,1156244.19,51186.0,58.0,20240329
CDM,797.0,900.0,0.1292,123702208.0,141555.0,34.0,20240329
CFG BANK,141.5,154.9,0.0947,556035577.9,3707159.0,63.0,20240329
CIH,351.55,369.5,0.051100000000000007,193076063.5,547911.0,61.0,20240329
CIMENTS DU MAROC,1680.0,1690.0,0.006,186726102.0,108935.0,59.0,20240329
COLORADO,46.5,49.5,0.0645,4041585.6,88542.0,61.0,20240329
COSUMAR,195.0,200.5,0.0282,409751785.35,2142835.0,62.0,20240329
CTM,570.1,571.0,0.0016,1486390.1,2541.0,47.0,20240329
DARI COUSPATE,3200.0,3593.0,0.12279999999999999,3925840.0,1225.0,5.0,20240329
DELATTRE LEVIVIER MAROC,40.0,40.0,0.0,0.0,0.0,0.0,20240329
DELTA HOLDING,35.5,38.0,0.0704,20086296.38,515768.0,57.0,20240329
DIAC SALAF,26.25,26.25,0.0,0.0,0.0,0.0,20240329
DISTY TECHNOLOGIES,191.4,254.9,0.3318,32886485.55,153248.0,63.0,20240329
DISWAY,650.0,730.0,0.1231,22631709.6,32054.0,51.0,20240329
DOUJA PROM ADDOHA,14.33,20.6,0.4375,909428566.94,49020719.0,63.0,20240329
ENNAKL,31.0,32.65,0.053200000000000004,7088645.19,223722.0,59.0,20240329
EQDOM,987.2,1150.0,0.1649,71329066.0,63731.0,44.0,20240329
FENIE BROSSETTE,94.32,85.2,-0.0967,4429103.08,49747.0,60.0,20240329
HPS,622.0,580.0,-0.0675,98965380.5,162974.0,63.0,20240329
IB MAROC.COM,20.7,21.3,0.028999999999999998,198025.71,9209.0,47.0,20240329
IMMORENTE INVEST,93.0,93.3,0.0032,28495961.63,304815.0,63.0,20240329
ITISSALAT AL-MAGHRIB,100.0,100.9,0.009000000000000001,945014506.61,9471773.0,63.0,20240329
JET CONTRACTORS,255.0,425.0,0.6667000000000001,176363335.9,515466.0,63.0,20240329
LABEL VIE,4200.0,4599.0,0.095,348804694.0,80154.0,55.0,20240329
LafargeHolcim Maroc,1920.0,1950.0,0.015600000000000001,264156447.0,132712.0,58.0,20240329
LESIEUR CRISTAL,270.0,269.0,-0.0037,10723214.8,39320.0,39.0,20240329
M2M Group,619.0,486.0,-0.21489999999999998,741484.2,1305.0,15.0,20240329
MAGHREBAIL,910.0,920.0,0.011000000000000001,690402.0,739.0,14.0,20240329
MAGHREB OXYGENE,230.0,220.4,-0.0417,196866.35,927.0,27.0,20240329
MANAGEM,1760.0,1750.0,0.0097,146264367.0,80869.0,63.0,20240329
MAROC LEASING,360.0,385.0,0.0694,113660.7,310.0,16.0,20240329
MED PAPER,20.49,19.22,-0.062,7363855.37,379899.0,62.0,20240329
MICRODATA,600.0,659.0,0.0983,29420978.2,46066.0,57.0,20240329
MINIERE TOUISSIT,1090.0,1145.0,0.050499999999999996,175634368.1,135119.0,61.0,20240329
MUTANDIS SCA,250.0,260.5,0.042,111864388.35,419277.0,63.0,20240329
OULMES,1349.0,1335.0,-0.0104,1559539.0,1118.0,14.0,20240329
PROMOPHARM S.A.,1000.0,945.0,-0.055,284470.2,292.0,16.0,20240329
REALISATIONS MECANIQUES,119.8,94.03,-0.2151,451832.8,4388.0,36.0,20240329
REBAB COMPANY,83.81,71.75,-0.1439,48095.16,654.0,21.0,20240329
RESIDENCES DAR SAADA,21.7,33.0,0.5207,145942302.36,4729584.0,63.0,20240329
RISMA,207.0,241.1,0.16469999999999999,141326540.2,641716.0,63.0,20240329
SALAFIN,520.0,599.0,0.1519,9011096.0,16316.0,39.0,20240329
SAMIR,127.8,127.8,0.0,0.0,0.0,0.0,20240329
SANLAM MAROC,1299.0,1455.0,0.1201,11861194.0,9184.0,33.0,20240329
SMI,1323.0,1600.0,0.2094,80780493.0,59308.0,58.0,20240329
S.M MONETIQUE,180.0,170.65,-0.0519,369417.35,2078.0,34.0,20240329
SNEP,490.0,555.0,0.13269999999999998,101211542.75,199536.0,63.0,20240329
SOCIETE DES BOISSONS DU M,2257.0,2700.0,0.1963,51410507.0,21610.0,49.0,20240329
SODEP-Marsa Maroc,278.0,280.0,0.0072,332316809.45,1180010.0,63.0,20240329
SONASID,660.0,740.0,0.12119999999999999,139734978.2,195106.0,63.0,20240329
SOTHEMA,951.0,1015.0,0.0673,21607512.5,21366.0,54.0,20240329
STOKVIS NORD AFRIQUE,10.9,10.31,-0.0541,1497782.56,140639.0,63.0,20240329
STROC INDUSTRIE,28.72,25.87,-0.0992,461094.94,15958.0,54.0,20240329
TAQA MOROCCO,1100.0,1201.0,0.09179999999999999,228801052.0,191039.0,62.0,20240329
TGCC S.A,186.0,255.0,0.371,424100929.45,1888470.0,63.0,20240329
TIMAR,600.0,660.0,0.1,2748240.0,4164.0,13.0,20240329
TOTALENERGIES MARKETING,1160.0,1401.0,0.2078,135183005.0,99438.0,62.0,20240329
UNIMER,177.0,178.0,0.005600000000000001,14569.4,83.0,5.0,20240329
WAFA ASSURANCE,4000.0,4295.0,0.0737,169030486.0,40389.0,50.0,20240329
ZELLIDJA S.A,70.2,77.0,0.0969,35909.88,472.0,22.0,20240329
