Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1224.0,1248.0,0.0196,1248.0,1.0,2023-07-04
AFRIC INDUSTRIES SA,360.0,356.0,-0.0111,8208.0,23.0,2023-07-04
AFRIQUIA GAZ,4250.0,3996.0,-0.059800000000000006,552160.0,135.0,2023-07-04
AKDITAL,356.95,365.0,0.0226,3760051.7,10460.0,2023-07-04
ALLIANCES,81.31,86.0,0.057699999999999994,9455763.51,112953.0,2023-07-04
ALUMINIUM DU MAROC,1350.0,1350.0,0.0,175467.0,130.0,2023-07-04
ARADEI CAPITAL,446.0,440.0,-0.013500000000000002,5738.0,13.0,2023-07-04
ATLANTASANAD,125.0,125.0,0.0,13500.0,108.0,2023-07-04
ATTIJARIWAFA BANK,430.25,435.0,0.011000000000000001,3599291.75,8351.0,2023-07-04
AUTO HALL,75.4,76.0,0.008,34797.78,469.0,2023-07-04
BANK OF AFRICA,177.0,178.0,0.005600000000000001,721960.65,4056.0,2023-07-04
BCP,264.0,262.0,-0.0076,4316116.0,16509.0,2023-07-04
BMCI,458.0,456.0,-0.0044,61560.0,135.0,2023-07-04
CARTIER SAADA,24.0,24.17,0.0070999999999999995,47.83,2.0,2023-07-04
CIH,349.0,360.0,0.0315,720.0,2.0,2023-07-04
COLORADO,43.68,43.67,-0.0002,11265.5,258.0,2023-07-04
COSUMAR,197.0,197.0,0.0,103160.3,523.0,2023-07-04
DELTA HOLDING,32.0,32.3,0.009399999999999999,1979023.6,62032.0,2023-07-04
DISTY TECHNOLOGIES,202.0,203.0,0.005,27202.1,134.0,2023-07-04
DISWAY,700.0,703.0,0.0043,16112.0,23.0,2023-07-04
DOUJA PROM ADDOHA,9.86,10.45,0.059800000000000006,10229826.46,993677.0,2023-07-04
ENNAKL,31.69,31.8,0.0034999999999999996,12402.0,390.0,2023-07-04
FENIE BROSSETTE,106.95,106.95,0.0,3208.5,30.0,2023-07-04
IB MAROC.COM,24.01,24.97,0.04,24.97,1.0,2023-07-04
IMMORENTE INVEST,96.0,97.2,0.0125,56953.65,593.0,2023-07-04
ITISSALAT AL-MAGHRIB,95.5,95.5,0.0,2343308.77,24555.0,2023-07-04
JET CONTRACTORS,223.5,226.95,0.0154,11325.85,50.0,2023-07-04
LABEL VIE,4520.0,4600.0,0.0177,374640.0,82.0,2023-07-04
LESIEUR CRISTAL,251.0,251.0,0.0,13554.0,54.0,2023-07-04
LafargeHolcim Maroc,1770.0,1820.0,0.0282,1258975.0,704.0,2023-07-04
MAGHREB OXYGENE,208.25,210.0,0.0084,2100.0,10.0,2023-07-04
MANAGEM,1950.0,1955.0,0.0026,160310.0,82.0,2023-07-04
MED PAPER,24.27,24.5,0.0095,119450.57,5020.0,2023-07-04
MICRODATA,526.0,530.0,0.0076,114817.0,218.0,2023-07-04
MUTANDIS SCA,233.0,232.6,-0.0017000000000000001,879949.0,3780.0,2023-07-04
PROMOPHARM S.A.,963.0,963.0,0.0,4815.0,5.0,2023-07-04
RESIDENCES DAR SAADA,18.33,19.31,0.0535,3203700.94,167675.0,2023-07-04
RISMA,165.75,165.95,0.0012,142329.5,880.0,2023-07-04
SMI,1218.0,1248.0,0.0246,126471.0,102.0,2023-07-04
SNEP,528.0,512.0,-0.030299999999999997,2093.0,4.0,2023-07-04
SOCIETE DES BOISSONS DU M,2650.0,2649.0,-0.0004,5298.0,2.0,2023-07-04
SODEP-Marsa Maroc,255.1,258.5,0.013300000000000001,7286664.25,28199.0,2023-07-04
SONASID,576.4,584.0,0.0132,223496.6,384.0,2023-07-04
SOTHEMA,1198.0,1193.0,-0.0042,264917.0,223.0,2023-07-04
STOKVIS NORD AFRIQUE,11.5,11.6,0.0087,3819.06,329.0,2023-07-04
STROC INDUSTRIE,32.95,31.02,-0.058600000000000006,9243.96,298.0,2023-07-04
TAQA MOROCCO,1070.0,1030.0,-0.0374,315449.0,306.0,2023-07-04
TGCC S.A,147.95,147.0,-0.0064,1722643.85,11684.0,2023-07-04
TIMAR,369.7,384.0,0.0387,7680.0,20.0,2023-07-04
TOTALENERGIES MARKETING,1235.0,1300.0,0.0526,58500.0,45.0,2023-07-04
UNIMER,159.9,155.0,-0.030600000000000002,465.0,3.0,2023-07-04
