Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1220.0,1239.0,0.015600000000000001,1239.0,1.0,2023-07-18
AFRIC INDUSTRIES SA,375.0,375.0,0.0,43500.0,116.0,2023-07-18
AFRIQUIA GAZ,4270.0,4400.0,0.0304,7683320.0,1795.0,2023-07-18
AGMA,6043.0,6200.0,0.026000000000000002,31000.0,5.0,2023-07-18
AKDITAL,376.55,384.05,0.0199,15260573.05,39772.0,2023-07-18
ALLIANCES,84.9,87.4,0.0294,4909948.36,56713.0,2023-07-18
ARADEI CAPITAL,438.0,438.0,0.0,1314.0,3.0,2023-07-18
ATLANTASANAD,120.7,120.0,-0.0058,309176.75,2541.0,2023-07-18
ATTIJARIWAFA BANK,438.05,442.0,0.009000000000000001,30310557.65,68908.0,2023-07-18
AUTO HALL,78.0,78.8,0.0103,178782.0,2281.0,2023-07-18
BANK OF AFRICA,174.6,178.45,0.022099999999999998,11006926.55,62854.0,2023-07-18
BCP,257.0,262.0,0.0195,18744573.75,72033.0,2023-07-18
BMCI,445.1,457.0,0.026699999999999998,193058.0,423.0,2023-07-18
CDM,720.0,720.0,0.0,720.0,1.0,2023-07-18
CIH,350.0,351.0,0.0029,3510000.0,10000.0,2023-07-18
CIMENTS DU MAROC,1480.0,1500.0,0.013500000000000002,1791970.0,1210.0,2023-07-18
COLORADO,43.2,43.5,0.0069,15297.97,344.0,2023-07-18
COSUMAR,196.0,198.0,0.0102,1454590.75,7321.0,2023-07-18
DISTY TECHNOLOGIES,204.0,201.0,-0.0147,53665.35,266.0,2023-07-18
DISWAY,697.0,692.0,-0.0072,9688.0,14.0,2023-07-18
DOUJA PROM ADDOHA,10.06,10.34,0.0278,2995467.44,290627.0,2023-07-18
ENNAKL,32.0,31.26,-0.0231,1226.18,39.0,2023-07-18
IB MAROC.COM,25.5,26.25,0.0294,236.25,9.0,2023-07-18
IMMORENTE INVEST,96.5,94.0,-0.0259,629089.54,6643.0,2023-07-18
ITISSALAT AL-MAGHRIB,97.05,97.99,0.0097,5121403.81,52447.0,2023-07-18
JET CONTRACTORS,222.0,226.0,0.018000000000000002,35387.0,157.0,2023-07-18
LABEL VIE,4502.0,4650.0,0.0329,1162500.0,250.0,2023-07-18
LESIEUR CRISTAL,251.0,250.0,-0.004,1000.0,4.0,2023-07-18
LafargeHolcim Maroc,1735.0,1775.0,0.0231,5245169.0,3021.0,2023-07-18
MAGHREB OXYGENE,208.0,216.3,0.039900000000000005,20548.5,95.0,2023-07-18
MANAGEM,1890.0,1890.0,0.0,1516332.0,802.0,2023-07-18
MED PAPER,25.02,24.65,-0.0148,252954.06,10172.0,2023-07-18
MICRODATA,519.8,515.0,-0.0092,57170.4,113.0,2023-07-18
MINIERE TOUISSIT,1822.0,1850.0,0.0154,10926090.0,5906.0,2023-07-18
MUTANDIS SCA,234.0,236.0,0.0085,4806387.0,20428.0,2023-07-18
PROMOPHARM S.A.,970.3,970.3,0.0,12613.9,13.0,2023-07-18
REALISATIONS MECANIQUES,155.0,153.9,-0.0070999999999999995,6156.0,40.0,2023-07-18
RESIDENCES DAR SAADA,18.87,19.1,0.012199999999999999,215037.56,11167.0,2023-07-18
RISMA,175.0,176.0,0.005699999999999999,1399376.0,7994.0,2023-07-18
SALAFIN,548.0,560.0,0.0219,84000.0,150.0,2023-07-18
SMI,1240.0,1239.0,-0.0008,257987.0,212.0,2023-07-18
SOCIETE DES BOISSONS DU M,2646.0,2650.0,0.0015,2726850.0,1029.0,2023-07-18
SODEP-Marsa Maroc,260.0,265.0,0.0192,4817318.05,18294.0,2023-07-18
SONASID,594.4,593.0,-0.0024,937979.9,1581.0,2023-07-18
SOTHEMA,1200.0,1199.0,-0.0008,121090.0,101.0,2023-07-18
STOKVIS NORD AFRIQUE,11.8,12.5,0.0593,145908.4,12121.0,2023-07-18
STROC INDUSTRIE,34.99,32.91,-0.0594,658.2,20.0,2023-07-18
TAQA MOROCCO,1093.0,1095.0,0.0018,5286660.0,4828.0,2023-07-18
TGCC S.A,150.0,151.6,0.010700000000000001,348676.75,2309.0,2023-07-18
TOTALENERGIES MARKETING,1255.0,1290.0,0.0279,2580.0,2.0,2023-07-18
WAFA ASSURANCE,4000.0,4015.0,0.0037,4040150.0,1010.0,2023-07-18
