Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1210.0,1224.0,0.0116,1224.0,1.0,2023-11-02
AFRIC INDUSTRIES SA,302.0,302.0,0.0,46428.05,154.0,2023-11-02
AKDITAL,505.0,502.9,-0.0042,1713406.8,3419.0,2023-11-02
ALLIANCES,109.0,107.1,-0.0174,3257626.5,30374.0,2023-11-02
ALUMINIUM DU MAROC,1300.0,1319.0,0.0146,1319.0,1.0,2023-11-02
ARADEI CAPITAL,446.0,452.0,0.013500000000000002,47094.0,106.0,2023-11-02
ATLANTASANAD,120.0,119.0,-0.0083,248241.75,2081.0,2023-11-02
ATTIJARIWAFA BANK,465.0,461.1,-0.0084,5051099.6,10970.0,2023-11-02
AUTO HALL,69.0,69.0,0.0,338307.0,4903.0,2023-11-02
BANK OF AFRICA,179.0,179.0,0.0,110293.95,616.0,2023-11-02
BCP,261.0,261.0,0.0,1139004.0,4364.0,2023-11-02
CARTIER SAADA,22.4,22.1,-0.0134,11590.34,529.0,2023-11-02
CIH,392.9,391.0,-0.0048,1212332.0,3190.0,2023-11-02
CIMENTS DU MAROC,1677.0,1680.0,0.0018,533958.0,318.0,2023-11-02
COSUMAR,202.0,204.5,0.0124,30213.0,148.0,2023-11-02
DELTA HOLDING,37.0,36.4,-0.016200000000000003,2041.4,56.0,2023-11-02
DISTY TECHNOLOGIES,190.05,191.05,0.0053,42610.1,223.0,2023-11-02
DISWAY,689.0,690.0,0.0015,17090.0,25.0,2023-11-02
DOUJA PROM ADDOHA,15.2,14.96,-0.0158,4698664.03,314170.0,2023-11-02
ENNAKL,31.19,31.13,-0.0019,1618.12,52.0,2023-11-02
FENIE BROSSETTE,98.5,98.0,-0.0051,392.0,4.0,2023-11-02
HPS,624.0,624.5,0.0008,218430.0,355.0,2023-11-02
IMMORENTE INVEST,95.5,95.5,0.0,231796.5,2427.0,2023-11-02
ITISSALAT AL-MAGHRIB,96.0,95.11,-0.009300000000000001,4311469.54,45272.0,2023-11-02
JET CONTRACTORS,249.9,245.0,-0.0196,392137.0,1595.0,2023-11-02
LABEL VIE,4437.0,4437.0,0.0,1410929.0,318.0,2023-11-02
LafargeHolcim Maroc,1860.0,1875.0,0.008100000000000001,6554038.0,3525.0,2023-11-02
MANAGEM,1699.0,1660.0,-0.023,252511.0,150.0,2023-11-02
MED PAPER,22.02,22.1,0.0036,22495.37,1026.0,2023-11-02
MICRODATA,575.0,565.0,-0.0174,56500.0,100.0,2023-11-02
MUTANDIS SCA,245.0,246.9,0.0078000000000000005,229003.05,945.0,2023-11-02
RESIDENCES DAR SAADA,22.21,22.2,-0.0005,135515.73,6054.0,2023-11-02
RISMA,223.95,224.0,0.0002,150261.3,678.0,2023-11-02
SNEP,493.5,489.8,-0.0075,11169.4,23.0,2023-11-02
SOCIETE DES BOISSONS DU M,2500.0,2500.0,0.0,1540000.0,616.0,2023-11-02
SODEP-Marsa Maroc,269.0,269.95,0.0034999999999999996,7466966.9,27744.0,2023-11-02
SONASID,697.0,697.0,0.0,849323.1,1225.0,2023-11-02
STOKVIS NORD AFRIQUE,11.3,11.3,0.0,52301.06,4772.0,2023-11-02
STROC INDUSTRIE,33.9,33.89,-0.0003,505.19,16.0,2023-11-02
TAQA MOROCCO,1069.0,1070.0,0.0009,1336662.0,1282.0,2023-11-02
TOTALENERGIES MARKETING,1066.0,1083.0,0.0159,138470.0,130.0,2023-11-02
UNIMER,157.8,157.8,0.0,10572.6,67.0,2023-11-02
