Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1230.0,1200.0,-0.024399999999999998,1049838.0,874.0,2023-06-28
AFRIC INDUSTRIES SA,362.0,355.5,-0.018000000000000002,3555.0,10.0,2023-06-28
AFRIQUIA GAZ,3950.0,4180.0,0.0582,1672000.0,400.0,2023-06-28
AKDITAL,345.0,347.5,0.0072,848744.45,2455.0,2023-06-28
ALLIANCES,80.8,81.2,0.005,4020415.01,49087.0,2023-06-28
ARADEI CAPITAL,449.0,446.0,-0.0067,6690.0,15.0,2023-06-28
ATLANTASANAD,124.0,123.0,-0.008100000000000001,752625.45,6116.0,2023-06-28
ATTIJARIWAFA BANK,443.0,444.0,0.0023,17650683.75,39795.0,2023-06-28
AUTO HALL,75.5,75.4,-0.0013,410012.91,5448.0,2023-06-28
BANK OF AFRICA,175.0,177.0,0.011399999999999999,53103.0,300.0,2023-06-28
BCP,260.0,264.0,0.0154,153965852.05,583028.0,2023-06-28
BMCI,472.8,458.0,-0.0313,243856.0,532.0,2023-06-28
CARTIER SAADA,24.0,24.0,0.0,24840.0,1035.0,2023-06-28
CIMENTS DU MAROC,1528.0,1530.0,0.0013,5799475.0,3780.0,2023-06-28
COSUMAR,193.55,195.0,0.0075,6517510.25,33351.0,2023-06-28
CTM,625.0,624.0,-0.0016,3120.0,5.0,2023-06-28
DELTA HOLDING,30.5,31.0,0.016399999999999998,128480.37,4166.0,2023-06-28
DISTY TECHNOLOGIES,206.9,206.0,-0.0043,124400.0,611.0,2023-06-28
DISWAY,710.0,710.0,0.0,36210.0,51.0,2023-06-28
DOUJA PROM ADDOHA,9.9,9.8,-0.0101,798908.99,80819.0,2023-06-28
ENNAKL,31.5,31.8,0.0095,3531.6,112.0,2023-06-28
FENIE BROSSETTE,103.0,106.9,0.0379,75797.5,709.0,2023-06-28
HPS,5890.0,5853.0,-0.0063,742103.0,126.0,2023-06-28
IMMORENTE INVEST,97.0,97.0,0.0,25705.0,265.0,2023-06-28
INVOLYS,93.01,95.0,0.021400000000000002,11400.0,120.0,2023-06-28
ITISSALAT AL-MAGHRIB,95.16,95.0,-0.0017000000000000001,5726876.02,60165.0,2023-06-28
JET CONTRACTORS,220.0,215.0,-0.0227,582546.95,2696.0,2023-06-28
LABEL VIE,4668.0,4600.0,-0.0146,1881850.0,409.0,2023-06-28
LafargeHolcim Maroc,1740.0,1780.0,0.023,36954930.0,20763.0,2023-06-28
MAGHREB OXYGENE,210.0,216.9,0.0329,216.9,1.0,2023-06-28
MANAGEM,1968.0,1960.0,-0.0040999999999999995,169184.0,86.0,2023-06-28
MED PAPER,24.3,24.97,0.0276,5427.39,220.0,2023-06-28
MICRODATA,518.0,528.0,0.019299999999999998,157213.1,299.0,2023-06-28
MINIERE TOUISSIT,1800.0,1800.0,0.0,1800000.0,1000.0,2023-06-28
MUTANDIS SCA,233.0,232.0,-0.0043,310086.5,1334.0,2023-06-28
PROMOPHARM S.A.,963.0,950.0,-0.013500000000000002,950.0,1.0,2023-06-28
REALISATIONS MECANIQUES,150.0,155.0,0.0333,7750.0,50.0,2023-06-28
RESIDENCES DAR SAADA,16.4,17.3,0.054900000000000004,1413904.05,83396.0,2023-06-28
RISMA,165.0,166.85,0.011200000000000002,451124.5,2732.0,2023-06-28
SALAFIN,555.0,550.0,-0.009000000000000001,2750000.0,5000.0,2023-06-28
SANLAM MAROC,999.0,1000.0,0.001,1452050.0,1451.0,2023-06-28
SMI,1249.0,1218.0,-0.0248,149694.0,123.0,2023-06-28
SNEP,512.0,515.0,0.0059,37620.5,73.0,2023-06-28
SOCIETE DES BOISSONS DU M,2650.0,2550.0,-0.0377,81600.0,32.0,2023-06-28
SODEP-Marsa Maroc,254.0,252.0,-0.0079,2864781.6,11358.0,2023-06-28
SONASID,580.0,580.0,0.0,407899.7,703.0,2023-06-28
SOTHEMA,1234.0,1161.0,-0.0592,1187703.0,1023.0,2023-06-28
STOKVIS NORD AFRIQUE,11.06,11.5,0.0398,13330.9,1159.0,2023-06-28
TAQA MOROCCO,992.5,1016.0,0.023700000000000002,1110488.0,1091.0,2023-06-28
TGCC S.A,146.9,146.5,-0.0027,566275.95,3890.0,2023-06-28
TOTALENERGIES MARKETING,1274.0,1300.0,0.0204,1110092.0,854.0,2023-06-28
WAFA ASSURANCE,4249.0,4100.0,-0.0351,4100000.0,1000.0,2023-06-28
