Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-24
AFRIC INDUSTRIES SA,359.0,356.5,-0.006999999999999999,11764.5,33.0,2023-05-24
AKDITAL,310.05,309.55,-0.0016,473170.75,1528.0,2023-05-24
ALLIANCES,65.2,64.5,-0.010700000000000001,629043.95,9744.0,2023-05-24
ALUMINIUM DU MAROC,1349.0,1350.0,0.0007000000000000001,1350.0,1.0,2023-05-24
ARADEI CAPITAL,435.0,442.0,0.0161,41765568.5,94579.0,2023-05-24
ATLANTASANAD,127.1,130.0,0.022799999999999997,1953188.75,15025.0,2023-05-24
ATTIJARIWAFA BANK,408.0,423.5,0.038,130729004.5,308775.0,2023-05-24
AUTO HALL,74.98,76.74,0.0235,124634.76,1639.0,2023-05-24
BANK OF AFRICA,166.0,166.0,0.0,6046506.9,36426.0,2023-05-24
BCP,231.0,233.0,0.0087,7871022.5,34177.0,2023-05-24
BMCI,460.0,462.0,0.0043,33726.0,73.0,2023-05-24
CARTIER SAADA,26.8,27.7,0.0336,10491.4,381.0,2023-05-24
CIH,340.0,349.4,0.0276,2413883.35,6970.0,2023-05-24
CIMENTS DU MAROC,1350.0,1376.0,0.019299999999999998,137600.0,100.0,2023-05-24
COSUMAR,189.8,190.0,0.0011,16471744.85,86776.0,2023-05-24
CTM,610.0,619.0,0.0148,1857.0,3.0,2023-05-24
DARI COUSPATE,3504.0,3364.0,-0.04,16820.0,5.0,2023-05-24
DELTA HOLDING,26.35,26.55,0.0076,9172.26,340.0,2023-05-24
DISTY TECHNOLOGIES,199.8,199.4,-0.002,67848.4,344.0,2023-05-24
DISWAY,719.0,700.0,-0.0264,1548724.7,2212.0,2023-05-24
DOUJA PROM ADDOHA,7.2,7.2,0.0,973208.01,135137.0,2023-05-24
ENNAKL,35.4,35.4,0.0,885.0,25.0,2023-05-24
FENIE BROSSETTE,113.95,113.85,-0.0009,1329.7,12.0,2023-05-24
IB MAROC.COM,20.0,20.01,0.0005,100.05,5.0,2023-05-24
IMMORENTE INVEST,96.98,96.4,-0.006,115493.88,1198.0,2023-05-24
ITISSALAT AL-MAGHRIB,85.0,86.0,0.0118,7133733.25,83153.0,2023-05-24
LESIEUR CRISTAL,254.0,250.5,-0.0138,4008000.0,16000.0,2023-05-24
LafargeHolcim Maroc,1540.0,1540.0,0.0,6262080.0,4065.0,2023-05-24
M2M Group,789.0,789.0,0.0,310866.0,394.0,2023-05-24
MAGHREB OXYGENE,239.8,230.25,-0.0398,2532.75,11.0,2023-05-24
MANAGEM,2259.0,2294.0,0.0155,41302.0,18.0,2023-05-24
MED PAPER,23.61,23.62,0.0004,4176.02,176.0,2023-05-24
MICRODATA,505.9,500.0,-0.011699999999999999,2500.0,5.0,2023-05-24
MINIERE TOUISSIT,1655.0,1650.0,-0.003,1422300.0,862.0,2023-05-24
MUTANDIS SCA,231.0,234.9,0.0169,556976.55,2380.0,2023-05-24
REBAB COMPANY,97.45,93.56,-0.039900000000000005,93.56,1.0,2023-05-24
RESIDENCES DAR SAADA,12.96,12.98,0.0015,12098.56,941.0,2023-05-24
RISMA,150.0,150.0,0.0,1200.0,8.0,2023-05-24
SALAFIN,580.0,556.9,-0.0398,481718.5,865.0,2023-05-24
SMI,1329.0,1294.0,-0.0263,6470.0,5.0,2023-05-24
SNEP,505.0,529.8,0.049100000000000005,8392.4,16.0,2023-05-24
SOCIETE DES BOISSONS DU M,2680.0,2700.0,0.0075,10800.0,4.0,2023-05-24
SODEP-Marsa Maroc,239.9,243.95,0.0169,7734463.25,32072.0,2023-05-24
SONASID,577.0,579.0,0.0034999999999999996,560835.9,971.0,2023-05-24
SOTHEMA,1249.0,1248.0,-0.0008,41448.0,33.0,2023-05-24
STOKVIS NORD AFRIQUE,11.29,11.26,-0.0027,101.34,9.0,2023-05-24
STROC INDUSTRIE,33.85,33.85,0.0,141313.6,4176.0,2023-05-24
TAQA MOROCCO,970.0,1000.0,0.030899999999999997,2321861.1,2406.0,2023-05-24
TGCC S.A,137.8,137.95,0.0011,209337.35,1528.0,2023-05-24
TIMAR,385.05,385.05,0.0,1501309.95,3899.0,2023-05-24
TOTALENERGIES MARKETING,1270.0,1270.0,0.0,1270000.0,1000.0,2023-05-24
WAFA ASSURANCE,3780.0,3830.0,0.0132,1568295.0,410.0,2023-05-24
