Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1200.0,1210.0,0.0083,1210.0,1.0,2023-11-29
AFRIC INDUSTRIES SA,313.9,305.0,-0.028399999999999998,610.05,2.0,2023-11-29
AFRIQUIA GAZ,4030.0,4000.0,-0.0074,404050.0,101.0,2023-11-29
AKDITAL,485.0,484.0,-0.0021,2015234.6,4181.0,2023-11-29
ALLIANCES,108.05,107.5,-0.0051,642513.85,5974.0,2023-11-29
ALUMINIUM DU MAROC,1338.0,1339.0,0.0007000000000000001,30797.0,23.0,2023-11-29
ARADEI CAPITAL,440.0,443.0,0.0068000000000000005,2122326.0,4791.0,2023-11-29
ATTIJARIWAFA BANK,457.35,459.05,0.0037,40775065.85,88934.0,2023-11-29
AUTO HALL,67.7,67.15,-0.008100000000000001,289249.98,4249.0,2023-11-29
BANK OF AFRICA,175.0,170.0,-0.0286,75622286.25,444825.0,2023-11-29
BCP,263.2,267.0,0.0144,24377839.65,92150.0,2023-11-29
BMCI,520.0,520.0,0.0,103600.0,200.0,2023-11-29
CARTIER SAADA,21.5,21.4,-0.004699999999999999,4681.88,216.0,2023-11-29
CIMENTS DU MAROC,1632.0,1632.0,0.0,3324454.0,2027.0,2023-11-29
COLORADO,45.11,46.8,0.0375,38695.33,839.0,2023-11-29
COSUMAR,201.35,202.0,0.0032,1866862.75,9242.0,2023-11-29
DELTA HOLDING,36.99,36.96,-0.0008,3695.1,100.0,2023-11-29
DISTY TECHNOLOGIES,194.0,192.2,-0.009300000000000001,14430.0,75.0,2023-11-29
DISWAY,690.0,688.5,-0.0022,1430065.5,2103.0,2023-11-29
DOUJA PROM ADDOHA,16.1,16.01,-0.005600000000000001,7880499.39,491048.0,2023-11-29
ENNAKL,31.24,31.24,0.0,12086.41,391.0,2023-11-29
HPS,600.0,612.0,0.02,406364.0,667.0,2023-11-29
IB MAROC.COM,22.0,22.3,0.013600000000000001,1188.6,54.0,2023-11-29
IMMORENTE INVEST,95.9,95.2,-0.0073,95883.9,1005.0,2023-11-29
INVOLYS,89.9,87.0,-0.0323,6873.0,79.0,2023-11-29
ITISSALAT AL-MAGHRIB,93.0,93.0,0.0,11131632.51,119694.0,2023-11-29
JET CONTRACTORS,249.4,247.0,-0.0096,49430.0,200.0,2023-11-29
LABEL VIE,4180.0,4200.0,0.0048,2374580.0,566.0,2023-11-29
LESIEUR CRISTAL,271.1,271.1,0.0,26025.6,96.0,2023-11-29
LafargeHolcim Maroc,1852.0,1851.0,-0.0005,9105900.0,4920.0,2023-11-29
MANAGEM,1580.0,1581.0,0.0006,578348.0,368.0,2023-11-29
MED PAPER,21.5,21.6,0.004699999999999999,28440.68,1319.0,2023-11-29
MICRODATA,570.0,564.0,-0.0105,3460714.0,6136.0,2023-11-29
MINIERE TOUISSIT,1359.0,1359.0,0.0,3433367.0,2534.0,2023-11-29
MUTANDIS SCA,240.0,240.0,0.0,1630811.0,6795.0,2023-11-29
PROMOPHARM S.A.,981.0,1024.0,0.0438,2048.0,2.0,2023-11-29
REALISATIONS MECANIQUES,115.0,121.0,0.052199999999999996,605.0,5.0,2023-11-29
RESIDENCES DAR SAADA,21.97,21.89,-0.0036,144254.32,6630.0,2023-11-29
RISMA,221.55,226.5,0.0223,4535.65,20.0,2023-11-29
SANLAM MAROC,1276.0,1279.0,0.0024,4689507.0,3676.0,2023-11-29
SMI,1310.0,1300.0,-0.0076,6514650.0,5011.0,2023-11-29
SNEP,497.0,497.0,0.0,113080.6,227.0,2023-11-29
SOCIETE DES BOISSONS DU M,2360.0,2300.0,-0.0254,243800.0,106.0,2023-11-29
SODEP-Marsa Maroc,267.15,268.0,0.0032,2751300.5,10255.0,2023-11-29
SONASID,674.0,662.0,-0.0178,260070.0,391.0,2023-11-29
SOTHEMA,1018.0,1026.0,0.0079,25650.0,25.0,2023-11-29
STOKVIS NORD AFRIQUE,11.2,10.91,-0.0259,2349.42,212.0,2023-11-29
STROC INDUSTRIE,30.63,30.7,0.0023,1563.95,51.0,2023-11-29
TAQA MOROCCO,1010.0,1010.0,0.0,222290.0,220.0,2023-11-29
TGCC S.A,173.0,172.65,-0.002,755473.3,4376.0,2023-11-29
TOTALENERGIES MARKETING,1100.0,1100.0,0.0,921776.0,838.0,2023-11-29
WAFA ASSURANCE,4100.0,4132.0,0.0078000000000000005,118460.0,29.0,2023-11-29
