Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1250.0,1250.0,0.0,1250.0,1.0,2023-10-18
AFRIC INDUSTRIES SA,309.95,308.9,-0.0034000000000000002,3401.2,11.0,2023-10-18
AFRIQUIA GAZ,4269.0,4299.0,0.006999999999999999,42990.0,10.0,2023-10-18
AKDITAL,530.0,520.0,-0.0189,8433156.0,16098.0,2023-10-18
ALLIANCES,104.0,114.35,0.09949999999999999,321323.5,2810.0,2023-10-18
ALUMINIUM DU MAROC,1301.0,1333.0,0.0246,4001.0,3.0,2023-10-18
ARADEI CAPITAL,454.5,450.0,-0.009899999999999999,2757600.0,6128.0,2023-10-18
ATLANTASANAD,120.0,122.0,0.0167,11550.0,95.0,2023-10-18
ATTIJARIWAFA BANK,468.05,470.0,0.0042,55656599.9,119061.0,2023-10-18
AUTO HALL,69.0,69.35,0.0051,40341.7,594.0,2023-10-18
BANK OF AFRICA,183.0,183.0,0.0,405058.05,2210.0,2023-10-18
BCP,261.5,261.0,-0.0019,9322361.0,35581.0,2023-10-18
CARTIER SAADA,22.67,22.6,-0.0031,38290.66,1698.0,2023-10-18
CIMENTS DU MAROC,1617.0,1682.0,0.04019999999999999,27088929.0,16105.0,2023-10-18
COLORADO,44.8,46.15,0.0301,129867.4,2786.0,2023-10-18
COSUMAR,203.0,204.0,0.0049,281141.0,1379.0,2023-10-18
CTM,610.9,589.0,-0.0358,59489.0,101.0,2023-10-18
DELTA HOLDING,37.5,37.5,0.0,51634.0,1381.0,2023-10-18
DISTY TECHNOLOGIES,194.8,198.0,0.016399999999999998,230033.55,1174.0,2023-10-18
DISWAY,699.0,681.1,-0.0256,53806.9,79.0,2023-10-18
DOUJA PROM ADDOHA,13.79,15.16,0.0993,2372433.88,156493.0,2023-10-18
ENNAKL,31.78,31.39,-0.0123,409377.38,13647.0,2023-10-18
EQDOM,1110.0,1110.0,0.0,700410.0,631.0,2023-10-18
FENIE BROSSETTE,100.0,100.0,0.0,2843.9,28.0,2023-10-18
HPS,620.0,610.1,-0.016,197423.4,320.0,2023-10-18
IB MAROC.COM,22.0,22.0,0.0,1760.0,80.0,2023-10-18
INVOLYS,92.5,87.0,-0.059500000000000004,17400.0,200.0,2023-10-18
ITISSALAT AL-MAGHRIB,101.5,99.5,-0.0197,20779409.5,209987.0,2023-10-18
JET CONTRACTORS,250.2,262.9,0.0508,1432391.95,5459.0,2023-10-18
LafargeHolcim Maroc,1865.0,1972.0,0.0574,20073745.0,10181.0,2023-10-18
MAGHREB OXYGENE,220.0,229.5,0.0432,22950.0,100.0,2023-10-18
MANAGEM,1690.0,1650.0,-0.023700000000000002,748545.0,451.0,2023-10-18
MAROC LEASING,378.0,378.0,0.0,17388.0,46.0,2023-10-18
MED PAPER,22.78,22.0,-0.0342,253910.46,11526.0,2023-10-18
MICRODATA,550.1,550.0,-0.0002,1655795.0,3005.0,2023-10-18
MINIERE TOUISSIT,1750.0,1715.0,-0.02,44674.0,26.0,2023-10-18
MUTANDIS SCA,241.05,255.0,0.0579,8294849.6,33263.0,2023-10-18
RESIDENCES DAR SAADA,20.9,22.98,0.09949999999999999,518451.78,22561.0,2023-10-18
RISMA,236.1,236.0,-0.0004,806624.55,3390.0,2023-10-18
SALAFIN,512.4,512.0,-0.0008,427008.0,834.0,2023-10-18
SMI,1243.0,1260.0,0.0137,125920.0,100.0,2023-10-18
SNEP,477.0,499.9,0.048,1517621.0,3151.0,2023-10-18
SODEP-Marsa Maroc,271.0,276.0,0.018500000000000003,1434788.25,5210.0,2023-10-18
SONASID,685.0,753.4,0.0999,22858733.5,31470.0,2023-10-18
STOKVIS NORD AFRIQUE,11.2,10.65,-0.049100000000000005,60753.45,5534.0,2023-10-18
STROC INDUSTRIE,33.92,33.95,0.0009,7119.5,210.0,2023-10-18
TAQA MOROCCO,1050.0,1087.0,0.0352,85585.0,80.0,2023-10-18
TGCC S.A,170.0,176.0,0.0353,5156569.1,29395.0,2023-10-18
TOTALENERGIES MARKETING,1106.0,1109.0,0.0027,11090.0,10.0,2023-10-18
UNIMER,157.5,157.8,0.0019,31560.0,200.0,2023-10-18
WAFA ASSURANCE,4250.0,4250.0,0.0,4250.0,1.0,2023-10-18
