Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1295.0,1295.0,0.0,1295.0,1.0,2023-04-10
AFRIQUIA GAZ,3706.0,3925.0,0.0591,210648.0,54.0,2023-04-10
AKDITAL,297.7,297.0,-0.0024,742471.85,2503.0,2023-04-10
ALLIANCES,61.3,61.0,-0.0049,778091.38,12853.0,2023-04-10
ALUMINIUM DU MAROC,1300.0,1314.0,0.0108,11830.0,9.0,2023-04-10
ARADEI CAPITAL,417.0,429.0,0.0288,94764.3,221.0,2023-04-10
ATLANTASANAD,122.35,122.0,-0.0029,33184.0,272.0,2023-04-10
ATTIJARIWAFA BANK,400.05,400.0,-0.0001,37030000.2,92575.0,2023-04-10
AUTO HALL,70.2,71.0,0.011399999999999999,141737.2,2024.0,2023-04-10
BANK OF AFRICA,163.05,163.0,-0.0003,82315.0,505.0,2023-04-10
BCP,230.55,230.1,-0.002,10308099.0,44624.0,2023-04-10
BMCI,441.0,444.05,0.0069,358760.0,808.0,2023-04-10
CARTIER SAADA,27.0,26.99,-0.0004,404.85,15.0,2023-04-10
CIH,307.0,310.0,0.0098,100750.0,325.0,2023-04-10
CIMENTS DU MAROC,1215.0,1225.0,0.008199999999999999,18327.0,15.0,2023-04-10
COSUMAR,174.0,173.6,-0.0023,50000.15,288.0,2023-04-10
DELTA HOLDING,25.5,25.01,-0.0192,23138.32,916.0,2023-04-10
DISTY TECHNOLOGIES,185.9,185.0,-0.0048,1295.0,7.0,2023-04-10
DISWAY,739.0,743.0,0.0054,5949.6,8.0,2023-04-10
DOUJA PROM ADDOHA,5.8,5.85,0.0086,203546.89,34925.0,2023-04-10
ENNAKL,32.76,33.55,0.0241,1175.45,35.0,2023-04-10
FENIE BROSSETTE,118.0,114.0,-0.0339,4172.65,37.0,2023-04-10
IB MAROC.COM,18.92,19.67,0.039599999999999996,19.67,1.0,2023-04-10
IMMORENTE INVEST,97.5,97.0,-0.0051,29011.3,299.0,2023-04-10
INVOLYS,97.8,97.75,-0.0005,97.75,1.0,2023-04-10
ITISSALAT AL-MAGHRIB,85.0,84.02,-0.0115,975863.65,11547.0,2023-04-10
JET CONTRACTORS,204.0,204.0,0.0,204.0,1.0,2023-04-10
LABEL VIE,4399.0,4200.0,-0.0452,17713805.0,4217.0,2023-04-10
LESIEUR CRISTAL,250.0,253.0,0.012,253.0,1.0,2023-04-10
LafargeHolcim Maroc,1390.0,1430.0,0.0288,5180890.0,3623.0,2023-04-10
MAGHREBAIL,860.0,890.0,0.0349,2670.0,3.0,2023-04-10
MANAGEM,2611.0,2590.0,-0.008,179482.0,69.0,2023-04-10
MED PAPER,24.9,24.0,-0.0361,20014.8,830.0,2023-04-10
MICRODATA,508.0,492.0,-0.0315,395135.55,819.0,2023-04-10
MUTANDIS SCA,215.1,217.0,0.0088,12751005.9,58760.0,2023-04-10
REBAB COMPANY,113.5,113.5,0.0,113.5,1.0,2023-04-10
RESIDENCES DAR SAADA,10.0,10.36,0.036000000000000004,32922.63,3216.0,2023-04-10
RISMA,120.0,123.0,0.025,1654352.75,13430.0,2023-04-10
SOCIETE DES BOISSONS DU M,2423.0,2519.0,0.039599999999999996,3216763.0,1277.0,2023-04-10
SODEP-Marsa Maroc,219.0,219.0,0.0,22850786.7,104343.0,2023-04-10
TAQA MOROCCO,960.0,980.0,0.0208,104739.8,107.0,2023-04-10
TGCC S.A,124.0,122.0,-0.0161,68586.8,562.0,2023-04-10
TOTALENERGIES MARKETING,1310.0,1301.0,-0.0069,65050.0,50.0,2023-04-10
WAFA ASSURANCE,3700.0,3800.0,0.027000000000000003,68397.0,18.0,2023-04-10
