Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1250.0,1220.0,-0.024,3660.0,3.0,2023-07-17
AFRIC INDUSTRIES SA,375.0,375.0,0.0,20625.0,55.0,2023-07-17
AFRIQUIA GAZ,4400.0,4270.0,-0.029500000000000002,3471510.0,813.0,2023-07-17
AKDITAL,374.0,376.55,0.0068000000000000005,4795062.0,12780.0,2023-07-17
ALLIANCES,84.25,84.9,0.0077,817524.27,9656.0,2023-07-17
ARADEI CAPITAL,439.8,438.0,-0.0040999999999999995,931747.0,2127.0,2023-07-17
ATLANTASANAD,121.0,120.7,-0.0025,2511250.9,20750.0,2023-07-17
ATTIJARIWAFA BANK,437.15,438.05,0.0021,18229836.35,41641.0,2023-07-17
AUTO HALL,78.0,78.0,0.0,20104.0,256.0,2023-07-17
BANK OF AFRICA,180.0,174.6,-0.03,7336487.0,41950.0,2023-07-17
BCP,254.1,257.0,0.011399999999999999,8256543.05,32192.0,2023-07-17
BMCI,457.0,445.1,-0.026000000000000002,45424.0,102.0,2023-07-17
CARTIER SAADA,23.21,23.5,0.0125,753.8,32.0,2023-07-17
CIMENTS DU MAROC,1479.0,1480.0,0.0007000000000000001,2378797.0,1587.0,2023-07-17
COLORADO,43.21,43.2,-0.0002,27474.3,634.0,2023-07-17
COSUMAR,197.0,196.0,-0.0051,1122411.0,5727.0,2023-07-17
DELTA HOLDING,33.5,33.5,0.0,202007.0,6043.0,2023-07-17
DISTY TECHNOLOGIES,204.0,204.0,0.0,7534.0,37.0,2023-07-17
DISWAY,696.0,697.0,0.0014000000000000002,1394.0,2.0,2023-07-17
DOUJA PROM ADDOHA,10.0,10.06,0.006,518714.89,51465.0,2023-07-17
ENNAKL,32.0,32.0,0.0,3840.0,120.0,2023-07-17
FENIE BROSSETTE,106.95,107.85,0.0084,61579.35,581.0,2023-07-17
HPS,5793.0,5793.0,0.0,6951600.0,1200.0,2023-07-17
IB MAROC.COM,25.0,25.5,0.02,1096.5,43.0,2023-07-17
IMMORENTE INVEST,96.0,96.5,0.0052,2123.0,22.0,2023-07-17
INVOLYS,94.05,97.81,0.04,586.86,6.0,2023-07-17
ITISSALAT AL-MAGHRIB,96.4,97.05,0.0067,8372266.27,86716.0,2023-07-17
JET CONTRACTORS,222.0,222.0,0.0,1318440.0,6020.0,2023-07-17
LafargeHolcim Maroc,1735.0,1735.0,0.0,2683966.0,1547.0,2023-07-17
MAGHREB OXYGENE,216.0,208.0,-0.037000000000000005,1664.0,8.0,2023-07-17
MANAGEM,1895.0,1890.0,-0.0026,308088.0,163.0,2023-07-17
MED PAPER,25.77,25.02,-0.0291,169666.04,6702.0,2023-07-17
MICRODATA,519.5,519.8,0.0006,2079.2,4.0,2023-07-17
MINIERE TOUISSIT,1855.0,1822.0,-0.0178,21864.0,12.0,2023-07-17
MUTANDIS SCA,235.1,234.0,-0.004699999999999999,45246.0,192.0,2023-07-17
PROMOPHARM S.A.,933.0,970.3,0.04,14554.5,15.0,2023-07-17
RESIDENCES DAR SAADA,19.3,18.87,-0.0223,63048.07,3300.0,2023-07-17
SODEP-Marsa Maroc,260.0,260.0,0.0,5333324.05,20514.0,2023-07-17
SONASID,586.0,594.4,0.0143,465448.6,788.0,2023-07-17
