Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1224.0,1224.0,0.0,1224.0,1.0,2023-11-16
AFRIC INDUSTRIES SA,303.5,303.5,0.0,7156.5,23.0,2023-11-16
AFRIQUIA GAZ,4100.0,4200.0,0.024399999999999998,151011.0,36.0,2023-11-16
AKDITAL,485.3,486.0,0.0014000000000000002,1327486.65,2734.0,2023-11-16
ALLIANCES,111.6,111.0,-0.0054,2218879.8,20002.0,2023-11-16
ATLANTASANAD,119.55,121.0,0.0121,1573.3,13.0,2023-11-16
ATTIJARIWAFA BANK,460.0,465.0,0.0109,1420242.3,3060.0,2023-11-16
AUTO HALL,66.5,67.0,0.0075,153458.6,2311.0,2023-11-16
BANK OF AFRICA,181.0,181.0,0.0,1789805.0,10055.0,2023-11-16
BCP,260.0,261.95,0.0075,42940705.9,163779.0,2023-11-16
BMCI,544.0,544.0,0.0,208352.0,383.0,2023-11-16
CDM,755.0,732.4,-0.029900000000000003,73240.0,100.0,2023-11-16
CIH,386.0,375.0,-0.0285,641541.35,1708.0,2023-11-16
CIMENTS DU MAROC,1669.0,1669.0,0.0,3359635.0,2013.0,2023-11-16
COSUMAR,202.0,205.0,0.0149,6653497.2,32457.0,2023-11-16
DELTA HOLDING,36.96,36.98,0.0005,35735.34,966.0,2023-11-16
DISWAY,696.4,680.0,-0.0235,132031.1,194.0,2023-11-16
DOUJA PROM ADDOHA,16.0,16.21,0.0131,8722588.92,537710.0,2023-11-16
ENNAKL,31.18,31.15,-0.001,714.64,23.0,2023-11-16
HPS,605.5,605.0,-0.0008,14753557.6,24547.0,2023-11-16
IB MAROC.COM,21.0,21.0,0.0,903.0,43.0,2023-11-16
IMMORENTE INVEST,95.5,95.0,-0.0052,2474070.1,26041.0,2023-11-16
INVOLYS,90.0,88.0,-0.0222,8536.0,97.0,2023-11-16
ITISSALAT AL-MAGHRIB,93.01,93.99,0.0105,2632345.58,28101.0,2023-11-16
JET CONTRACTORS,248.9,249.95,0.0042,142667.75,577.0,2023-11-16
LABEL VIE,4250.0,4299.0,0.0115,2399116.0,558.0,2023-11-16
LafargeHolcim Maroc,1850.0,1885.0,0.0189,402595.0,214.0,2023-11-16
M2M Group,621.0,621.0,0.0,3726.0,6.0,2023-11-16
MAGHREB OXYGENE,230.0,225.0,-0.0217,1350.0,6.0,2023-11-16
MANAGEM,1630.0,1630.0,0.0,361852.0,222.0,2023-11-16
MAROC LEASING,378.0,355.4,-0.059800000000000006,1066.2,3.0,2023-11-16
MICRODATA,575.0,574.9,-0.0002,2874.7,5.0,2023-11-16
MINIERE TOUISSIT,1456.0,1311.0,-0.09960000000000001,14427767.0,11001.0,2023-11-16
MUTANDIS SCA,238.5,239.0,0.0021,93786.1,392.0,2023-11-16
OULMES,1352.0,1272.0,-0.0592,12720.0,10.0,2023-11-16
RESIDENCES DAR SAADA,22.18,22.6,0.0189,124987.3,5500.0,2023-11-16
RISMA,230.8,232.0,0.0052,144864.25,627.0,2023-11-16
SMI,1287.0,1285.0,-0.0016,32145.0,25.0,2023-11-16
SNEP,485.95,475.1,-0.0223,24813.2,52.0,2023-11-16
SODEP-Marsa Maroc,266.05,271.95,0.0222,2538706.25,9402.0,2023-11-16
SONASID,689.9,680.0,-0.0143,59195.5,87.0,2023-11-16
STOKVIS NORD AFRIQUE,10.91,11.28,0.0339,135.36,12.0,2023-11-16
TAQA MOROCCO,1059.0,1050.0,-0.0085,341875.0,326.0,2023-11-16
