Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1210.0,1224.0,0.0116,1224.0,1.0,2023-11-30
AFRIC INDUSTRIES SA,305.0,313.0,0.0262,626.0,2.0,2023-11-30
AFRIQUIA GAZ,4000.0,4002.0,0.0005,318118.0,79.0,2023-11-30
AKDITAL,484.0,492.5,0.0176,18335650.2,37278.0,2023-11-30
ALLIANCES,107.5,109.55,0.0191,756682.65,6978.0,2023-11-30
ALUMINIUM DU MAROC,1339.0,1340.0,0.0007000000000000001,2680.0,2.0,2023-11-30
ARADEI CAPITAL,443.0,444.0,0.0023,345196.6,779.0,2023-11-30
ATLANTASANAD,119.45,121.0,0.013000000000000001,73202.2,613.0,2023-11-30
ATTIJARIWAFA BANK,459.05,458.0,-0.0023,44124413.75,96369.0,2023-11-30
AUTO HALL,67.15,67.0,-0.0022,375587.79,5560.0,2023-11-30
BANK OF AFRICA,170.0,173.0,0.0176,25466344.0,149418.0,2023-11-30
BMCI,520.0,520.1,0.0002,3254612.8,6248.0,2023-11-30
CARTIER SAADA,21.4,21.88,0.022400000000000003,35572.42,1672.0,2023-11-30
CDM,735.0,730.0,-0.0068000000000000005,278693.0,382.0,2023-11-30
CIH,350.0,351.0,0.0029,2738161.7,7808.0,2023-11-30
CIMENTS DU MAROC,1632.0,1640.0,0.0049,8112920.0,4947.0,2023-11-30
COLORADO,46.8,45.05,-0.0374,5319.75,115.0,2023-11-30
COSUMAR,202.0,200.1,-0.009399999999999999,2296803.95,11482.0,2023-11-30
DARI COUSPATE,3600.0,3400.0,-0.0556,3400.0,1.0,2023-11-30
DELTA HOLDING,36.96,36.5,-0.0124,622019.68,17677.0,2023-11-30
DISTY TECHNOLOGIES,192.2,192.1,-0.0005,19210.0,100.0,2023-11-30
DISWAY,688.5,688.0,-0.0007000000000000001,161127.4,239.0,2023-11-30
DOUJA PROM ADDOHA,16.01,16.5,0.030600000000000002,27775947.03,694853.0,2023-11-30
ENNAKL,31.24,31.23,-0.0003,4496.62,146.0,2023-11-30
FENIE BROSSETTE,100.0,100.9,0.009000000000000001,7320.9,77.0,2023-11-30
HPS,612.0,617.0,0.008199999999999999,12379729.9,20065.0,2023-11-30
IMMORENTE INVEST,95.2,95.0,-0.0021,871092.25,9163.0,2023-11-30
INVOLYS,87.0,89.9,0.0333,359.6,4.0,2023-11-30
ITISSALAT AL-MAGHRIB,93.0,92.9,-0.0011,7203901.5,77852.0,2023-11-30
JET CONTRACTORS,247.0,246.6,-0.0016,256206.2,1070.0,2023-11-30
LABEL VIE,4200.0,4074.0,-0.03,35438510.0,8670.0,2023-11-30
LESIEUR CRISTAL,271.1,263.25,-0.028999999999999998,11846.25,45.0,2023-11-30
LafargeHolcim Maroc,1851.0,1852.0,0.0005,7746516.0,4185.0,2023-11-30
M2M Group,621.0,584.0,-0.0596,12848.0,22.0,2023-11-30
MANAGEM,1581.0,1535.0,-0.0291,11125371.0,7224.0,2023-11-30
MED PAPER,21.6,21.5,-0.0046,52999.56,2478.0,2023-11-30
MICRODATA,564.0,560.0,-0.0070999999999999995,31920.0,57.0,2023-11-30
MINIERE TOUISSIT,1359.0,1333.0,-0.0191,1490045.0,1117.0,2023-11-30
MUTANDIS SCA,240.0,239.05,-0.004,291175.8,1218.0,2023-11-30
PROMOPHARM S.A.,1024.0,981.0,-0.042,1962.0,2.0,2023-11-30
REALISATIONS MECANIQUES,121.0,124.0,0.0248,104408.0,842.0,2023-11-30
RESIDENCES DAR SAADA,21.89,21.96,0.0032,16884.37,785.0,2023-11-30
RISMA,226.5,207.1,-0.0857,9232675.4,4362926.0,2023-11-30
SODEP-Marsa Maroc,268.0,272.4,0.016399999999999998,11377107.45,41822.0,2023-11-30
STOKVIS NORD AFRIQUE,10.91,11.1,0.0174,7811.16,706.0,2023-11-30
STROC INDUSTRIE TAQA MOROCCO,1010.0,1010.0,0.0,999562.6,1008.0,2023-11-30
TGCC S.A,172.65,179.0,,50735834.2,282311.0,2023-11-30
TOTALENERGIES MARKETING,1100.0,1091.0,,86810.0,79.0,2023-11-30
