Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-15
AFRIC INDUSTRIES SA,367.75,360.0,-0.021099999999999997,26144.95,73.0,2023-05-15
AFRIQUIA GAZ,4050.0,3920.0,-0.0321,3920.0,1.0,2023-05-15
AGMA,5870.0,5752.0,-0.020099999999999996,23008.0,4.0,2023-05-15
AKDITAL,310.0,312.5,0.008100000000000001,4981904.1,15960.0,2023-05-15
ALLIANCES,64.9,66.0,0.0169,2122380.57,32109.0,2023-05-15
ALUMINIUM DU MAROC,1349.0,1349.0,0.0,2698.0,2.0,2023-05-15
ARADEI CAPITAL,440.85,440.8,-0.0001,33333.4,76.0,2023-05-15
ATLANTASANAD,127.1,127.0,-0.0008,5859.0,46.0,2023-05-15
ATTIJARIWAFA BANK,406.0,405.0,-0.0025,1889377.5,4655.0,2023-05-15
AUTO HALL,73.6,73.11,-0.0067,4605.15,63.0,2023-05-15
BANK OF AFRICA,164.9,167.0,0.0127,313485.75,1900.0,2023-05-15
BCP,230.0,231.0,0.0043,2479943.2,10779.0,2023-05-15
BMCI,455.0,450.0,-0.011000000000000001,450020.2,1000.0,2023-05-15
CIMENTS DU MAROC,1360.0,1372.0,0.0088,289576.0,211.0,2023-05-15
COLORADO,44.0,44.0,0.0,6215.25,141.0,2023-05-15
COSUMAR,185.05,187.9,0.0154,328424.4,1747.0,2023-05-15
DELTA HOLDING,25.45,25.5,0.002,220460.21,8680.0,2023-05-15
DISTY TECHNOLOGIES,188.0,195.0,0.037200000000000004,351861.15,1819.0,2023-05-15
DISWAY,710.0,700.0,-0.0141,179920.1,257.0,2023-05-15
DOUJA PROM ADDOHA,7.79,7.9,0.0141,3233607.79,406585.0,2023-05-15
ENNAKL,35.0,34.56,-0.0126,3192.19,91.0,2023-05-15
FENIE BROSSETTE,123.0,115.65,-0.059800000000000006,170089.9,1468.0,2023-05-15
HPS,5900.0,6000.0,0.0169,72948.0,12.0,2023-05-15
IB MAROC.COM,20.26,20.0,-0.0128,6060.0,303.0,2023-05-15
IMMORENTE INVEST,97.0,97.4,0.0040999999999999995,21939.0,226.0,2023-05-15
INVOLYS,94.0,94.0,0.0,21620.0,230.0,2023-05-15
ITISSALAT AL-MAGHRIB,83.0,84.9,0.0229,10726456.36,126026.0,2023-05-15
JET CONTRACTORS,194.45,195.0,0.0028000000000000004,2938.5,15.0,2023-05-15
LABEL VIE,4400.0,4250.0,-0.0341,8500.0,2.0,2023-05-15
LESIEUR CRISTAL,250.0,258.85,0.0354,25259.45,101.0,2023-05-15
LafargeHolcim Maroc,1577.0,1585.0,0.0051,7917.0,5.0,2023-05-15
MANAGEM,2350.0,2320.0,-0.0128,325327.0,140.0,2023-05-15
MAROC LEASING,351.0,337.0,-0.039900000000000005,3370.0,10.0,2023-05-15
MED PAPER,22.9,23.03,0.005699999999999999,134733.04,5791.0,2023-05-15
MICRODATA,495.0,507.9,0.026099999999999998,53524.1,108.0,2023-05-15
MINIERE TOUISSIT,1650.0,1650.0,0.0,26400.0,16.0,2023-05-15
MUTANDIS SCA,230.0,230.0,0.0,556602.45,2420.0,2023-05-15
REALISATIONS MECANIQUES,132.0,137.0,0.0379,411.0,3.0,2023-05-15
RESIDENCES DAR SAADA,12.78,13.22,0.0344,488864.98,37199.0,2023-05-15
RISMA,149.0,148.5,-0.0034000000000000002,174943.6,1168.0,2023-05-15
S.M MONETIQUE,170.0,170.0,0.0,7140.0,42.0,2023-05-15
SMI,1280.0,1332.0,0.0406,281561.0,220.0,2023-05-15
SNEP,524.9,537.9,0.0248,49372.4,94.0,2023-05-15
SOCIETE DES BOISSONS DU M,2619.0,2600.0,-0.0073,1661400.0,639.0,2023-05-15
SODEP-Marsa Maroc,234.5,237.0,0.010700000000000001,2956662.25,12482.0,2023-05-15
SONASID,570.0,577.5,0.0132,224692.5,394.0,2023-05-15
SOTHEMA,1213.0,1181.0,-0.0264,89085.0,74.0,2023-05-15
STOKVIS NORD AFRIQUE,11.79,11.79,0.0,399.45,35.0,2023-05-15
STROC INDUSTRIE,32.5,34.44,0.059699999999999996,34943.34,1076.0,2023-05-15
TAQA MOROCCO,999.0,967.0,-0.032,197396.0,204.0,2023-05-15
TGCC S.A,134.85,135.0,0.0011,614314.6,4547.0,2023-05-15
TOTALENERGIES MARKETING,1284.0,1223.0,-0.0475,20791.0,17.0,2023-05-15
WAFA ASSURANCE,3700.0,3610.0,-0.024300000000000002,7235.0,2.0,2023-05-15
