Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1263.0,1264.0,0.0008,1264.0,1.0,2023-10-16
AFRIC INDUSTRIES SA,308.95,302.0,-0.0225,469777.2,1560.0,2023-10-16
AKDITAL,514.5,528.0,0.0262,9167589.5,17603.0,2023-10-16
ALLIANCES,107.65,107.0,-0.006,883546.15,8254.0,2023-10-16
ARADEI CAPITAL,452.0,455.0,0.0066,4550.0,10.0,2023-10-16
ATLANTASANAD,122.0,120.5,-0.0123,1253880.1,10404.0,2023-10-16
ATTIJARIWAFA BANK,472.0,468.3,-0.0078000000000000005,12498304.2,26651.0,2023-10-16
AUTO HALL,68.55,69.49,0.0137,18207.72,263.0,2023-10-16
BANK OF AFRICA,184.25,184.0,-0.0014000000000000002,1769576.0,9617.0,2023-10-16
BCP,263.0,262.05,-0.0036,6618831.9,25169.0,2023-10-16
CARTIER SAADA,22.71,21.85,-0.0379,173449.91,8011.0,2023-10-16
CIMENTS DU MAROC,1626.0,1622.0,-0.0025,22708.0,14.0,2023-10-16
COLORADO,43.0,46.47,0.08070000000000001,40679.57,892.0,2023-10-16
COSUMAR,201.0,200.0,-0.005,255485571.5,277425.0,2023-10-16
DELTA HOLDING,37.0,37.5,0.013500000000000002,712.5,19.0,2023-10-16
DISTY TECHNOLOGIES,195.15,195.5,0.0018,41239.25,211.0,2023-10-16
DISWAY,683.0,680.1,-0.0042,83648.2,123.0,2023-10-16
DOUJA PROM ADDOHA,14.5,14.3,-0.0138,2610792.48,181533.0,2023-10-16
ENNAKL,31.8,31.0,-0.0252,25484.45,820.0,2023-10-16
FENIE BROSSETTE,104.4,100.0,-0.0421,56000.0,560.0,2023-10-16
HPS,635.0,635.0,0.0,67229.0,106.0,2023-10-16
IMMORENTE INVEST,96.15,96.16,0.0001,28367.2,295.0,2023-10-16
INVOLYS,88.01,88.0,-0.0001,1936.0,22.0,2023-10-16
ITISSALAT AL-MAGHRIB,102.4,101.0,-0.0137,2149317.1,21220.0,2023-10-16
LABEL VIE,4520.0,4500.0,-0.0044,337482.0,75.0,2023-10-16
LafargeHolcim Maroc,1870.0,1878.0,0.0043,65746.0,35.0,2023-10-16
MANAGEM,1750.0,1671.0,-0.0451,640195.0,382.0,2023-10-16
MICRODATA,565.0,569.0,0.0070999999999999995,64223.6,113.0,2023-10-16
MINIERE TOUISSIT,1750.0,1808.0,0.0331,1808.0,1.0,2023-10-16
MUTANDIS SCA,244.5,241.0,-0.0143,74268.7,307.0,2023-10-16
RESIDENCES DAR SAADA,21.34,21.75,0.0192,41382.45,1952.0,2023-10-16
RISMA,242.05,239.0,-0.0126,2598649.6,10830.0,2023-10-16
SALAFIN,545.2,545.0,-0.0004,10355.0,19.0,2023-10-16
SMI,1299.0,1242.0,-0.043899999999999995,115083.0,92.0,2023-10-16
SNEP,486.0,489.4,0.006999999999999999,118837.2,243.0,2023-10-16
SOCIETE DES BOISSONS DU,2730.0,2652.0,-0.0286,21216.0,8.0,2023-10-16
SODEP-Marsa Maroc,276.95,273.0,-0.0143,5798146.7,21238.0,2023-10-16
SONASID,680.001,688.0,0.0118,11364825.8,16648.0,2023-10-16
SOTHEMA AFRIQUE,121.0,1100.0,-0.0187,7700.0,7.0,2023-10-16
STOKVIS NORD,11.52,11.54,0.0017000000000000001,21152.17,1898.0,2023-10-16
STROC INDUSTRIE,32.94,32.6,-0.0103,553.3,17.0,2023-10-16
TAQA MOROCCO,1060.0,1095.0,0.033,4380.0,4.0,2023-10-16
TGCC S.A,175.25,176.9,0.009399999999999999,5543630.55,31256.0,2023-10-16
